onset,duration,event,trial_type,response_time,response_key,stim_file,trial_earnings
0,2.0223199,Decision,Trustworthy,2.0223199,2,images/A1f01.jpg,12
2.0575908,3.9776801,Response,Trustworthy,2.0223199,2,images/A1f01.jpg,12
6.0236926,2,Thinking,Trustworthy,2.0223199,2,images/A1f01.jpg,12
8.0266226,2,Feedback,Trustworthy,2.0223199,2,images/A1f01.jpg,12
14.0274461,1.9342381,Decision,Trustworthy,1.9342381,2,images/A1f01.jpg,12
15.9749106,4.0657619,Response,Trustworthy,1.9342381,2,images/A1f01.jpg,12
20.0407727,2,Thinking,Trustworthy,1.9342381,2,images/A1f01.jpg,12
22.0436938,2,Feedback,Trustworthy,1.9342381,2,images/A1f01.jpg,12
28.050175,1.6466709,Decision,Neutral,1.6466709,2,images/C1f01.jpg,12
29.7083279,4.3533291,Response,Neutral,1.6466709,2,images/C1f01.jpg,12
34.057792,2,Thinking,Neutral,1.6466709,2,images/C1f01.jpg,12
36.0607798,2,Feedback,Neutral,1.6466709,2,images/C1f01.jpg,12
46.0616271,1.9670327,Decision,Neutral,1.9670327,2,images/C1f01.jpg,12
48.0421443,4.0329673,Response,Neutral,1.9670327,2,images/C1f01.jpg,12
52.075015,2,Thinking,Neutral,1.9670327,2,images/C1f01.jpg,12
54.0777544,2,Feedback,Neutral,1.9670327,2,images/C1f01.jpg,12
68.0786448,1.3842286,Decision,Neutral,1.3842286,2,images/C1f01.jpg,12
69.476228,4.6157714,Response,Neutral,1.3842286,2,images/C1f01.jpg,12
74.0922146,2,Thinking,Neutral,1.3842286,2,images/C1f01.jpg,12
76.0951092,2,Feedback,Neutral,1.3842286,2,images/C1f01.jpg,12
82.0997484,2.166452,Decision,Untrustworthy,2.166452,2,images/B1f01.jpg,6
84.2764109,3.833548,Response,Untrustworthy,2.166452,2,images/B1f01.jpg,6
88.1092713,2,Thinking,Untrustworthy,2.166452,2,images/B1f01.jpg,6
90.1121321,2,Feedback,Untrustworthy,2.166452,2,images/B1f01.jpg,6
96.1126278,1.9501715,Decision,Untrustworthy,1.9501715,2,images/B1f01.jpg,6
98.0766292,4.0498285,Response,Untrustworthy,1.9501715,2,images/B1f01.jpg,6
102.1263563,2,Thinking,Untrustworthy,1.9501715,2,images/B1f01.jpg,6
104.1291692,2,Feedback,Untrustworthy,1.9501715,2,images/B1f01.jpg,6
118.1355607,1.8349054,Decision,Untrustworthy,1.8349054,2,images/B1f01.jpg,12
119.9785466,4.1650946,Response,Untrustworthy,1.8349054,2,images/B1f01.jpg,12
124.1436023,2,Thinking,Untrustworthy,1.8349054,2,images/B1f01.jpg,12
126.1463753,2,Feedback,Untrustworthy,1.8349054,2,images/B1f01.jpg,12
132.1472607,2.2171539,Decision,Trustworthy,2.2171539,2,images/A1f01.jpg,12
134.3779064,3.7828461,Response,Trustworthy,2.2171539,2,images/A1f01.jpg,12
138.1607116,2,Thinking,Trustworthy,2.2171539,2,images/A1f01.jpg,12
