Subject,a_gain,a_loss,beta,iProbA,iProbB,iProbC,iprobA,iprobB,iprobC
1.0,0.8035119278600091,0.051936293698435256,0.01721470503782024,,,,0.9999998605252233,0.9999998559382159,0.5097841737564692
2.0,0.4207931662896466,0.7143745763431317,0.07884167773809976,,,,0.7461422895101385,0.9084135482196312,0.00044531894014148863
3.0,0.03841371973786334,0.11808432798288071,0.13162686266269996,,,,0.8472606153193556,0.5066233467963603,0.34741472460694767
4.0,0.09027675101351403,0.20714455737587228,0.7567728534440122,,,,0.4018652805389676,0.4894417961809696,0.33796052446003944
5.0,0.9133549373963276,1.0,9.999999439624929e-11,,,,1.0,0.9133549373963276,0.0
6.0,0.010940052038726944,0.31671567261063494,0.05460736496414653,,,,0.20066766763068658,0.8826933814091349,0.049787379110260335
7.0,0.9772434406471219,0.9547456887851394,0.21137200020011723,,,,1.0,0.045231935802727996,6.3794679165595834e-15
8.0,0.20575133724651667,0.21714721828998468,0.7032312405948824,,,,0.6106960185429102,0.4888958633123927,0.4522235183315274
9.0,0.8598658650731046,0.3607421717146335,0.08621917986534283,,,,1.0,0.9488050336430629,7.424517497283815e-07
10.0,0.8397771755907103,0.7168477645445552,1e-10,,,,1.0,1.0,8.808760164511194e-05
11.0,0.13729302630826856,0.5128529329039927,0.19628629794086094,,,,0.6713196605830309,0.5866167506702612,0.10499765150951304
12.0,0.05860163841430599,0.5906520866030835,0.33358539484257677,,,,0.03066718487428055,0.1491903115480451,0.05393733025376933
13.0,0.1593009155635524,0.4440705050657879,0.5829774450376486,,,,0.31676354052536043,0.5116742169796753,0.08131476653885734
14.0,0.6266504513743988,0.04002240555410364,0.9492778205905217,,,,1.0,0.6995213248799722,0.26864112206763735
15.0,0.13574183020315758,0.23135275202820033,0.693061488695557,,,,0.7694406580909297,0.0973773501606667,0.15370965247037288
16.0,0.5012552833258919,0.5283239048313119,0.3759542965171291,,,,0.31454714114680443,0.6551100605834135,0.08696738745295679
17.0,0.5881237020732947,0.7161137142128471,0.05741565838498813,,,,1.0,0.18906712128472553,0.0
18.0,0.09261876792387158,0.12661374013224924,0.19831182536962022,,,,0.7507708479810017,0.055977392329839004,0.2604735698955552
19.0,0.10264829238088852,0.6823640577563302,0.41171135995245245,,,,0.6464060965981939,0.06746513692741718,0.18003204547480767
20.0,0.3338981658641125,0.6132332835264628,0.08779272735819932,,,,0.9712964626246736,0.06343660953683343,0.11972076286461161
21.0,0.0954979654277931,0.5589862162871905,0.6143479454900873,,,,0.06762710251037139,0.07941477015929989,0.17716726602185504
22.0,0.9013642101636332,0.7957272701150261,0.4567070495308059,,,,0.9999993064132571,0.1879153090819532,0.007912011471535956
23.0,0.06460587159492151,0.0532521943560956,0.1421403700240276,,,,0.2964963602819921,0.9366522227716417,0.426208238422501
24.0,0.1558206977188218,0.669394639696768,0.2191280473883684,,,,0.7503414255368591,0.407237134976404,0.02592137810016542
25.0,0.10288841424130313,0.5008003905390057,0.4331642508501724,,,,0.4563328985068962,0.6766243595946783,0.05295631602133127
26.0,0.07606134807564625,0.7658264449286674,0.5734235152776741,,,,0.6387337862017353,0.008583166279084408,0.011325097467911799
27.0,0.27837968975738303,0.44303064170201956,0.49084414882503413,,,,0.9758621434146472,0.22946300556837682,0.26698004366259714
28.0,0.18917853433983695,0.41317572240769107,0.835961677921315,,,,0.7273669203803296,0.09690167586899637,0.18352611890827497
29.0,0.12289787878094849,0.3261672731550993,0.6033571918543414,,,,0.4465532595604036,0.07854165708942801,0.296539037720417
30.0,0.3175264424922395,0.0653064311267152,0.1561086964753852,,,,0.9999811470149987,0.999989215724194,0.4320390704369783
31.0,0.07921138862945432,0.6775226549178751,0.5021119093287727,,,,0.5480016650336805,0.053745822925234,0.06292696117340035
32.0,0.867412952901296,0.5177479801435554,0.1389720231996584,,,,1.0,1.309639907524947e-06,0.44688573839234425
33.0,0.052037917828319805,0.23761928416101089,0.4964465191835612,,,,0.7601329212853464,0.996334741793546,0.28263939419641937
34.0,0.027114999684349935,0.1253991210793848,0.8056146925334909,,,,0.6703070212852422,0.38436144957896967,0.35874949163061376
35.0,0.0430832816378747,0.5344081514082506,0.19770126548032244,,,,0.3009694210806544,0.10332007668925534,0.3948184688404843
36.0,0.3304018078953785,0.06048364615403716,0.9581587252586671,,,,0.21160346842714034,0.31540643327905,0.38350702177201007
37.0,0.10052847986422363,0.3750560071906125,0.7323602823081599,,,,0.43747077178708393,0.21908394144406576,0.18879071877668457
38.0,0.654442877536233,0.3976083027094678,0.8087072306317605,,,,0.24588999987366145,0.2692139631112508,0.3467784060175737
39.0,0.10120663319599263,0.5894621057614533,0.14942525336085982,,,,0.011036770347873436,0.5057902629887734,0.0546387430249351
40.0,0.025648578087634766,0.35543367828145456,0.8617609871425814,,,,0.692791246393901,0.2416303955767661,0.2880958449107734
41.0,0.0621680055463365,0.5660307750857678,0.14991275552604932,,,,0.8033768935366988,0.2574988465325636,0.16199266360941456
