Alpha_gain,Alpha_loss,Beta,Choice,Decay,Stim_Sequence,Subject,Trial,Trustee_Response
0.0,0.0,0,4,0.2,0,2,19.0,1
0.0,0.0,0,2,0.2,2,2,20.0,0
0.0,0.0,0,1,0.2,0,2,21.0,1
0.0,0.0,0,1,0.2,0,2,22.0,1
0.0,0.0,0,1,0.2,2,2,23.0,0
0.0,0.0,0,3,0.2,1,2,24.0,0
0.0,0.0,0,4,0.2,1,2,25.0,1
0.0,0.0,0,1,0.2,2,2,26.0,0
0.0,0.0,0,4,0.2,0,2,27.0,1
0.0,0.0,0,2,0.2,1,2,28.0,1
0.0,0.0,0,2,0.2,1,2,29.0,1
0.0,0.0,0,3,0.2,1,2,30.0,0
0.0,0.0,0,2,0.2,0,2,31.0,1
0.0,0.0,0,3,0.2,2,2,32.0,0
0.0,0.0,0,4,0.2,1,2,33.0,0
0.0,0.0,0,4,0.2,2,2,34.0,0
0.0,0.0,0,1,0.2,2,2,35.0,0
0.0,0.0,0,3,0.2,2,2,36.0,0
0.0,0.0,0,1,0.2,0,2,37.0,1
0.0,0.0,0,3,0.2,1,2,38.0,0
0.0,0.0,0,3,0.2,0,2,39.0,1
0.0,0.0,0,4,0.2,1,2,40.0,1
0.0,0.0,0,3,0.2,0,2,41.0,1
0.0,0.0,0,4,0.2,2,2,42.0,1
0.0,0.0,0,4,0.2,1,2,43.0,1
0.0,0.0,0,2,0.2,1,2,44.0,1
0.0,0.0,0,2,0.2,1,2,45.0,1
0.0,0.0,0,1,0.4,1,3,1.0,1
0.0,0.0,0,1,0.4,1,3,2.0,0
0.0,0.0,0,2,0.4,2,3,3.0,0
0.0,0.0,0,1,0.4,1,3,4.0,0
0.0,0.0,0,2,0.4,0,3,5.0,1
0.0,0.0,0,1,0.4,1,3,6.0,1
0.0,0.0,0,3,0.4,0,3,7.0,1
0.0,0.0,0,1,0.4,1,3,8.0,0
0.0,0.0,0,1,0.4,0,3,9.0,1
0.0,0.0,0,4,0.4,1,3,10.0,0
0.0,0.0,0,4,0.4,2,3,11.0,0
0.0,0.0,0,4,0.4,1,3,12.0,0
0.0,0.0,0,2,0.4,2,3,13.0,0
0.0,0.0,0,3,0.4,1,3,14.0,0
0.0,0.0,0,1,0.4,2,3,15.0,0
0.0,0.0,0,4,0.4,2,3,16.0,0
0.0,0.0,0,3,0.4,2,3,17.0,0
0.0,0.0,0,1,0.4,1,3,18.0,0
0.0,0.0,0,2,0.4,1,3,19.0,1
0.0,0.0,0,1,0.4,2,3,20.0,0
0.0,0.0,0,3,0.4,1,3,21.0,1
0.0,0.0,0,4,0.4,2,3,22.0,0
0.0,0.0,0,3,0.4,1,3,23.0,1
0.0,0.0,0,3,0.4,2,3,24.0,0
0.0,0.0,0,3,0.4,0,3,25.0,1
0.0,0.0,0,2,0.4,0,3,26.0,1
0.0,0.0,0,3,0.4,0,3,27.0,1
