Subject,a_gain,a_loss,beta,decay
1.0,0.817617902052173,1.0,6.215902896354356,1.0
2.0,0.6702756640140248,0.4218662689191905,0.7996223349945691,1.0
3.0,0.4089578429536295,0.8175000850232345,0.7378992636480496,1.0
4.0,0.012084515910684867,1.0,20.0,0.0
5.0,0.0,1.0,4.427961058700889,1.0
6.0,0.4961349321727093,0.3299065644159284,0.42397624712035686,0.0
7.0,1.0,-1.1102230246251565e-16,20.0,0.0
8.0,0.23847045478424886,1.0,0.14195763825921526,0.7627031505180889
9.0,1.0,0.7082536698093732,0.13987253938561295,0.0
10.0,0.009343700220863385,1.0,20.0,0.7949460524538993
11.0,0.009055713049917837,0.0,20.0,0.24325168092157118
12.0,1.0,0.006993625213181896,20.0,0.9341712741653166
13.0,0.37350207330295965,0.0,0.37448933526962586,0.0
14.0,0.42206030504006325,0.0,0.3314041550025304,1.0
15.0,0.4706721789805493,0.47067225369649923,0.29717610891463003,1.0
16.0,0.2698573024080054,0.2698572395817349,0.5183204459374979,1.0
17.0,0.0,0.02662591430842997,5.253247842531114,0.0
18.0,0.0,1.0,20.0,0.6199354452422142
19.0,0.0032986595678336705,1.0,20.0,0.7048215848843313
20.0,0.0,1.0,5.487976713228369,0.840353231954065
21.0,0.007764695197452135,0.28075201033333796,20.0,1.0
22.0,0.0,1.0,11.52846852246424,1.0
23.0,1.0,0.5753139685797566,0.13373711528386684,0.0
24.0,1.0,1.0,20.0,0.9933131731268104
25.0,0.0,1.0,20.0,0.0
26.0,0.0,0.0,1e-10,0.8953342846049391
27.0,0.0,0.0,1e-10,1.0
28.0,0.0,0.0,1e-10,1.0
29.0,0.0,1.0,20.0,0.0
30.0,0.0,1.0,20.0,0.9833687891556185
31.0,0.007989038406194558,0.0,20.0,1.0
32.0,0.0007265834189721644,0.0,15.102195006607582,0.2660743925126986
33.0,0.0,0.49042013924418126,1e-10,1.0
34.0,0.001340156155374685,0.007764696326865204,20.0,0.0
35.0,0.007753411914750309,1.0,18.04011228277326,1.0
36.0,0.9042862626390554,1.0,4.426928187352195,1.0
37.0,0.019022886811224042,1.0,2.9439852697413325,0.0
38.0,0.8405836089113717,0.0,0.08022600860466776,0.0
39.0,0.0,0.0019531914844843267,20.0,0.0
40.0,0.0,1.0,7.105098639807907,0.9999998084741165
41.0,0.0,0.01462050055558783,20.0,0.0
42.0,0.0,0.6940217115213093,1e-10,0.8746470731769894
43.0,0.0,1.0,20.0,0.7831035442812199
44.0,0.0,1.0,20.0,0.9134265421309136
45.0,0.0,0.024176684084855984,20.0,0.0
46.0,0.0,1.0,20.0,0.9374042995493392
47.0,0.09332176150005844,1.0,11.56221966971821,0.9999999991120913
48.0,0.007989038984129164,0.021478945175028574,20.0,1.0
49.0,0.0,0.9163575071452659,5.762455029885307,0.0
50.0,0.020982557529617422,1.0,20.0,0.6780971096667668
51.0,1.0,1.0,7.9114419694461695,0.0
52.0,0.01623619617620963,1.0,20.0,0.7458619192471163
53.0,0.014380806998926429,1.0,20.0,0.9134265407000471
54.0,0.8175045992779745,0.0,0.634331707027268,0.5027210380955578
55.0,0.0,0.739941181157065,1e-10,1.0
56.0,0.0,1.0,20.0,0.0
57.0,0.0,1.0,4.669589500181784,0.0
58.0,0.0,0.9751313686355851,0.5799085999477416,0.10899877100154863
59.0,1.0,0.7197144384929519,14.81109938761296,0.9772245616834424
60.0,0.0,1.0,9.389234968428488,1.0
61.0,0.9968833383817619,1.0,16.706781554442127,0.0
62.0,1.0,0.6113385720908999,20.0,0.6127162146556994
63.0,0.0,1.0,20.0,0.9134265449881007
64.0,0.006994567530725884,1.0,20.0,0.8619382364455579
65.0,0.0,1.0,1.4603427913525484,0.5900599717355779
66.0,0.0,0.793381625637822,8.041943182736611,1.0
67.0,0.007764695052598668,1.0,20.0,0.0
68.0,0.0,1.0,8.702128927740807,0.023185167692611055
69.0,0.03673795783671439,1.0,20.0,0.9692406148012017
70.0,1.0,0.10474296216844708,20.0,0.5695792166862488
71.0,0.0,1.0,20.0,0.9342487509212658
72.0,0.516598300761388,1.0,20.0,0.8990867622440902
73.0,0.0,1.0,20.0,0.7188100678233057
74.0,0.010710553060639618,0.006993628793934084,20.0,1.5203576817018658e-08
75.0,0.0,0.0,1e-10,1.0
76.0,1.0,0.10796680766198097,0.0907417483081656,0.0
77.0,0.0,0.0,1e-10,1.0
78.0,0.003727657725206661,0.008062279232045446,20.0,0.1645966625448887
79.0,0.0,1.0,11.096482893065986,0.0
80.0,0.01995053973027296,1.0,20.0,0.0
81.0,0.11572045515314644,1.0,20.0,0.7876426685079383
82.0,0.0,0.8415780131245958,2.5877060025624536,0.3671698172339161
83.0,0.01647059765098513,1.0,20.0,0.0
84.0,0.0,1.0,6.023562066753046,0.0
85.0,0.105796931259611,1.0,20.0,0.8107350340112639
86.0,0.0069936230166855835,1.0,20.0,0.0
87.0,0.0,1.0,20.0,0.8087516729509284
88.0,0.0,0.7944477638897844,14.341144935649,0.5494976931128686
89.0,0.0,1.0,1.4958495098727695,0.552066290294557
90.0,0.39591506807679655,0.2656203299000048,20.0,1.0
91.0,0.00917094104464403,1.0,3.0134775781780783,0.0
92.0,0.018363193124687992,1.0,7.617505418236978,2.1995791125259594e-05
93.0,0.1267325670682982,1.0,20.0,0.7650869552476435
94.0,1.0,1.0,20.0,0.5603407740545437
95.0,0.0,1.0,20.0,0.93424826584408
96.0,0.0,0.9173411618408883,19.882724004185945,1.0
97.0,0.0,1.0,10.817791466916233,0.0
98.0,0.0,1.0,14.450951432736618,0.0
99.0,-5.551115123125783e-17,1.0,20.0,0.6109832612876491
100.0,1.0,1.0,5.455894378598011,0.0
101.0,0.0,1.0,20.0,0.6109832552986741
102.0,0.5738660549294714,0.1330765187186055,1e-10,1.0
103.0,0.0,1.0,5.634440475303015,0.8265106786839224
104.0,0.38530912399447803,1.0,10.870066958500336,0.0
105.0,0.0,1.0,16.983453973462954,0.0
106.0,0.0,1.0,20.0,0.6387605990553591
107.0,0.350256995309449,1.0,20.0,0.8877656183175848
108.0,0.3379026740359628,0.0,1e-10,1.0
109.0,0.012323893953718627,0.09168570600950025,20.0,0.8066066127688345
110.0,1.0,0.0,20.0,0.7828835748325309
111.0,0.0,0.8115748583076192,0.8027672413633645,0.7853088156343201
112.0,0.17709020357558636,0.7849448622201429,0.7898378318129694,1.0
113.0,0.0,0.7649386952599319,1e-10,1.0
114.0,0.0,0.8267621070852602,6.350796638438878,0.0
