Subject,a_gain,a_loss,beta
1.0,0.0,0.16471664312871503,1e-10
2.0,1.0,1.0,0.1398725375177861
3.0,0.01208451361214513,0.007989039534103811,20.0
4.0,0.09835861593751538,0.42653245401736783,0.7908746420817931
5.0,0.0,0.0,1e-10
6.0,0.0,0.7195932249270732,1e-10
7.0,1.0,1.0,0.13987253900635388
8.0,0.008381402414867123,0.0063511950283068625,20.0
9.0,0.0,0.0,1e-10
10.0,0.0,0.0,1e-10
11.0,0.0022564023741848634,1.0,20.0
12.0,0.0,0.21373032935830527,1e-10
13.0,0.004192888503467931,0.02714915519501184,20.0
14.0,1.0,0.01781444644239882,20.0
15.0,0.02479125748036333,1.0,5.642008983916913
16.0,0.0,0.39448409146025765,0.5695171904993046
17.0,0.002256401632655474,1.0,20.0
18.0,-3.469446951953614e-18,0.551875132581195,8.96681994805424
19.0,0.007764695164557672,1.0,20.0
20.0,0.0,0.4764823421418914,10.939783403226008
21.0,0.6204896496021074,1.0,16.28526865463885
22.0,1.0,1.0,10.671174526607668
23.0,1.0,0.0,6.405049522709946
24.0,1.0,0.6647938477415477,16.518499567512507
25.0,0.0,0.021975266489834958,20.0
26.0,0.0,1.0,10.43107980409106
27.0,0.024697152703329547,1.0,5.66351764911837
28.0,0.01257031233508976,1.0,11.127208786445145
29.0,0.19587733820830622,1.0,13.624454389617577
30.0,0.007989039298866298,0.5960867671007603,20.0
31.0,0.0,1.0,7.470908265654222
32.0,0.0,1.0,4.439572149474826
33.0,0.07325179086019339,1.0,2.2341386305958477
34.0,0.0,1.0,4.653174046183372
35.0,0.3263694500991083,0.7871124026356311,0.4285711931167475
36.0,0.6626626072614547,1.0,10.883596234592385
37.0,0.9405175368857777,1.0,15.880205731638677
38.0,0.9527273188950474,1.0,13.353183220921878
39.0,0.0,1.0,4.433892989074038
40.0,0.014620500789466265,1.0,20.0
41.0,0.0,0.8284205672127798,6.862114110456736
42.0,0.02630967040797913,1.0,5.316373463346109
43.0,0.02464579296278556,1.0,3.487599238316764
44.0,0.0,0.6096991053127832,8.164274713311894
45.0,0.0,0.0,1e-10
46.0,0.007645159505437382,1.0,3.5972293029716753
47.0,1.0,1.0,11.392107108837891
48.0,0.0,1.0,6.707874738366387
49.0,0.0,0.6655198339852885,7.842846002556944
50.0,-1.3877787807814457e-17,0.48000771859336977,11.20806680469647
51.0,0.0,0.4573511987012447,11.37914921627909
52.0,0.0,1.0,5.940022675469498
53.0,0.0,0.4146055423777376,1e-10
54.0,0.1714563609850136,1.0,7.401177198088843
55.0,0.07269235446083167,1.0,2.354539953951147
56.0,0.0,1.0,4.426249395710306
57.0,0.05987078784557566,1.0,5.6341165693681985
58.0,0.0,0.9349377769372625,5.271585808606174
59.0,0.04483728178761226,1.0,2.034204283733762
60.0,0.014505622681420697,1.0,3.184915131736389
61.0,0.02168889879104809,1.0,6.449032942574198
62.0,0.6171725780888153,1.0,15.549580215105145
63.0,0.0016721307859443367,0.8630208813877353,20.0
64.0,0.8869232171031395,1.0,19.968848964766103
65.0,0.8420490615828221,1.0,18.906884357787817
66.0,0.0,1.0,11.759375619943876
67.0,0.0013301388817976362,0.0026781825470110496,20.0
68.0,0.0,0.9153892231522851,5.309673094723434
69.0,0.001059940176002357,0.4169364605162592,20.0
70.0,0.0,1.0,8.385209229380775
71.0,1.0,0.6090817537416042,0.13987253873316724
72.0,0.8689158363653162,1.0,13.488967396246275
73.0,0.0,1.0,12.947816945661614
74.0,0.00988356910507839,1.0,2.8291767116937643
75.0,0.0,1.0,7.302319903419764
76.0,0.02934833729130648,1.0,10.48928360465693
77.0,0.0,0.7570928667922254,6.599191882148816
78.0,0.47188651675864,1.0,4.4304085864149645
79.0,0.9956127798262381,1.0,20.0
80.0,0.367456563583658,0.23811537315564668,0.3806505271661685
81.0,0.021718333673622994,1.0,6.44029651005233
82.0,0.8821357617040896,1.0,15.922502302691887
83.0,0.0033378315433375302,0.8980796837092667,20.0
84.0,0.00577303883750082,1.0,20.0
85.0,0.0,1.0,8.044912366737412
86.0,0.0,0.4346318248684827,12.972777317320114
87.0,0.0,0.6471283760076071,7.73632947416165
88.0,0.01146257746402023,1.0,12.202543222715224
89.0,1.0,0.0,20.0
90.0,0.0732517956365665,1.0,2.2341384111435514
91.0,0.0,1.0,7.339254134639235
92.0,1.0,1.0,10.145568460543924
93.0,0.0,0.3654397020538368,14.234930068111188
94.0,1.0,1.0,11.829671356627617
95.0,0.007770413229386056,1.0,20.0
96.0,1.0,1.0,13.258259164359119
97.0,0.02603482242141419,1.0,5.372375131432862
98.0,1.0,1.0,18.27160674603866
99.0,0.0,0.7972286572116911,6.239174773172449
100.0,0.0,0.0,1e-10
101.0,0.01462050069530306,1.0,20.0
102.0,0.9219531315024331,1.0,17.167858103754362
103.0,0.0,0.6422907351650681,7.9381819372215
104.0,0.0,1.0,6.514642294154215
105.0,0.2417416286464048,1.0,14.844631431915051
106.0,0.01263088245557519,1.0,11.073850104849042
107.0,0.0428693161748397,0.6951686624502023,7.867781578645019
108.0,0.014620500438587787,0.3293466442495676,20.0
109.0,0.0,1.0,4.443673509292763
110.0,0.0,1.0,15.538226401703913
111.0,0.0,0.9027901420496587,1e-10
112.0,0.0009500841183739343,1.0,20.0
113.0,0.024410446255559468,1.0,5.729794339660259
114.0,0.01917149255217797,1.0,3.2327393013736976
115.0,0.0,0.9323518248632627,5.150852714994567
116.0,0.0626559612743101,0.37388382226758454,0.7129439258550694
117.0,0.12061822923975873,1.0,13.28133702571788
118.0,0.024185044170384258,1.0,5.783157109661522
119.0,0.0,0.7738989664819684,6.627551988723211
120.0,0.0,0.7375429556701606,6.7083825939827015
121.0,0.016312693318972744,1.0,8.574458934122037
122.0,0.0013401534359952783,0.009646288328999266,20.0
123.0,0.5345902886927488,0.0,0.2616443738389485
124.0,0.7699959633518353,0.0,1e-10
125.0,1.0,0.0,12.598600335352064
126.0,0.9465367437771012,0.01675089340135294,10.709208585143516
127.0,0.8877751668831583,0.0,5.452867207188082
128.0,1.0,0.0,4.4374805784925195
129.0,1.0,0.012818495140693416,10.911767685035555
130.0,1.0,1.0,12.603375058200852
131.0,1.0,0.0,4.716281971454274
132.0,1.0,0.02354329842155751,5.941053802146399
133.0,0.0,1.0,5.663284477658998
134.0,0.010538354325095605,0.010864499026099754,20.0
135.0,1.0,0.0,8.914087909792041
136.0,0.9324018047658604,0.9854628260607198,12.061332557123881
137.0,1.0,1.0,12.05411236266038
138.0,0.01737289321656668,1.0,8.051192181191428
139.0,1.0,1.0,10.644350721331197
140.0,1.0,1.0,12.330379511878318
141.0,1.0,1.0,14.120555151016028
142.0,1.0,0.3511402920070532,19.462326534724625
143.0,0.9882236546777968,1.0,16.318815378873296
144.0,0.0,0.0,1e-10
145.0,1.0,0.3441489806082088,0.44873797536169163
146.0,0.5934726614351582,0.5934726621645734,0.5684064582579326
147.0,0.9060474020416208,0.8306630553281458,19.663560811095504
148.0,1.0,0.37454703741764317,7.730352292724314
149.0,1.0,0.9087095814574422,12.747742989646811
150.0,1.0,1.0,15.071948336117014
151.0,1.0,1.0,13.21375957539892
152.0,1.0,1.0,15.962245369781273
153.0,1.0,1.0,16.58246345143774
154.0,1.0,1.0,20.0
155.0,1.0,0.0,6.421385030671675
156.0,0.9908754338070387,0.11136869969217433,8.369524676002463
157.0,0.8361891507713772,1.0,11.901878872611329
158.0,1.0,1.0,12.568049756239093
159.0,0.6937978053576939,1.0,12.965817057987486
160.0,1.0,1.0,13.521382669802614
161.0,1.0,1.0,15.578656743193783
162.0,1.0,1.0,14.791219438584957
163.0,1.0,1.0,13.672224670486646
164.0,1.0,1.0,11.383613324245498
165.0,1.0,1.0,13.274996638613196
166.0,1.0,1.0,8.46662685500115
167.0,1.0,1.0,12.9356117248879
168.0,1.0,1.0,11.922824326846056
169.0,1.0,1.0,12.097601220512008
170.0,1.0,1.0,16.868223158086124
171.0,1.0,0.9552175653887846,16.032823032260094
172.0,1.0,0.08156534031501528,13.343820219088897
173.0,1.0,1.0,12.396730167346048
174.0,1.0,1.0,11.641356025436584
175.0,1.0,0.8200855451717546,18.0491215595673
176.0,0.9901586884115966,1.0,15.790590525572128
177.0,1.0,0.0,5.1244915973372205
178.0,0.01207199448210101,0.03349536967969108,20.0
179.0,1.0,1.0,12.607742360835092
180.0,0.9072476028370136,0.8122214570305394,14.150687706375322
181.0,1.0,1.0,14.435514390734848
182.0,1.0,0.5004494141964793,13.020519656652866
183.0,1.0,0.9646905313541362,11.857925920280822
184.0,1.0,0.4048459215354866,12.998877543765177
185.0,1.0,0.7137389069934346,11.875074488539
186.0,0.08135265559710558,1.0,17.572951818984635
187.0,1.0,1.0,13.888804237619183
188.0,1.0,0.13189697331722952,0.3391719478751565
189.0,0.012084515238557622,1.0,20.0
190.0,0.17085509486077943,1.0,11.025158980919013
191.0,0.9787616758469687,0.8836450877009225,18.465035135560345
192.0,1.0,0.960760663518188,10.672192385027845
193.0,1.0,0.987424666086568,10.54577281658895
194.0,1.0,1.0,12.358213761248685
195.0,0.9574249657150306,1.0,13.018544950053423
196.0,1.0,1.0,11.601081893320355
197.0,1.0,1.0,14.091288287662284
198.0,0.891711579220573,0.9109752241902919,10.672381771937772
199.0,1.0,1.0,0.5927683319393616
200.0,0.00579277205978966,1.0,20.0
201.0,0.654924668578701,1.0,13.361638982422944
202.0,0.8748820440847652,0.8655395431121351,15.594189496110946
203.0,1.0,0.43427682275958523,14.374931424357337
204.0,1.0,1.0,12.162527933253417
205.0,1.0,1.0,12.253959981654736
206.0,1.0,1.0,13.193774344999806
207.0,1.0,1.0,11.891025575041027
208.0,0.7601985691786618,1.0,10.369837728530303
209.0,1.0,1.0,14.54438146734722
210.0,0.7426859956931368,0.0,6.778841058300043
211.0,0.4083099372686695,1.0,7.524645559145064
212.0,1.0,0.9204452624532522,13.674780314200992
213.0,1.0,1.0,16.811958005440818
214.0,1.0,1.0,6.072856458893605
215.0,0.954505430350163,1.0,12.119068164044721
216.0,1.0,1.0,9.502735785334872
217.0,1.0,1.0,18.45493090532749
218.0,1.0,1.0,12.913936607909248
219.0,0.9084490066563984,1.0,16.554836374395283
220.0,1.0,1.0,14.790969798562333
221.0,0.0,1.0,4.435827431655062
222.0,0.00579277286265434,1.0,20.0
223.0,0.8613217410587524,1.0,14.691010900529294
224.0,0.8570041258763285,1.0,15.117592465545332
225.0,1.0,1.0,7.850884082128752
226.0,1.0,1.0,12.3051840495753
227.0,1.0,1.0,13.900101864803538
228.0,1.0,1.0,13.554991982755194
229.0,1.0,1.0,12.071453887919297
230.0,0.9255030517133934,1.0,17.04672270105936
231.0,1.0,1.0,12.64895890939721
232.0,0.016866684587724425,0.003034424208874774,20.0
233.0,0.0,1.0,7.889082754443253
234.0,1.0,1.0,13.350258729831916
235.0,0.014620500842252311,1.0,20.0
236.0,1.0,1.0,14.54323256765943
237.0,1.0,0.6946209001873552,13.591407367267713
238.0,0.9983640702594825,1.0,15.649589951427938
239.0,1.0,1.0,14.532137230255948
240.0,1.0,1.0,9.935090415024206
241.0,0.9178142397338837,1.0,9.225582198580955
242.0,1.0,1.0,17.19254918206037
243.0,0.0146205008735091,1.0,20.0
244.0,1.0,0.0,0.4487379833443357
245.0,0.014620500718509684,0.0,20.0
246.0,0.8744616969050278,0.0,5.703628897819364
247.0,0.6213016277868101,0.0036260633799399364,20.0
248.0,1.0,0.0,20.0
249.0,1.0,0.2174078632088284,20.0
250.0,1.0,0.0,10.009044863642385
251.0,1.0,0.0,6.547513893961057
252.0,1.0,0.0,11.340984971509037
253.0,1.0,0.0013401560220134266,20.0
254.0,1.0,0.0,0.2871649808847012
255.0,0.29791948702529014,0.29791949352327696,0.4694977413675718
256.0,1.0,0.05644747015302595,5.9753916066743455
257.0,0.8848225153088897,0.4756393057755783,11.98512872085354
258.0,0.7025610461940628,1.0,13.592365337759928
259.0,1.0,1.0,15.382776875311945
260.0,0.999999102517943,0.29569065196451205,17.70792626367523
261.0,1.0,0.9521573352286897,14.353279886787032
262.0,1.0,1.0,12.446884700399604
263.0,1.0,1.0,13.64271852141942
264.0,1.0,0.18198000996657648,10.12202464957113
265.0,0.5984830502875859,0.25562608719136604,0.10595508299488766
266.0,0.02044478279632118,0.03220868341303245,20.0
267.0,0.9176159391867332,0.03909163328717301,8.62930483896795
268.0,1.0,0.8732514729238847,9.306519450671708
269.0,1.0,1.0,12.076019262841536
270.0,1.0,0.3360279698930527,17.064289135547074
271.0,0.908832681096912,1.0,9.29704881578653
272.0,1.0,0.8274708598225395,12.7313298708944
273.0,0.9939011186762613,0.9584443884783049,20.0
274.0,0.1476206133993594,1.0,12.801860821572086
275.0,1.0,1.0,13.606185912496011
276.0,0.8571483733630781,0.0,0.23600812226443288
277.0,0.07998885285564736,1.0,2.1545458878595714
278.0,1.0,0.01995053946326804,20.0
279.0,0.06843820403530676,1.0,11.714379539833153
280.0,1.0,1.0,13.948626904155526
281.0,1.0,0.3764250312974472,9.59100749863973
282.0,1.0,0.9532213344408588,14.101974207751603
283.0,1.0,1.0,12.753240791360152
284.0,1.0,0.0,12.802915342979222
285.0,1.0,1.0,13.213942418948298
286.0,1.0,1.0,12.337780085623152
287.0,0.0,1.0,0.044670181970775574
288.0,0.0,1.0,4.439785222743667
289.0,0.29859028941649723,1.0,14.57911263589247
290.0,1.0,1.0,14.404423965455102
291.0,1.0,1.0,8.729673429881348
292.0,1.0,1.0,13.355636146089195
293.0,0.7842776964686933,1.0,12.96672700003083
294.0,0.7688513072728134,1.0,20.0
295.0,1.0,1.0,14.345341254509183
296.0,1.0,1.0,12.981623188681017
297.0,0.9069451320325775,1.0,16.132237511321417
298.0,0.6581982135760721,0.0,0.1024564674345514
299.0,1.0,1.0,20.0
300.0,1.0,1.0,15.662349080428399
301.0,1.0,1.0,18.95077242306206
302.0,1.0,1.0,18.22255607033201
303.0,1.0,1.0,13.393419801868442
304.0,1.0,0.971987333755233,15.607940918433364
305.0,1.0,0.5658244477880937,14.98459999699452
306.0,1.0,1.0,7.502168616743059
307.0,1.0,1.0,13.544376656485728
308.0,1.0,1.0,16.64745674945305
309.0,0.0,0.3934113281538698,1e-10
310.0,0.010710552653944402,1.0,20.0
311.0,1.0,1.0,12.445808346299417
312.0,1.0,1.0,11.616399474542183
313.0,0.697428673584507,1.0,19.139476719950345
314.0,0.8980196723759667,0.9294420992441653,11.784836216559167
315.0,1.0,1.0,12.75868974798918
316.0,1.0,1.0,17.077676047661758
317.0,1.0,1.0,14.440048967501417
318.0,1.0,1.0,12.7047596244244
319.0,1.0,1.0,20.0
320.0,0.0,0.007764695637760733,20.0
321.0,0.9396359683274186,1.0,15.446427606841775
322.0,1.0,1.0,12.217059373814386
323.0,1.0,1.0,11.843584444397896
324.0,1.0,1.0,13.562223570253899
325.0,1.0,1.0,13.344889451546544
326.0,0.8656730198490815,1.0,13.443409059321077
327.0,1.0,1.0,13.679985396485066
328.0,1.0,1.0,13.365957777527377
329.0,1.0,1.0,15.35502059897826
330.0,1.0,1.0,14.211203532584378
331.0,0.0,0.49398372058447493,1e-10
332.0,1.0,1.0,12.228070313495499
333.0,1.0,1.0,9.404403783976818
334.0,1.0,1.0,9.935951916173266
335.0,1.0,0.5261734621044141,13.894283103960449
336.0,0.8395675795103723,1.0,16.0548142944632
337.0,1.0,1.0,20.0
338.0,1.0,1.0,17.283815160406032
339.0,1.0,1.0,13.440104607174053
340.0,1.0,1.0,11.661363317036763
341.0,1.0,1.0,14.673813821835658
342.0,0.39124201847241924,0.562435581786456,0.3575089924347025
343.0,1.0,1.0,9.76252837238683
344.0,1.0,1.0,16.868809681535115
345.0,1.0,1.0,13.538675019626634
346.0,1.0,1.0,20.0
347.0,1.0,1.0,15.220438334015274
348.0,1.0,1.0,10.64265029590709
349.0,1.0,1.0,14.453838695962727
350.0,0.19994239290757843,1.0,14.989272833766123
351.0,1.0,0.30410676515317836,11.222584622537584
352.0,1.0,1.0,12.261966634524265
353.0,0.0,1.0,0.04467018594564297
354.0,0.09336682964735812,1.0,2.4510722070888664
355.0,0.024176683994019874,0.8316876206879471,20.0
356.0,1.0,1.0,11.512481140595922
357.0,1.0,1.0,13.927457205140117
358.0,0.7599019601077658,1.0,14.255055310434004
359.0,0.530673195116123,1.0,15.025198797742338
360.0,1.0,1.0,16.59395688695243
361.0,0.9940291079060176,1.0,13.452335914244443
