Subject,a_gain,a_loss,beta,llh
1.0,0.0,0.0,1e-10,8.317766166719343
2.0,1.0,0.0,0.1398725432525241,8.21537861998338
3.0,0.993888465826154,0.11910971026572514,5.069978285610127,6.931472077731429
4.0,1.0,1.0,9.360720707353526,4.158883083361582
5.0,0.33029784475809576,0.9226193608085979,0.4863739158940665,6.293143318232559
6.0,0.12271357467659472,0.0,1e-10,8.317766166719343
7.0,0.0,0.0,1e-10,8.317766166719343
8.0,0.20111613130333944,0.9484225252892159,0.6954814795548472,8.21537861998338
9.0,0.0,0.0013401521838119967,20.0,8.297736541259917
10.0,0.20385708283934667,0.019950539608611904,20.0,6.156565895834231
11.0,0.5953188262399297,0.24791247725909316,0.2349540010309022,8.21537861998338
12.0,0.0,0.001340157451347747,20.0,8.297736541259635
13.0,0.4376071392996057,0.0,1e-10,8.317766166719343
14.0,0.0,1.0,20.0,5.545177444479562
15.0,0.09257612163007067,0.4131582952150871,0.3385446631391964,8.21537861998338
16.0,0.0,0.0,1e-10,8.317766166719343
17.0,0.0,0.9914453936258673,0.1410794184672263,8.112991073247416
18.0,0.0,1.0,0.13987253907566782,8.010603526511453
19.0,0.0,0.0,1e-10,8.317766166719343
20.0,0.582747165970437,0.10492219489524592,0.42574583653357334,8.284348414135033
21.0,0.6697683817989594,0.0,1e-10,8.317766166719343
22.0,0.0,0.0,1e-10,8.317766166719343
23.0,1.0,1.0,0.1398725354757277,8.010603526511453
24.0,0.0,0.007624028140098298,20.0,7.57170243112759
25.0,1.0,0.18157812467737122,0.20618104383079702,7.289346945608936
26.0,0.0,0.0,1e-10,8.317766166719343
27.0,0.007989039309295887,0.29003365241864165,20.0,7.774063810320391
28.0,0.0022564006388506373,0.44595135108604755,20.0,8.2506403267385
29.0,0.16766216458590943,0.38265287357528344,0.3655337269704362,8.21537861998338
30.0,0.89379039446029,0.0,0.37741924020318235,7.425468875869957
31.0,0.0,0.8617043834175568,0.16232079742684286,8.010603526511453
32.0,0.0,0.4255738941404651,1e-10,8.317766166719343
33.0,0.0,0.48498853084930815,1e-10,8.317766166719343
34.0,0.0,0.0,1e-10,8.317766166719343
35.0,0.0,0.0,1e-10,8.317766166719343
36.0,1.0,0.3607047821754799,0.6768136756813297,6.927250223420211
37.0,1.0,0.001949160297841552,20.0,6.816225361347638
38.0,0.6075998013219556,0.5900014596767231,0.2302050373653789,8.112991073247414
39.0,0.0,0.70683318306835,1e-10,8.317766166719343
40.0,0.5639945428569775,0.7542983589897335,0.5949078120348451,6.293143318232559
41.0,0.22809709288639435,1.0,4.436169210787718,6.931473465908496
42.0,0.4933351051311424,0.7292842810138906,0.28352440191963735,8.21537861998338
43.0,0.7545614463131738,0.0,0.18536933100554154,8.21537861998338
44.0,0.2711419074997427,0.4266115439986632,0.5158646862609056,8.010603526511453
45.0,0.0,0.0,1e-10,8.317766166719343
46.0,0.0,0.0,1e-10,8.317766166719343
47.0,0.0077646941759201785,0.4723913535022217,20.0,7.6731524205881305
48.0,0.0,0.028229654176786134,1e-10,8.317766166719343
49.0,0.02238000048051573,0.8740797895196316,6.247397462274927,6.829084350807063
50.0,1.0,0.0,0.1398725330416255,8.21537861998338
51.0,0.7986399779844142,0.635374617385188,0.5738879381206078,8.317766166719343
52.0,0.4679621419660348,0.0,0.28024493266372186,8.317766166719343
53.0,0.13707283323651487,0.05611130210322607,0.7960997976064726,8.284348414135033
54.0,0.35398891383650066,0.0,1e-10,8.317766166719343
55.0,0.0,0.5653762026241538,1e-10,8.317766166719343
56.0,0.0,0.5420771994759732,0.6222982556946648,7.425468875869957
57.0,0.0,0.5651290764505,0.24750547366019376,8.112991073247416
58.0,0.20602448965618558,0.2586620220030932,0.023440532818269855,8.317766166719343
59.0,0.7230182737636458,0.0,1e-10,8.317766166719343
60.0,0.0,0.7901149812717254,1e-10,8.317766166719343
61.0,1.0,0.0,4.432539252131898,6.931473484087877
62.0,0.0,0.10465496265598517,1e-10,8.317766166719343
63.0,0.0,1.0,0.13987253875647707,8.010603526511453
64.0,0.02161266526360938,0.011925506356854536,20.0,7.040497833051993
65.0,0.0,0.5367872452575598,1e-10,8.317766166719343
66.0,0.0,0.7770579464179175,1e-10,8.317766166719343
67.0,1.0,0.7491531289771254,0.13987253810297853,8.010603526511453
68.0,0.0,0.08402382705060307,1e-10,8.317766166719343
69.0,1.0,0.033876509982832204,6.75260610935285,5.5451774523560955
70.0,0.2027422442008524,0.0,1e-10,8.317766166719343
71.0,0.0022564029575812927,1.0,20.0,6.864345965618613
72.0,0.0,0.0,1e-10,8.317766166719343
73.0,0.9402591253156645,1.0,5.731867233418044,5.545177573625389
74.0,0.0,0.5049802551076465,1e-10,8.317766166719343
75.0,0.0,0.0,1e-10,8.317766166719343
76.0,0.0,0.0,1e-10,8.317766166719343
77.0,0.0,0.0,1e-10,8.317766166719343
78.0,0.7773895334309996,0.0,1e-10,8.317766166719343
79.0,0.0,0.8339762281519697,1e-10,8.317766166719343
80.0,0.9999999996885587,0.48782411192857905,5.743228355158191,5.44278996460737
81.0,0.0013401571116356012,0.9168927143467374,20.0,8.297736541259649
82.0,0.008329807259618387,1.0,3.3088316060736958,6.91098794483351
83.0,0.0,0.8800797704244047,1e-10,8.317766166719343
84.0,0.0,0.12588164185811668,1e-10,8.317766166719343
85.0,0.0,0.4145315920859114,1e-10,8.317766166719343
86.0,0.0,0.0,1e-10,8.317766166719343
87.0,0.5921978277567922,0.0,1e-10,8.317766166719343
88.0,0.0,0.9330800676753289,0.24091758640842095,8.317766166719343
89.0,0.0,0.9999510853778196,0.13987937547835844,8.112991073247416
90.0,0.41266550518054634,1.0,0.1398725393785728,7.908215979775488
91.0,0.0,0.0,1e-10,8.317766166719343
92.0,0.013729474552489662,0.8266092625716,20.0,5.806344994370642
93.0,0.0,0.0,1e-10,8.317766166719343
94.0,0.839046531099058,0.4668731706601288,7.155375708623552,6.829084286342656
95.0,0.0024482757433971695,0.0011994699856625911,20.0,8.245048499415212
96.0,0.07422946207861525,0.0,1e-10,8.317766166719343
97.0,0.0,0.8627495153291097,1e-10,8.317766166719343
98.0,0.274396706931591,0.9720733796411157,0.7031805224467617,8.317766166719343
99.0,0.0,0.0,1e-10,8.317766166719343
100.0,0.8867800130379986,0.7671203428026733,6.5779173244915885,6.93147207202728
101.0,0.0,0.0,1e-10,8.317766166719343
102.0,0.6397043892903881,1.0,8.256555427601242,5.545177444514533
103.0,1.0,0.0,0.13987253852460754,8.010603526511451
104.0,0.18046731372064417,0.0,1e-10,8.317766166719343
105.0,0.0,0.0,1e-10,8.317766166719343
106.0,0.0,0.0,1e-10,8.317766166719343
107.0,0.0,0.46307494336213945,0.30205161737515007,8.21537861998338
108.0,0.0,1.0,4.435760777455746,6.931473467944122
109.0,0.0,0.4463860097726182,11.548909171436902,6.931471997591028
110.0,0.9426953116694834,0.901730861388518,11.824130411836899,4.158883083359688
111.0,-1.3877787807814457e-17,0.8248652601930908,6.080157741813671,6.9314720977687125
112.0,0.0,0.0,1e-10,8.317766166719343
113.0,0.7161865584008854,0.0,0.19530183060953693,8.21537861998338
114.0,0.014620499853660445,1.0,20.0,5.735179108686202
115.0,0.6273830060704787,0.0,8.159432394377243,6.931472019604216
116.0,1.0,0.0,4.431805677679728,6.931473487785836
117.0,0.9834484196635975,0.0,0.14222662659786908,8.21537861998338
118.0,0.0,1.0,4.430120778887251,6.9314734963103115
119.0,1.0,1.0,0.13987254075743225,8.010603526511451
120.0,0.4700166982633187,0.2986736845525857,0.297590559830932,8.21537861998338
121.0,0.0,0.05652833030816373,1e-10,8.317766166719343
122.0,0.3597502043138896,0.3511927782718396,0.3888046273821156,8.21537861998338
123.0,0.0661985469139198,1.0,4.429055567109495,6.931473501721853
124.0,0.0,0.014620500870048764,20.0,7.121473469806094
125.0,0.0,0.8936946830775877,1e-10,8.317766166719343
126.0,0.0,0.0013401564485986865,20.0,8.297736541259667
127.0,0.8012841450580662,0.0,6.264460385677783,6.931472094022302
128.0,1.0,0.0,6.423044034728969,5.54517745304111
129.0,0.6710448615366741,0.2422935209332988,0.20843992545816623,8.112991073247416
130.0,0.025251364813983813,1.0,5.5388073587540045,6.829084320114497
131.0,0.412612657590704,0.14902316521536763,0.9385959055113388,8.21537861998338
132.0,0.5428501271535013,0.441786910050992,0.3266005760345986,8.317766166719343
133.0,0.5331021159680428,0.012084516240409699,20.0,7.08712622239617
134.0,0.0,0.0,1e-10,8.317766166719343
135.0,0.0,0.41949699383185585,0.3334291952296092,8.112991073247414
136.0,0.42845203563246914,0.0,1e-10,8.317766166719343
137.0,0.1314737399129069,1.0,0.13987253387878557,8.010603526511453
138.0,0.602959374568685,0.004224473306255918,20.0,8.133455026720561
139.0,0.0,0.7511198637246691,0.18621866818932284,8.21537861998338
140.0,0.7826380838626749,0.0,0.1787193045302409,8.21537861998338
141.0,0.7685729324021567,0.7985856764561758,7.436204765384213,6.931471823918219
142.0,0.11175412481998415,1.0,0.13987253663260094,8.010603526511453
143.0,0.0,1.0,12.920866391708893,5.545177444479562
144.0,0.0,0.002925038499507254,20.0,8.1877531096611
145.0,1.0,0.025770321925451905,5.427753948708271,6.829084343667406
146.0,1.0,1.0,10.725622945652047,4.1588830833597035
147.0,1.0,0.0,5.064899769957013,5.545177948045082
148.0,0.0,0.00787496774343999,5.672426564338093,8.284348414135033
149.0,0.0,0.3769906737373211,0.37102388507696027,8.21537861998338
150.0,0.8531608030356239,0.0009570625319500268,20.0,8.289168566547428
