Subject,a_gain,a_loss,beta,decay
1.0,0.0,0.08185252854226263,1e-10,1.0
2.0,0.529373873384542,1.0,0.23461029138602518,0.0
3.0,0.055861291975090786,1.0,20.0,0.9580771937302922
4.0,1.0,0.029310757667479204,20.0,0.5802267834073238
5.0,0.0,0.5442748699834601,1e-10,1.0
6.0,0.0,0.0030344209240459785,20.0,0.0
7.0,0.0,0.9464303338951142,19.60484669211142,0.709672194036106
8.0,0.0,0.5526853681413815,0.2530780510380231,1.0
9.0,0.016470595854285393,0.8001294398176844,20.0,1.0
10.0,0.0,0.4962783108863256,0.9905830048888278,0.3422834735705449
11.0,0.0,1.0,20.0,0.9528954013239797
12.0,1.0,0.24034476475023658,0.1398725403822586,1.0
13.0,0.02127410987609571,0.0029239755862624107,20.0,1.0
14.0,0.0,0.8108865858105929,1e-10,1.0
15.0,0.0,0.8940874079836558,1e-10,1.0
16.0,1.0,0.016527070788088682,20.0,0.9832505153018276
17.0,0.3494251844210282,0.0,0.12783909042135194,0.0
18.0,1.0,0.17875089865603444,0.044670189382285536,0.0
19.0,0.310609960316238,0.0,1e-10,1.0
20.0,0.0,0.09761998626330459,1.432826781823234,0.0
21.0,0.6018842897553053,0.0,0.5126297181526867,0.5466687724827195
22.0,0.8101636601907162,0.0,7.141842335485858,1.0
23.0,1.0,0.0,20.0,0.9553668976985223
24.0,0.0,1.0,20.0,0.9627674144967748
25.0,0.0,0.30907503173996465,0.45256496583571876,9.520793898118088e-06
26.0,0.0,0.44724020996133174,0.7306796970094273,0.5719794986199866
27.0,0.9350913260240101,1.0,0.15389074443400844,0.35469614296625307
28.0,0.0,1.0,20.0,0.783103555175231
29.0,0.15214995104811346,1.0,20.0,0.9206320729627979
30.0,0.0,1.0,20.0,0.9931110589980799
31.0,0.0,1.0,20.0,0.051842919946569976
32.0,1.0,0.0,20.0,0.783104667613788
33.0,1.0,1.0,0.3269604483422555,0.43695083638976046
34.0,0.0,0.004722376708958887,20.0,1.0
35.0,0.5565298303923725,0.0,10.346032799596435,0.095058178774982
36.0,1.0,0.9809709216187705,0.14205069273291124,0.825236491291293
37.0,0.0,0.5077290327220286,0.2290881450326095,0.5333933629218522
38.0,0.0,0.014620501555471368,20.0,1.0
39.0,0.0,0.5261223734839864,1e-10,1.0
40.0,0.15984158368220272,0.1997151915263704,0.8750697918804828,1.0
41.0,0.0,0.15535303515493482,1e-10,1.0
42.0,0.5042709288114592,0.5099107389082427,0.27737577737141,1.0
43.0,0.3624279906769855,0.0,10.390364927746676,0.5609944563158535
44.0,0.0,0.0,1e-10,1.0
45.0,0.0,0.06898499792481047,1e-10,1.0
46.0,1.0,0.11388624062106718,20.0,0.9319052377569145
47.0,0.012084512076110051,0.0,20.0,0.2046943758888051
48.0,0.5737183827219611,0.008443451965730712,20.0,0.9371008573880107
49.0,0.0,0.9762342630007859,1e-10,1.0
50.0,0.0,1.0,6.668952994462888,1.0
51.0,0.0,0.7776119992829116,1e-10,1.0
52.0,1.0,0.0,0.13987254038814725,0.0
53.0,1.0,0.0,7.899837031935324,1.0
54.0,1.0,1.0,6.5408736293313225,0.09848178921836925
55.0,0.0,0.0,1e-10,1.0
56.0,0.7656617062994968,0.6588693038786178,14.390570548165671,0.0
57.0,0.06629734221306904,0.0,1e-10,1.0
58.0,1.0,0.0,0.4487379843058114,0.96776524647498
59.0,0.0,0.0,1e-10,1.0
60.0,0.0,0.8232420775248288,0.27953650525221474,0.15292450645952066
61.0,0.12358124909138751,1.0,20.0,0.5094805309487611
62.0,0.0,0.37761292840447647,1e-10,1.0
63.0,1.0,0.0,0.3373336972109764,0.6473732447997818
64.0,1.0,0.8295774119560572,4.434247327864002,0.6209735877230811
65.0,0.006001015539389944,0.016103282430295816,20.0,0.0
66.0,0.9808104712993896,0.0077085507518431,18.145104242519,0.07776553839298185
67.0,0.0,1.0,20.0,0.9931641910455915
68.0,0.0,0.0,1e-10,0.4897307095675102
69.0,0.7232174979605887,1.0,5.551499174977608,1.0
70.0,0.0,0.01998519602771992,20.0,0.0
71.0,0.3893278878948472,0.0,0.3592666829796066,1.0
72.0,0.817472815541812,0.0,1e-10,1.0
73.0,0.012084515697404503,0.006993621892040698,20.0,0.0
74.0,0.0,0.0,1e-10,0.7906734318936353
75.0,0.01995053958923823,0.0,20.0,0.0
76.0,0.02589826336417717,1.0,5.400849600571566,1.0
77.0,0.0,0.07624451202033289,1e-10,1.0
78.0,0.09921153172481423,0.06078292986439927,20.0,0.4190417908255962
79.0,1.0,0.0,0.13987253977078135,1.0
80.0,0.08264406874306547,1.0,20.0,0.9174494423454974
81.0,1.0,0.0,0.13987254412363379,1.0
82.0,0.7819279492700248,0.32124940476177655,0.16689710810904745,0.22999919654068934
83.0,0.0,0.0,1e-10,1.0
84.0,0.0,0.05438718600660452,0.8213373672782993,0.0
85.0,0.0,1.0,0.13987253163311003,0.0
86.0,0.5904445124626957,0.0,0.2368936209311334,1.0
87.0,0.00699362456168605,0.017814447432085188,20.0,0.0
88.0,0.5294283058819541,0.0,0.2641954272133964,0.0
89.0,1.0,0.0,5.545915940520508,0.0
90.0,0.9959008822342121,0.0,0.14044826283743755,1.0
91.0,0.0,1.0,13.5703879023508,0.5994693344923512
92.0,1.0,1.0,0.09074174599746311,0.0
93.0,0.003143319234073368,0.0,20.0,0.0
94.0,0.4202141080864282,1.0,0.2555684565639279,0.0
95.0,0.004663747091517401,1.0,0.06743665979978039,1.0
96.0,0.005773038872475474,0.0,20.0,0.0
97.0,0.0,0.8995762856467777,0.3076979105016139,0.12760337788316617
98.0,1.0,0.0,16.348680919020964,1.0
99.0,0.0,0.005954453855430845,20.0,0.8331075303700756
100.0,0.7279536707542581,0.002302565766672644,20.0,0.0
101.0,0.2705971040134089,0.8900246491736333,20.0,1.0
102.0,0.019950539919361417,0.45796883495064655,20.0,0.3026366000305506
103.0,1.0,0.022910590900742222,20.0,0.6048173830203871
104.0,0.004314169172490153,0.0012379167602635179,20.0,1.0
105.0,1.0,0.0,0.23054635843394922,0.5976778894517358
106.0,1.0,0.09659384232102386,0.06743666655508712,0.0
107.0,1.0,0.0,5.6171097077160725,0.0
108.0,1.0,0.5424076010659635,0.2578734891648288,0.0
109.0,0.004401244538582491,0.00490850377249655,20.0,0.0
110.0,1.0,0.0,0.13987253932784496,0.6674865484944827
111.0,0.0,0.010898714585241385,20.0,0.0
112.0,0.22329506960985224,0.007989038420065141,20.0,1.0
113.0,1.0,0.5033344500961375,0.2246654588446347,0.0
114.0,0.4238925280287312,0.7912692716995956,0.3299717059332171,1.0
115.0,0.0,0.0,1e-10,1.0
116.0,0.09064276056105375,1.0,20.0,0.922481817445471
117.0,0.5488567946443546,0.0,0.2548434143846994,0.0021192990916357735
118.0,0.1675991130996849,0.000740790016564419,20.0,0.0
119.0,0.0,0.0,1e-10,1.0
120.0,0.0,1.0,20.0,0.7831035534900872
121.0,0.00259980144799931,0.9659287829923957,20.0,0.0
122.0,1.0,0.0,8.016806446533742,0.2662354492166513
123.0,0.9296196075553008,0.0,0.2773967947138393,0.0
124.0,0.8210340415754364,0.7551618865934849,0.17036143805909948,1.0
125.0,0.2624812754811356,1.0,0.12637732861787768,0.0
126.0,0.0,0.0,1e-10,1.0
127.0,1.0,0.006821321024508384,20.0,0.9118759023043396
128.0,0.0,0.7249083592257811,0.19295201788668842,0.5490508194150008
129.0,0.0,0.0033844955120543047,17.286250929822153,0.0
130.0,1.0,0.023436456318854562,5.967483560968917,0.0
131.0,0.2672334870890894,0.0,20.0,1.0
132.0,1.0,0.0,20.0,1.0
133.0,0.014605291013104729,0.004968074430611,20.0,0.0
