Subject,alpha,beta,decay
1.0,0.9985413055368765,6.839457050441384,1.0
2.0,0.8068359828550651,0.418094513400795,1.0
3.0,0.0,1e-10,1.0
4.0,1.0,0.3984998917757124,0.0
5.0,0.0,1e-10,1.0
6.0,1.0,0.1398725368388188,0.0
7.0,0.1746665619441143,0.38608801655567326,1.0
8.0,0.637516509480265,0.21940220066767602,1.0
9.0,1.0,0.1398725368701969,0.0
10.0,0.9531828447602149,5.093745321985646,1.0
11.0,0.5906083942239657,0.5711630673104533,1.0
12.0,0.4488318156930911,0.54931472050676,0.369409949044858
13.0,0.0,1e-10,0.8628686434216641
14.0,0.0,1e-10,1.0
15.0,0.3600876527303628,0.3884402524721146,1.0
16.0,0.8171551222126567,0.17117011670927926,1.0
17.0,0.0,1e-10,0.8166868392986303
18.0,0.0,1e-10,1.0
19.0,0.2778339046161276,0.5034394579881065,1.0
20.0,1.0,0.044670185724643575,0.0
21.0,0.0077646956725022165,20.0,1.0
22.0,1.0,5.017646766477017,1.0
23.0,1.0,0.09074174246080244,0.0
24.0,1.0,20.0,0.9933131728701042
25.0,0.0,1e-10,0.870676893001958
26.0,0.0,1e-10,0.9036503722071402
27.0,0.0,1e-10,0.8956399693366351
28.0,0.0,1e-10,1.0
29.0,1.0,0.20618104736899365,0.0
30.0,0.0,1e-10,1.0
31.0,0.004722375945193204,20.0,1.0
32.0,0.00046989158639911796,19.97088742305295,0.30429073081573094
33.0,0.0,1e-10,0.7485882509157061
34.0,0.004509767265656991,20.0,-1.3877787807814457e-17
35.0,0.38261724511159473,0.8816479126210167,1.0
36.0,1.0,5.8049893522535045,1.0
37.0,1.0,0.25787349486404787,0.0
38.0,0.0,1e-10,0.0
39.0,0.0008342586581680865,20.0,-2.7755575615628914e-17
40.0,1.0,0.1477003222823297,0.6974186812447035
41.0,0.0022498907358418124,20.0,0.4075777369784155
42.0,0.0,1e-10,1.0
43.0,0.007862240472724515,20.0,0.0
44.0,0.010898714341544272,20.0,0.0
45.0,0.010185136657029675,20.0,0.0
46.0,1.0,20.0,0.9396225784556499
47.0,1.0,8.458599756635444,1.0
48.0,0.007989039246681326,20.0,1.0
49.0,1.0,10.649928929861542,1.0
50.0,0.7403581904478538,1.1374456607798362,0.4887179576658466
51.0,1.0,10.005846867151597,0.0
52.0,1.0,0.18525921512033822,0.2795738334893298
53.0,0.024416718117365933,20.0,0.22733333741159314
54.0,0.04406900569324278,20.0,0.7016904767179271
55.0,0.0,1e-10,0.48372024842857764
56.0,1.0,20.0,0.9164486870809351
57.0,1.0,0.10696076495687425,0.4109084772014004
58.0,0.006929512770128421,20.0,0.0
59.0,1.0,16.127103191973593,0.9790824036660968
60.0,0.0,1e-10,1.0
61.0,1.0,9.612996304146007,0.0
62.0,1.0,20.0,0.654145482021501
63.0,1.0,0.09074175080743169,0.0
64.0,1.0,0.32756672759653166,0.3604101291083079
65.0,0.0,1e-10,1.0
66.0,1.0,6.940925526690034,1.0
67.0,1.0,0.3373336870392613,0.0
68.0,1.0,0.3373336918965163,0.0
69.0,1.0,4.926822711183374,1.0
70.0,0.353409032395232,3.303976996066926,0.36272055938861497
71.0,1.0,12.200168267393648,0.9963384078489902
72.0,1.0,20.0,0.8990867416303054
73.0,0.0,1e-10,0.0
74.0,0.01003893512245835,20.0,0.05032811014812472
75.0,0.0,1e-10,1.0
76.0,1.0,0.09074174788365165,0.0
77.0,0.0,1e-10,1.0
78.0,0.004982361125633084,20.0,0.1824972367087336
79.0,1.0,20.0,0.783104115651558
80.0,1.0,0.6456942480626913,0.0
81.0,1.0,20.0,0.7876426830571088
82.0,1.0,0.026715149992116854,0.0
83.0,0.2170813360332053,5.599841847650846,0.5862290274411752
84.0,0.7016263195008369,0.19935476049160397,1.0
85.0,1.0,20.0,0.9471786351996574
86.0,1.0,0.27563079574171545,0.027912039304561913
87.0,0.0027362790278409707,20.0,0.0
88.0,0.0,1e-10,0.0
89.0,0.006835811260555545,20.0,0.0
90.0,1.0,6.804723087867276,1.0
91.0,1.0,0.20618104644904972,0.0
92.0,1.0,1.7753540861964792,0.33701742949232305
93.0,1.0,20.0,0.851264527474849
94.0,1.0,20.0,0.560340765398947
95.0,0.0,1e-10,0.32213027596531757
