Subject,a_gain,a_loss,beta
1.0,0.0,0.61481037982844,1e-10
2.0,0.5121495015838294,0.0,0.2731088165133325
3.0,0.742184245587674,0.01984316755790294,0.297021278707234
4.0,0.0,0.004722376226539537,20.0
5.0,0.0,0.9944666075869829,0.14065082505483278
6.0,0.0,0.5403547828140843,10.52550451523291
7.0,0.0,0.0,1e-10
8.0,0.2600786969112815,0.0,1e-10
9.0,1.0,0.0,0.13987253494702767
10.0,0.0,0.0,1e-10
11.0,0.014620500818387158,0.0,20.0
12.0,0.2540640161412119,0.0,0.5505405345342037
13.0,0.6415981442299136,0.7064171247254747,1e-10
14.0,1.0,0.0,0.04467018591807532
15.0,0.0027844212702041737,0.0,1e-10
16.0,0.6523134309027927,0.007624027544915407,20.0
17.0,0.019950539752214592,0.44720672948830575,20.0
18.0,0.5063395140818217,0.0,0.2762425831490573
19.0,0.0,0.0,1e-10
20.0,0.0,0.3511899353271783,14.686759437607957
21.0,0.0,0.0029131219849672244,20.0
22.0,0.17647691150891553,0.0,1e-10
23.0,0.0,1.0,0.06743665650644434
24.0,1.0,0.026210096764241745,5.334837326387981
25.0,0.0,0.0,1e-10
26.0,0.6316138756759935,0.0,0.090855777501714
27.0,0.0,0.6525689387795319,1e-10
28.0,0.0,0.007989038335810258,20.0
29.0,1.0,0.5424076088378451,0.25787350330014774
30.0,0.017099349476885534,0.00045998423027457575,20.0
31.0,0.014620497631458918,0.006993624700625774,20.0
32.0,0.7495871031808312,0.0,6.727162523911689
33.0,1.0,0.005809066289662988,20.0
34.0,-2.7755575615628914e-17,1.0,0.13987255093128642
35.0,0.0,0.6169283432861813,0.07240742596894681
36.0,0.6531868203132141,0.0,7.588036847703631
37.0,0.0,0.11133081429159364,1e-10
38.0,0.0,0.040026888451566656,1e-10
39.0,0.14202623185854094,0.14202623766448064,0.9848358857881185
40.0,0.0,0.1524997006069606,1e-10
41.0,0.0,0.5372625982165316,1e-10
42.0,0.006993628236607039,0.0178144454991225,20.0
43.0,0.0,1.0,4.434298178053674
44.0,1.0,0.004277347922677783,20.0
45.0,0.3527941779406528,0.0,0.3964706880007138
46.0,0.8964557459755832,0.2753243299661261,0.5080282763408883
47.0,1.0,0.8511214825997766,0.04467018557458005
