Subject,a_gain,a_loss,beta,iProbA,iProbB,iProbC
1.0,0.18367166647248107,0.37725061080052047,0.5300942941737525,0.7481435687614798,0.3152784163765655,0.23704933312810048
2.0,0.025691859561323697,0.21931607609889975,0.822204314659044,0.34807819909944165,0.9205493069805235,0.18681443835424
3.0,0.047917257776654565,0.10305417726087063,0.6107313783605499,0.6354978966168071,0.808001331503357,0.24935812571125418
4.0,0.2950931443595627,0.3139109299119119,0.20491336707314278,0.9053509289287432,0.8813593851754018,0.07610377799901206
5.0,0.558135254607948,0.8013980123111332,0.4059150940098488,0.999548656034983,0.031381455242062234,0.03117478908027846
6.0,0.21623631848027958,0.6356135537765157,0.5844030721864956,0.9016594590532971,0.9437588487395855,0.1110728916806536
7.0,0.11958667045666257,0.7939846124397811,0.3960187663390097,0.9078488220517554,0.9224688993197488,0.0011877562837055598
8.0,0.14555522319054448,0.49383289326641877,0.28492631607580576,0.8218657870884526,0.16547108045639422,0.04843743594358563
9.0,0.6955837421758903,0.3499805150160742,0.9162385094694796,0.9999994217100082,0.990071463878243,0.2204891780740871
10.0,0.536430482258428,0.6732086654678358,0.5407674519014589,0.9986364591012411,0.0696525142203146,0.1046305095236098
11.0,0.8816264133436473,0.282804184352751,0.9970727485183403,1.0,0.29495807915530337,0.3331895421331457
12.0,0.721825131051032,0.4171760101783367,0.5302639952329515,0.9672742391761308,0.27578653643239226,0.1389569715940857
13.0,0.4204796463970135,0.43233280794619866,0.6139079098668798,0.9382008407698993,0.18700055002052046,0.057667713250642245
14.0,0.18573670250010577,0.7829844055812434,0.3968452048134721,0.9262525899412068,0.026033133437740733,0.0333436338792919
15.0,0.635874888424977,0.6059452538140512,0.4781890807831396,0.9997808015751578,0.7670098964459044,0.09685845142283112
16.0,0.7544729114382593,0.13359715986216897,0.33974851608533774,1.0,0.8303042422686377,0.166183882704815
17.0,0.21335131619877223,0.6898309035320865,0.6799706552725799,0.9800991442572313,0.024746004965288733,0.0639556615423845
18.0,0.9842190284175869,0.2527458412366057,0.7456948406103793,0.7472534165054614,0.17798454894958776,0.21948474683636987
19.0,0.8912916440158735,0.33178278377914916,0.8921408057758565,0.9998375715454955,0.4182557382298747,0.6259760525675764
20.0,0.325035005341627,0.4874818673838609,0.290441287177333,0.9897364638880852,0.8069056505796647,0.06762876558569118
21.0,0.8921722455570601,0.20723689686616484,0.8371366840145775,1.0,0.6014654192501261,0.23063580146401993
22.0,0.15173041518613933,0.08720861460301718,0.26216440519389206,0.9996892170267649,0.5146977276039097,0.8511882544977588
23.0,0.21344711093613888,0.2953762537369661,0.8032483487993974,0.9909123632392662,0.7866461784146791,0.3051635733896527
24.0,0.02165334878943126,0.3593285381709639,0.7796641376527228,0.23492509864385164,0.21993764895563972,0.2870717333692169
25.0,0.03727701118539595,0.5635393642635678,0.3587944406417579,0.2203080952796815,0.12887133569044038,0.11444085334046836
26.0,0.20866270876879697,0.281525186831222,0.468085381056401,0.6795097128393516,0.3474819346823649,6.612736677226841e-06
27.0,0.9342755550210922,0.24134538152706186,0.4466140090917293,0.9999999699761394,0.7459856515936023,0.1799726828309072
28.0,0.45334055246972693,0.4812279814415923,0.8836876195649019,0.9443306775768727,0.4727925442472406,0.16545217483715757
29.0,0.25454902646246524,0.1907259544994343,0.548519093931375,0.3656480608479218,0.4926827507828405,0.42756460474980174
30.0,0.14022775429397472,0.2643137125383146,0.768856233077563,0.3173580587147409,0.9555630279150424,0.19357883533639117
31.0,0.7677230087250085,0.4332029908993936,0.5936865108791988,0.5077785030231514,0.8960276318088476,0.30377927109905695
32.0,0.06716937601852213,0.10851926804277663,0.9177139122567369,1.0,0.7043008851995,0.24721608048362473
33.0,0.8748520615302253,0.8460758329160596,0.390312037424895,0.9998331466770042,0.02078920480134043,0.0002827865239799117
34.0,0.048560554687585675,0.21454851187931798,0.7759322712852572,0.5933401750123366,0.2281257698307348,0.18140726606130544
35.0,0.24122885714823517,0.24886014379316534,0.3047339563720769,0.958631325828525,0.7751887707411288,0.27597614396558323
36.0,0.02697114869076812,0.1529462717990706,0.6125224625627597,0.04237953463761664,0.2992581655251052,0.19148605163686225
37.0,0.4327570307678965,0.614109767280111,0.857503620610304,0.9999999999679303,0.0,0.04363290837612835
38.0,0.6853915685871496,0.027025102375495377,0.756940199670377,0.9999999993098451,0.31372064183561593,0.7890340859304545
39.0,0.12150961076335387,0.7160670427293608,0.5971095563012743,0.9436376302396341,0.044983842652871475,0.06561021930932082
