Subject,alpha,beta
1.0,0.00507381266724578,20.0
2.0,0.005085547581711826,20.0
3.0,0.0,1e-10
4.0,1.0,0.3984998990200559
5.0,0.0,1e-10
6.0,1.0,0.13987253944430983
7.0,0.0,1e-10
8.0,1.0,0.026715164657323726
9.0,1.0,0.13987254118396455
10.0,1.0,0.08134188137939427
11.0,0.005992299236481544,20.0
12.0,0.49720448530075195,0.281317945012355
13.0,0.0,1e-10
14.0,0.0,1e-10
15.0,0.0,1e-10
16.0,0.0,1e-10
17.0,0.0,1e-10
18.0,0.0,1e-10
19.0,0.0,1e-10
20.0,1.0,0.04467018867430982
21.0,0.0,1e-10
22.0,1.0,0.08134188293590587
23.0,1.0,0.09074174493987439
24.0,0.0,1e-10
25.0,0.0,1e-10
26.0,0.0,1e-10
27.0,0.0,1e-10
28.0,0.0,1e-10
29.0,1.0,0.20618104463785406
30.0,0.0,1e-10
31.0,0.0,1e-10
32.0,0.0002221840646697812,14.57657540763086
33.0,0.0,1e-10
34.0,0.004509767223079898,20.0
35.0,1.0,0.08134188112064226
36.0,1.0,0.09074174407277832
37.0,1.0,0.25787349970139883
38.0,0.0,1e-10
39.0,0.000834258102934203,20.0
40.0,1.0,0.06743666092586349
41.0,0.001114070653037798,20.0
42.0,0.0,1e-10
43.0,0.007862241264917058,20.0
44.0,0.01089871336016045,20.0
45.0,0.010185137394739995,20.0
46.0,0.002256401787916029,20.0
47.0,0.004277346549507391,20.0
48.0,0.003034426127985108,20.0
49.0,0.46507461741563944,0.3007528994829298
50.0,0.1498639229439876,0.9333303009121884
51.0,1.0,13.5974591938433
52.0,1.0,0.09074175330626899
53.0,0.2377412044625884,1.3659704828389339
54.0,1.0,0.1398725384227497
55.0,0.0,1e-10
56.0,0.7489312052464283,1e-10
57.0,1.0,0.0446701883479711
58.0,0.00692951237620463,20.0
59.0,1.0,0.28716497600660307
60.0,0.0,1e-10
61.0,1.0,14.728706417988532
62.0,0.8428404440158755,0.6277981149979105
63.0,1.0,0.09074174625820451
64.0,0.010154447836055468,20.0
65.0,0.0,1e-10
66.0,0.0,1e-10
