Subject,alpha,beta,llh
sub-2013_1,0.0,1e-10,62.383246250395004
sub-2013_2,0.0,1e-10,62.383246250395004
sub-2013_3,0.1763677071055866,0.12951337317651562,61.34673095198882
sub-2013_4,0.0003950126464309273,20.0,61.9943006088577
sub-2013_5,0.26018382998757866,0.08684117212414068,61.70279816272114
sub-2013_6,1.0,0.1172593031401354,59.44412862859361
sub-2013_7,0.0,1e-10,62.383246250395004
sub-2013_8,0.0,1e-10,62.383246250395004
sub-2013_9,0.3769560475634689,0.004746524652183058,62.3803304617379
sub-2013_10,0.5286655176508156,0.020060509703327456,62.31869019316746
sub-2007_1,0.3180902664156335,0.004809033745392282,62.38045720691092
sub-2007_2,0.8352308692124819,0.08464070550915029,61.02043084141419
sub-2007_3,1.0,0.06912118836180078,61.301155288366516
sub-2007_4,0.26616187060554625,0.04737290010879715,62.16808336154084
sub-2007_5,0.3532009778092428,0.09977767222353923,61.36241881401659
sub-2007_6,1.0,0.010259164003036416,62.3601662312745
sub-2007_7,1.0,0.11063054213862941,59.686830975200486
sub-2007_8,0.7442979389657786,0.040635428710206804,62.11124696775741
sub-2007_9,0.0004275835734519298,20.0,62.09044258294139
sub-2007_10,0.0,1e-10,62.383246250395004
sub-2006_1,0.0007261552678551343,20.0,60.98497990698703
sub-2006_2,0.0,1e-10,62.383246250395004
sub-2006_3,0.0,1e-10,62.383246250395004
sub-2006_4,0.7207031939423402,0.022148519010923448,62.31170916274895
sub-2006_5,1.0,0.08271052559106573,60.84576507738284
sub-2006_6,1.0,0.03823708699041386,62.03975210831148
sub-2006_7,1.0,0.06240000874014379,61.49842590728123
sub-2006_8,0.0001949509142943413,20.0,62.27236187271806
sub-2006_9,1.0,0.0883810675867589,60.676711064746094
sub-2006_10,0.2478449750697314,0.24912585686497335,58.188302563050875
sub-2012_1,0.0,1e-10,62.383246250395004
sub-2012_2,0.0,1e-10,62.383246250395004
sub-2012_3,0.0007016797803195926,20.0,61.102616697627944
sub-2012_4,0.0,1e-10,62.383246250395004
sub-2012_5,1.0,0.05113149231605424,61.77170276514233
sub-2012_6,1.0,0.05372487273522001,61.74090646678304
sub-2012_7,0.0,1e-10,62.383246250395004
sub-2012_8,0.0,1e-10,62.383246250395004
sub-2012_9,0.0,1e-10,62.383246250395004
sub-2012_10,0.03225286724397825,0.4074518943682748,60.96472021245109
sub-2004_1,0.0,1e-10,62.383246250395004
sub-2004_2,1.0,0.0351984452582892,62.11967383975214
sub-2004_3,0.0,1e-10,62.383246250395004
sub-2004_4,0.0007659107272469773,20.0,60.985752995950534
