Subject,a_gain,a_loss,beta,decay,llh
sub-2013_1,0.0,0.0,1e-10,0.8669330457576869,9.704060527839234
sub-2013_2,1.0,0.0,9.469113624242553,0.20240858591180888,5.5451774444809425
sub-2013_3,0.7295674133108486,0.9233762598892106,6.6707475927086195,1.0,6.931472270622956
sub-2013_4,0.7280031273347817,3.197310144430346e-07,7.7823925700564915,0.9753102274189772,6.829084342410705
sub-2013_5,0.007989039238091276,0.18102298809806416,20.0,1.0,9.160358171440265
sub-2013_6,1.0,0.40570401419771784,1.0020993074071758,0.5522020787905448,7.67943767935245
sub-2013_7,0.0,0.007764695417611447,20.0,0.0,9.059446781708013
sub-2013_8,0.016797767336169875,0.027824660351421327,20.0,0.0,7.291123753480871
sub-2013_9,1.0,1.0,5.768515096954713,1.0,8.317766197219157
sub-2013_10,1.0,0.999999999006502,5.866456562834859,0.9761622152092098,5.442789970103218
sub-2007_1,0.01462049932874004,0.006993629938352798,20.0,0.07489316737102159,8.405380284190032
sub-2007_2,1.0,0.13537032148223557,7.525566765999016,0.3082029214603551,7.425469052908544
sub-2007_3,0.0,0.15832037808156618,1e-10,1.0,9.704060527839234
sub-2007_4,0.3133043001867043,0.2944780569592125,0.7307034548020062,0.3890228626655463,9.33995047339553
sub-2007_5,0.0,0.26472201038733123,20.0,1.0,8.317766293181775
sub-2007_6,0.7120779671250171,0.04741722618579237,0.9420666742770336,0.0,9.670642775254922
sub-2007_7,1.0,0.47713504454103023,4.4341785301242025,1.0,8.317767836973497
sub-2007_8,0.0,0.7818258416257668,0.43146909872110645,0.0,8.811763236989847
sub-2007_9,0.0,1.0,1.633587364817983,0.9143770694826897,9.294510340895378
sub-2007_10,0.01686668286570957,0.014620498654315778,20.0,0.0,7.61547054007661
sub-2006_1,0.9999998589699677,0.0,19.971778487966336,0.8086749189772361,8.112991073247413
sub-2006_2,0.007535331168983195,1.0,20.0,0.9182761763012901,8.137678373030308
sub-2006_3,0.0,0.0,1e-10,1.0,9.704060527839234
