Subject,a_gain,a_loss,beta,iProbA,iProbB,iProbC,llh
sub-2013_1,0.0,0.0,0.5460908167651408,0.9852388173873357,0.08913611938643501,0.2942966083897697,6.829883629710411
sub-2013_2,1.0,0.0,5.631375013183115,0.4875835711874686,0.5124167212314541,0.487580565732638,5.135627407443072
sub-2013_3,0.017048610762630034,0.0,20.0,0.49435420208180325,0.03808378592988326,0.5084333417037344,6.544192475460081
sub-2013_4,1.0,0.2555171211807481,0.6264220073885544,1.0,0.38835597440752506,0.7444828734718831,6.139603472283657
sub-2013_5,0.0253865676557168,0.1407386822883504,2.2995639028784858,0.4386760183146305,0.5454588252024788,0.0,6.496578911950638
sub-2013_6,0.0910137073697899,0.19975748782989874,2.0585274825520807,0.49453451955308014,1.0,0.46602604150772114,6.162812608633944
sub-2013_7,0.0,0.4931532569513503,10.21590619310727,0.49315375906151526,0.9729865575069508,0.9999983813593631,5.13562759750178
sub-2013_8,0.007518350000741428,0.4302325947085232,20.0,0.5081645237917304,0.858982920865181,0.0,4.012892428923042
sub-2013_9,0.0,0.38275143250320687,19.999999999152795,0.5034968122323129,0.49650317860474547,1.0,5.135628661121471
sub-2013_10,1.0,0.526407189049436,5.619634595065738,0.487559314115795,0.5124459110617466,0.9923904933122636,4.448105234629582
sub-2007_1,0.021435934692360936,0.0,20.0,1.0,0.4953051845859515,0.49650318694053097,6.6243191361250755
sub-2007_2,1.0,0.5068488641589233,9.636596945594155,0.9991756703630897,0.49274349824994995,0.4927433966291797,5.135627620272208
sub-2007_3,0.0,0.6053246729874353,0.3373336946268885,0.11777683792745351,1.0,0.5000000106879312,7.917062366767552
sub-2007_4,0.013890062131558798,0.009947091660700602,20.0,0.49650319197346254,0.5025040507392334,0.5045704084077833,9.220355048950395
sub-2007_5,0.0,0.0,5.276969736434614,0.49746894459877994,0.5132515048676997,0.0,8.195360585227393
sub-2007_6,0.07280410304936091,0.0,0.13987253907254124,0.0,0.0,1.0,8.987347700687488
sub-2007_7,1.0,0.0,5.090213729279334,0.49999813943826626,0.5137369507981727,0.46686953783192436,7.220694040125218
sub-2007_8,0.0,1.0,0.33733370269457735,0.5662106552162557,0.2926791999674143,0.7073206945193655,8.57357039093363
sub-2007_9,0.0,0.0,5.267820736320696,0.0,0.48671931605884905,0.4957610007748096,7.9771859460694206
sub-2007_10,0.0,0.01205057857875147,20.0,0.5084333430563708,1.0,0.4981439134204367,4.809974172705575
sub-2006_1,0.0,0.0,6.05384760503036,0.5115518963245249,1.0,1.0,2.5678136938750815
sub-2006_2,0.009027493929687803,0.022875124111184624,20.0,0.5106551041957107,0.0,0.5066955491629035,6.902571833566277
sub-2006_3,0.0,0.03403510082864056,3.047658581634386,0.5229475243173903,1.0,0.5896654679869663,6.157800522116055
sub-2006_4,0.0,0.0,0.4003786383726925,0.3253246520101163,0.32532465776203695,0.9212683967512677,8.299825503310043
sub-2006_5,0.2832296031702327,0.43778261560044257,1.2559229783647239,0.4443148376922642,0.4443148373797465,1.0,6.113970275127495
sub-2006_6,0.0,0.3661543519504994,5.127057597614339,0.47485214680523385,0.0,0.5043560581574154,7.389647753199471
sub-2006_7,0.7426424114905944,0.0,0.13987253874976327,1.0,0.0,1.0,8.987347700687488
sub-2006_8,0.020555992510026773,0.0,20.0,0.49589399670721424,0.5034968121598816,0.49999999656118177,8.118544517681991
sub-2006_9,2.7029714842290098e-08,0.37831416236535276,0.847416930891105,0.5263566649950012,0.4174712375193021,1.0,8.092483139136853
sub-2006_10,0.0,1.0,5.129220160072826,0.48637239720995545,0.4863625778352498,0.49999963748440734,7.908216224602577
sub-2012_1,0.0,0.0,0.13987253508410308,0.5000000157170627,6.234931777714633e-10,1.0,9.192122794159417
sub-2012_2,0.05398319344995106,1.0,0.25787350695068045,0.7712037589035319,0.0,1.0,7.812271240658679
sub-2012_3,1.0,0.31895530829596863,0.3373336978934208,0.2926792766641136,1.0,0.0,6.924781108555112
sub-2012_4,0.9999999972040804,0.0,0.13987254085891632,3.302518571675306e-09,0.0,0.34031824085930457,9.261092588311072
sub-2012_5,1.0,0.6709495242230897,5.601203736662151,0.5124839105594661,0.46988964334493183,0.512486536755607,4.448105217511845
sub-2012_6,0.0,0.25421769035838,0.17571635694555218,0.8980066501134112,0.4999999118383346,0.10199361874389318,9.465867681783063
sub-2012_7,0.0,0.468559383406541,5.364322293187436,1.0,0.5000007108054787,0.5130353456545367,5.936787177766396
sub-2012_8,0.0,0.5973200042235248,5.175441112396434,0.4934872814066756,0.4864860430324355,1.0,8.012417418943423
sub-2012_9,0.44658902343853024,0.0,0.17332937591363576,0.09651231018637274,0.0965122902744716,0.6282318368410456,9.192122794159415
sub-2012_10,0.0,0.3847828013401673,0.1399109000977859,0.6596380063499897,0.34036193326636827,0.000137391257341301,9.534837475934696
sub-2004_1,0.0,0.012050582249349616,20.0,0.508433335988983,0.5000000006535329,0.4981439181011825,7.5825628949454185
sub-2004_2,0.0,0.0,5.530926728572874,0.48735518847258347,0.0,0.4873555693485391,6.419534196456196
sub-2004_3,0.0,0.47526339268509005,0.44873808609123744,0.6558509724102681,0.9999998973830584,0.6558509257789967,7.372275039144574
sub-2004_4,0.0,0.10721524508673513,5.350240457545766,0.5130696819055184,0.5130723259997154,0.0,4.80446162690479
sub-2004_5,0.8739258362669438,1.0,5.712470291166594,0.5122426271480874,0.4877573977899071,0.4999999902157272,5.340402459279541
sub-2004_6,0.999244630629156,0.0,0.14008399479612352,0.0007550075379437147,0.5000001923147125,0.5000000629125466,9.396897887631438
sub-2004_7,0.016501513355013334,1.0,20.0,0.49163376993746827,0.500022576755077,0.5034968129123697,5.945235039857581
sub-2004_8,1.0,0.869816011910066,5.370833997385519,0.51302034944139,0.5130236801859259,0.45822650898303074,4.804461617315008
sub-2004_9,0.9991492804924307,0.5124981916730921,5.506091988523805,0.12866543025481736,0.9995842039842839,0.5127028235031009,6.4195342121119445
sub-2004_10,1.0,0.2745702788357554,1.6310376831946198,0.5179013776798036,0.4837691886625607,0.45712160816337527,6.257661816232567
sub-2010_1,0.0,0.7474711826967063,5.42445736365409,0.4586398451331502,0.0,0.49999959161764246,5.009236678744214
