Subject,a_gain,a_loss,beta,llh
sub-2013_1,1.0,0.0,0.03084381737435575,62.17530256892612
sub-2013_2,1.0,0.0,0.06488414532901964,61.75399267093046
sub-2013_3,6.541835952578096e-06,0.0017720492791629212,20.0,59.113216765576716
sub-2013_4,0.907626405747232,0.10754370684558276,0.08245352228620313,61.40935936956614
sub-2013_5,0.0011464657450764623,0.0,20.0,60.78782425097577
sub-2013_6,1.0,1.0,0.11725930356779854,59.44412862859361
sub-2013_7,0.0,0.6926140500451987,0.013886551765568378,62.35473418296109
sub-2013_8,0.7857804877251874,0.0,0.049451924192001326,62.021667451329655
sub-2013_9,0.0,0.0004096548372684496,16.31909553401137,62.26342710710046
sub-2013_10,0.07514256004159323,1.0,0.04429215379564087,62.15772969970514
sub-2007_1,0.706693768846206,0.0,0.02725117984592918,62.27972280710615
sub-2007_2,0.964523914309374,0.7790159126870245,0.08439368585031973,60.9889213222583
sub-2007_3,1.0,1.0,0.06912119017573867,61.30115528836653
sub-2007_4,0.1197528104878539,0.005600425716264122,0.13364309177760958,61.93631328973381
sub-2007_5,0.3873417260654665,0.06395638451982899,0.17789377306449952,60.27265544102056
sub-2007_6,0.0,1.0,0.09323482067458355,60.584967498873276
sub-2007_7,1.0,1.0,0.1106305332636571,59.68683097520048
sub-2007_8,0.0,0.4638033792833527,0.06596748221147894,61.952576712599345
sub-2007_9,0.0,0.07196730316609344,0.28828260968832886,60.87563843938503
sub-2007_10,0.0,0.0,1e-10,62.383246250395004
sub-2006_1,0.0006513497434836021,0.0008923114130551346,20.0,60.93045342193376
sub-2006_2,0.0,1.0,0.026715164663393135,62.30317357196444
sub-2006_3,1.0,0.0,0.00784437773237542,62.371480621631385
sub-2006_4,1.0,0.0,0.025266260072018043,62.25070618355366
sub-2006_5,1.0,1.0,0.08271050794579568,60.84576507738284
sub-2006_6,1.0,1.0,0.038237078719428615,62.039752108311454
sub-2006_7,0.7416906680448346,1.0,0.06679087499990947,61.47532370270552
sub-2006_8,5.128273088834098e-05,0.0004255846167221453,20.0,62.10315446698818
sub-2006_9,1.0,0.8653507113044746,0.0947082332263931,60.66258046055422
sub-2006_10,0.3026260239834058,0.21099550250196114,0.2558804005477106,58.04201679798083
sub-2012_1,0.5253830197238151,0.0,0.02109027771234059,62.32297686001511
sub-2012_2,1.0,0.007843687966220599,0.019430391383637467,62.311592707637686
sub-2012_3,0.000582829392039258,0.0008216217211634457,20.0,61.048468880538806
sub-2012_4,0.011309133657002946,0.6443876896179426,0.03257715288767823,62.264894068655586
sub-2012_5,0.5947135702509556,1.0,0.06148809855410848,61.6587279100062
sub-2012_6,1.0,1.0,0.05372486701518149,61.74090646678302
sub-2012_7,0.0,0.0,1e-10,62.383246250395004
sub-2012_8,0.0,1.0,0.11725930490120368,59.44412862859358
sub-2012_9,0.0,0.0,1e-10,62.383246250395004
sub-2012_10,0.6811262567116264,0.060718369019828564,0.11680707783819692,60.385479013668935
sub-2004_1,0.0,0.0,1e-10,62.383246250395004
sub-2004_2,1.0,0.0,0.1166914009389257,60.490366092351486
sub-2004_3,0.0,1.0,0.06743666553380405,61.679229310202615
sub-2004_4,1.0,0.1103130545718817,0.10315499765678977,60.65193168135096
sub-2004_5,0.16340993368743467,0.0,0.1308348196958222,61.68689254893519
sub-2004_6,0.8782423877667787,0.0,0.06020881332302546,61.89550569370598
sub-2004_7,0.0,1.0,0.06743665982745059,61.67922931020258
sub-2004_8,0.0,0.4532108426751036,0.06362723998178556,61.99646224259747
sub-2004_9,0.0,0.23481241038765313,0.1307219549435082,61.67763448836228
sub-2004_10,0.0006448130020061021,0.0011245422649764196,20.0,60.54817737480775
sub-2010_1,0.6430931439000611,0.0,0.03592785322311785,62.17543326660576
sub-2010_2,0.0,0.047434633994056376,0.25229294309563216,61.989221263750984
sub-2010_3,9.12214716870397e-05,0.0003428943430072037,20.0,62.20429284670596
sub-2010_4,1.0,0.0,0.02526626309919291,62.25070618355367
sub-2010_5,0.0,1.0,0.005333714102820171,62.37924610531679
sub-2010_6,1.0,0.20225925214769097,0.2134207884258593,57.05430123234383
sub-2010_7,0.0,0.7936266963619055,0.03437383620494459,62.23532140125005
sub-2010_8,1.0,0.0,0.08550566667950693,61.303062545794766
sub-2010_9,0.4738550405267245,0.0,0.04435959268960621,62.15225130105806
sub-2010_10,1.0,0.0,0.01906526983816106,62.311784603497514
sub-2038_1,1.0,0.0,0.07513508468320625,61.54399144178673
sub-2038_2,0.5458073937360451,0.9274951340699719,0.0694813834640624,61.46792792288515
sub-2038_3,0.0,1.0,0.02671515966354128,62.22310089353387
sub-2038_4,0.5908327989081619,0.18511042250546791,0.07538417730353116,61.72142605826819
sub-2038_5,0.0009057282870297324,0.0004980013677355987,20.0,61.77029047195319
sub-2038_6,0.007324350038355962,0.2273088586771125,0.23321684553150485,60.15353039286853
sub-2038_7,0.2975253465501998,0.5548931916182932,0.10180182042959164,61.49979199914762
sub-2038_8,0.0,0.0,1e-10,62.383246250395004
sub-2038_9,1.0,0.11334001039303879,0.06072396896508761,61.7905883668642
sub-2038_10,4.067363312022528e-05,0.00046611951545552264,17.403617550936104,62.255458940915496
sub-2039_1,0.0,0.0,1e-10,62.383246250395004
sub-2039_2,0.40161527104131994,0.0,0.19565718049441772,59.2285661435997
sub-2039_3,0.0,0.976086111449315,0.003646141191076073,62.38052254128682
sub-2039_4,0.0,0.9784693022786669,0.04812803980949514,62.02495434199209
sub-2039_5,1.0,1.0,0.08958927323903763,60.58733055549531
sub-2039_6,1.0,1.0,0.019065264929845276,62.29749227411802
sub-2039_7,0.0,0.0014549176523127694,19.99999999376822,60.622006128591345
sub-2039_8,0.0007575202163354871,0.0,18.01689677739938,61.80532217659952
sub-2039_9,1.0,0.0070785255778508,0.05930339553493447,61.6068306993635
sub-2039_10,0.0,1.0,0.08315251134007795,61.20862416991335
sub-2011_1,0.17873175971044594,1.0,0.044975132312982946,62.10567640200606
sub-2011_2,0.00034807950715348175,0.0,19.844024571114833,62.16172313676363
sub-2011_3,1.0,1.0,0.006349855407907834,62.37372195130794
sub-2011_4,0.0,0.14889681928500137,0.10696551012665326,62.08679668001486
sub-2011_5,0.6940080024387945,0.20848227940731132,0.12267019573089934,60.91678264179518
sub-2011_6,0.0,0.0,1e-10,62.383246250395004
sub-2011_7,0.0005367059472909945,0.00042801158501833657,20.0,61.87594670040533
sub-2011_8,1.0,1.0,0.035889714145572946,62.087641050573
sub-2011_9,0.0,0.0,1e-10,62.383246250395004
sub-2011_10,0.032295760028836454,0.6982102981532684,0.09539364702815933,61.27529898959757
sub-2005_1,0.5578179542776857,1.0,0.07251247177938207,61.39145463772744
sub-2005_2,0.1829086081814578,0.0,0.0602311902038396,62.20324663700184
sub-2005_3,0.7774892067282911,0.09745014470395305,0.11477225369954679,60.82001305721304
sub-2005_4,1.0,0.10078438983922933,0.05887911845096504,61.829072977423635
sub-2005_5,0.0,0.22908691960282482,0.08700553684746995,62.03505895553141
sub-2005_6,1.0,0.3991991570138967,0.05548752270287356,61.87415577714912
sub-2005_7,0.0,0.2408846530341434,0.03928788694400542,62.27552947250747
sub-2005_8,0.0010921760274739145,0.0005713742278402768,20.0,60.965374177257374
sub-2005_9,0.4725909904525149,0.6569528055460533,0.08191939508255516,61.587150086655626
sub-2005_10,0.22793515998683989,0.0,0.050957130511488244,62.25357701295853
sub-2001_1,1.0,0.0,0.0932348076251376,60.58496749887328
sub-2001_2,1.0,0.02831373667364004,0.04238966573120362,62.051753505072696
sub-2001_3,0.0,1.0,0.01803295300467413,62.31565068925044
sub-2001_4,0.6141908915006291,0.0,0.00702943026864109,62.37653674793016
sub-2001_5,0.0,1.0,0.09752881281642067,60.576337432416736
sub-2001_6,0.0,1.0,0.012125761847903614,62.35596841207443
sub-2001_7,0.4463869430908275,0.06065565082174703,0.12888954234446703,60.635161916705535
sub-2001_8,1.0,1.0,0.00634985694372902,62.37372195130793
sub-2001_9,1.0,1.0,0.026715164030847737,62.22310089353388
sub-2001_10,0.6406656032874346,0.09200721161004949,0.15326328182626014,59.577127642806836
sub-2002_1,0.6200032288521438,1.0,0.02209342102958776,62.29984159023579
sub-2002_2,0.0,1.0,0.07648058301371913,61.64305626538571
sub-2002_3,0.0,1.0,0.09632637883267371,60.669503726419215
sub-2002_4,0.9905816040933829,0.0,0.004943248755246843,62.37953986279536
sub-2002_5,7.051341135176117e-05,0.0005224682623322091,20.0,61.91695055335502
sub-2002_6,0.7964063563816817,0.46596164725091166,0.06766129171186352,61.63772666976795
sub-2002_7,0.2370505585589355,0.0,0.054713993141670934,62.21691421659682
sub-2002_8,0.0005955692885475983,0.0,20.0,61.643050749795876
sub-2002_9,0.16253043272587878,0.14704705739646926,0.10240400789883053,61.806822040659064
sub-2002_10,0.015198678681518439,0.0027998738392231923,0.8307516957224161,61.883307283054414
sub-2003_1,0.0,0.0,1e-10,62.383246250395004
sub-2003_2,1.0,0.0,0.030843816599452453,62.24461712941574
sub-2003_3,1.0,0.0,0.004040577675655204,62.38021588428851
sub-2003_4,0.0,0.001207583926956374,16.2266927233704,61.3295788877909
sub-2003_5,0.23098416887792458,0.125378210704725,0.13247724479235945,61.14305672567196
sub-2003_6,0.9652292499804792,0.0,0.013044585340938778,62.354011291223316
sub-2003_7,0.0,0.6060457753985814,0.03753770648856377,62.194828164787836
sub-2003_8,1.0,1.0,0.009758464471245223,62.36129236625162
sub-2003_9,0.0,0.9470647506648535,0.032620605601448,62.14352833283706
sub-2003_10,0.0,0.0,1e-10,62.383246250395004
sub-1009_1,1.0,0.09734562507050122,0.07928042408129322,61.486659880316935
sub-1009_2,0.0,1.0,0.06743666013135254,61.77980315880152
sub-1009_3,0.38603353121117984,0.0,0.031497329770462636,62.27006402073324
sub-1009_4,0.0,0.000855325433208098,20.0,61.378718741789484
sub-1009_5,0.0,1.0,0.034673759363777576,62.201487342058876
sub-1009_6,1.0,0.0,0.05918913125986567,61.89710156014186
