Subject,a_gain,a_loss,beta,decay,llh
sub-2013_1,0.0,0.8641800861463395,0.16716031840974677,0.9907208617440537,8.317766166719343
sub-2013_2,1.0,0.0,0.13987254148502223,1.0,8.21537861998338
sub-2013_3,0.0,1.0,0.0446701837675236,0.0,8.284348414135035
sub-2013_4,0.0,0.1651107041092933,1e-10,0.5360382596647063,8.317766166719343
sub-2013_5,0.0,0.0,1e-10,0.6991297587057155,8.317766166719343
sub-2013_6,0.9920190603343483,0.18671204134945188,0.7491350717181843,0.42662987125874047,8.112991073247416
sub-2013_7,0.5783121091356038,0.0,1e-10,0.7574007019418297,8.317766166719343
sub-2013_8,0.7527589301920197,0.0,0.18581318178610312,1.0,8.21537861998338
sub-2013_9,0.7718417395832606,0.5277778890173166,0.056514295807104875,0.7512240661254537,8.317766166719343
sub-2013_10,0.4682406120598076,0.0,0.5455724472031888,0.45246613311585016,8.21537861998338
sub-2007_1,1.0,0.040700239814981505,0.13987253837779398,1.0,8.112991073247414
sub-2007_2,0.0,0.8297845557141071,0.0038565123819876423,0.7161205273640838,8.317766166719343
sub-2007_3,0.09048208198935692,0.0,1e-10,0.9482302222597568,8.317766166719343
sub-2007_4,0.0,0.6379683296506669,1e-10,1.0,8.317766166719343
sub-2007_5,0.611086634470752,0.0,20.0,0.0,6.931471805599453
sub-2007_6,0.5858361993116153,0.0,0.3583176327884272,0.12656749448686377,8.21537861998338
sub-2007_7,0.007004711582046429,1.0,19.973808194404942,0.0002749173780223348,6.829084258863778
sub-2007_8,0.0,0.7696902724434931,1e-10,0.39884868534229845,8.317766166719343
sub-2007_9,0.6900343297985673,0.024323152101082823,0.0491172058402235,1.0,8.317766166719343
sub-2007_10,0.0,0.0,1e-10,1.0,8.317766166719343
sub-2006_1,1.0,0.0,5.484260403164789,0.8402999491703527,6.829084330429091
sub-2006_2,0.0,0.7878381922166864,0.3407499384255735,0.278178458675458,8.21537861998338
sub-2006_3,0.999805074564346,0.0,0.1039411861994307,0.5701520431301025,8.284348414135033
sub-2006_4,0.6504795049969642,0.6891261855034345,0.2953785083263638,0.0,7.308503640744251
sub-2006_5,0.0,0.26954544094821736,20.0,0.0,6.931471900282922
sub-2006_6,0.5675708379307058,0.5465656818571547,0.37195082489416065,0.3374375176574355,8.010603526511453
sub-2006_7,0.0,0.0,1e-10,0.5520080798444207,8.317766166719343
sub-2006_8,1.0,0.004224474713819552,20.0,1.0,6.747160665600658
sub-2006_9,0.0,0.8256956385646502,0.1693996401002614,0.5398503394832409,8.112991073247416
sub-2006_10,0.1290021973821741,0.0,1e-10,1.0,8.317766166719343
sub-2012_1,0.0,0.40636067269291365,1e-10,0.8310908554488675,8.317766166719343
sub-2012_2,0.29675207875072496,0.0,1e-10,0.9885637971390289,8.317766166719343
sub-2012_3,0.16878299335026958,1.0,0.13987254268031007,0.0,8.112991073247414
sub-2012_4,1.0,0.779418670873447,20.0,1.0,6.931471805599453
sub-2012_5,0.041388906598977426,1.0,0.04467019146576779,0.0,8.284348414135033
sub-2012_6,1.0,1.0,7.7908328140430285,0.0,5.545177444620973
sub-2012_7,0.0,0.6463114737858517,1e-10,1.0,8.317766166719343
sub-2012_8,0.007002556305789613,0.6418661547867343,19.974502063641122,0.0,6.829084258863495
sub-2012_9,0.0,0.0,1e-10,1.0,8.317766166719343
sub-2012_10,0.007764695408225819,0.7254177143320294,20.0,0.0,7.673152420588129
sub-2004_1,0.3625231624813011,0.0,1e-10,0.37857142406699607,8.317766166719343
sub-2004_2,0.30473319263626353,0.0,0.4590000163073672,0.7504753449482204,8.112991073247414
sub-2004_3,0.003034426104122947,1.0,20.0,0.6238767888320034,6.667308262547811
sub-2004_4,0.47624729227104773,0.0,0.09379618735386494,0.0,8.284348414135037
sub-2004_5,0.0,0.0,1e-10,0.879031265880063,8.317766166719343
sub-2004_6,0.9083554237619758,0.0,20.0,0.7044707776758358,6.93147190674207
sub-2004_7,0.0,0.9675855467417418,0.2665123477436046,0.20939843477836995,7.423065296497047
sub-2004_8,0.10313681586048296,0.0,1e-10,0.5396162329031182,8.317766166719343
sub-2004_9,0.0,0.5435368497425671,1.0757610894869054,0.7607854204198824,8.21537861998338
sub-2004_10,0.6195573005797483,0.3687130934795142,0.37935335916501195,1.0,8.21537861998338
sub-2010_1,0.710323339223654,0.6308363184806205,0.6147246065239019,0.2274563162628703,7.4254688758699565
sub-2010_2,0.0,0.05809916294131312,1e-10,1.0,8.317766166719343
