Subject,alpha,beta,llh
sub-2013_1,0.010898712291529044,20.0,9.793480692877452
sub-2013_2,0.0,1e-10,11.090354888959125
sub-2013_3,0.010734174576827498,20.0,9.805642647687266
sub-2013_4,1.0,0.1398725388264355,10.578417155279306
sub-2013_5,0.0,1e-10,11.090354888959125
sub-2013_6,0.1563643142944864,0.8945282199487575,9.99087892526554
sub-2013_7,0.013057938317550527,20.0,8.676238877927357
sub-2013_8,0.0,0.9544621314971508,11.090354888959125
sub-2013_9,0.20591325021264156,1.0013004932931322,10.061935667848719
sub-2013_10,0.0027362788299547594,20.0,10.928423994249323
sub-2007_1,0.9702091274618213,0.4625167694878514,9.168119587208302
sub-2007_2,0.0,1e-10,11.090354888959125
sub-2007_3,0.0,1e-10,11.090354888959125
sub-2007_4,0.005360791287807066,20.0,10.248373193880813
sub-2007_5,0.9569679031344285,13.795237637527192,5.545177444479562
sub-2007_6,0.0,1e-10,11.090354888959125
sub-2007_7,1.0,0.08134188244760597,10.908859088144595
sub-2007_8,0.0,1e-10,11.090354888959125
sub-2007_9,1.0,0.2871649816041712,9.326898739582365
sub-2007_10,0.0,0.5513027052374384,11.090354888959125
sub-2006_1,0.0,1e-10,11.090354888959125
sub-2006_2,0.0014922649452600158,20.0,11.001246829931215
sub-2006_3,0.9151077489583447,0.07369258989793066,10.989781040360203
sub-2006_4,0.0,1e-10,11.090354888959125
sub-2006_5,0.0,1e-10,11.090354888959125
sub-2006_6,1.0,0.13987253383255563,10.680804702015271
sub-2006_7,0.0,1e-10,11.090354888959125
sub-2006_8,0.0,1e-10,11.090354888959125
sub-2006_9,0.37100643387441584,15.307307236762563,5.4427900186555185
sub-2006_10,0.04553072157396572,0.9810997900830405,11.056937136374813
sub-2012_1,0.0,1e-10,11.090354888959125
sub-2012_2,0.0,1e-10,11.090354888959125
sub-2012_3,0.007573029807069545,20.0,10.350848081201109
sub-2012_4,1.0,0.13987253207100278,10.680804702015271
sub-2012_5,0.0,1e-10,11.090354888959125
sub-2012_6,1.0,0.13987254483287717,10.68080470201527
sub-2012_7,0.006922134590147215,20.0,10.786107429502337
sub-2012_8,1.0,12.590093771607483,5.545177444479562
sub-2012_9,0.006433325731946817,20.0,9.789944615176436
sub-2012_10,0.23074433451094917,0.6061797396610556,10.68080470201527
sub-2004_1,0.4672444531335081,0.4808306624693995,10.13841329258112
sub-2004_2,0.00788980823779266,20.0,9.90166344894188
sub-2004_3,0.18876170433738773,1.3408610813908668,9.842387914101852
sub-2004_4,0.013636305426639989,20.0,9.004697519082203
sub-2004_5,0.0009537258588495249,20.0,11.076070728490677
sub-2004_6,0.015626294530156307,20.0,9.008140774836598
sub-2004_7,0.007624028540867123,20.0,10.344291153367376
sub-2004_8,0.013729474776277579,20.0,8.578933716610415
sub-2004_9,0.008206560323142313,20.0,10.099089397306148
sub-2004_10,0.0,1e-10,11.090354888959125
sub-2010_1,0.0,1e-10,11.090354888959125
sub-2010_2,1.0,0.13987253876586042,10.578417155279306
sub-2010_3,0.0,1e-10,11.090354888959125
sub-2010_4,1.0,0.13987254793876583,10.680804702015271
sub-2010_5,1.0,0.06743666528224787,10.989781040360203
sub-2010_6,0.2623066595505915,0.5332405496642735,10.885579795487196
sub-2010_7,0.00816129129710386,20.0,10.103107943522746
sub-2010_8,0.1283887952887211,0.5522517289813254,10.515458098315756
sub-2010_9,1.0,0.28716498029937143,9.326898739582363
sub-2010_10,1.0,0.2246654637673474,10.138413292581118
sub-2011_1,0.010671071344992596,20.0,9.447347224470116
sub-2011_2,0.016531533088557097,20.0,10.215287404207398
sub-2011_3,0.022606766530620936,20.0,6.262754507221665
sub-2011_4,0.007624027751554966,20.0,10.344291153367347
sub-2011_5,1.0,0.13987253670135616,10.68080470201527
sub-2011_6,0.0031272402854017668,20.0,10.85965494810736
sub-2011_7,1.0,0.28716497833882915,9.326898739582365
sub-2011_8,1.0,0.139872539226423,10.578417155279304
sub-2011_9,1.0,0.592768320930251,6.858286633595124
sub-2011_10,1.0,0.13987254042946615,10.68080470201527
sub-2005_1,0.013057938265095796,20.0,8.676238877927346
sub-2005_2,0.0,1e-10,11.090354888959125
sub-2005_3,1.0,0.3373336949611053,9.30576030726035
sub-2005_4,1.0,0.04467019050875935,11.056937136374815
sub-2005_5,0.04464643014703386,20.0,8.64827352326436
sub-2005_6,0.9845722435830242,0.34261955461962695,10.198057598109738
sub-2005_7,0.0,1e-10,11.090354888959125
sub-2005_8,0.0,1e-10,11.090354888959125
sub-2005_9,0.007710303373197559,20.0,10.449349337624414
sub-2005_10,0.0,0.5730530852732918,11.090354888959125
sub-2001_1,0.01099922331753541,20.0,7.982981599434888
sub-2001_2,0.0,1e-10,11.090354888959125
sub-2001_3,0.23773341567989642,0.46137198357816656,10.415721141526701
sub-2001_4,0.027594729963711127,20.0,6.695795410725802
sub-2001_5,1.0,0.28716497767813237,9.326898739582363
sub-2001_6,0.012598406818589685,20.0,8.343199449610761
sub-2001_7,1.0,13.927190990050162,4.1588830833596715
sub-2001_8,0.052821359575468,20.0,9.781892942383779
sub-2001_9,1.0,0.33733369562252247,9.305760307260352
sub-2001_10,1.0,0.5291336492783685,8.040500587944445
sub-2002_1,0.0,1e-10,11.090354888959125
sub-2002_2,0.0,1e-10,11.090354888959125
sub-2002_3,0.0,1e-10,11.090354888959125
sub-2002_4,1.0,0.08134188055657687,10.908859088144595
sub-2002_5,0.0,1e-10,11.090354888959125
sub-2002_6,0.0,1e-10,11.090354888959125
sub-2002_7,0.1484878852320548,1.5134011074555451,9.783414001021773
sub-2002_8,0.3997643091876676,0.16869105782304272,10.989781040360205
sub-2002_9,0.0021746384415256316,20.0,11.057811513694912
sub-2002_10,0.4856559877912339,0.13885684697322148,10.989781040360205
sub-2003_1,0.004698015188417269,20.0,10.429363130485513
sub-2003_2,0.02430261868526629,20.0,7.855131524496704
