Subject,a_gain,a_loss,beta,iProbA,iProbB,iProbC,llh
sub-2013_1,0.0197256516741403,0.5070750789373737,9.668496909872758,0.4825576365273416,0.9996786221186578,0.49276927847704227,5.73201257586761
sub-2013_2,0.0,0.0,0.3373336641540015,0.2926792594494819,0.0,0.8822231779077294,8.996194087679559
sub-2013_3,0.018192909108363894,0.0021996786323153594,20.0,0.503496810072799,0.5057142414938036,0.49375925719340713,8.351166423573995
sub-2013_4,0.0057401538115603775,1.0,20.0,0.4953471977754227,0.5021309355649745,0.5034968132998049,9.127243828384598
sub-2013_5,1.5342855890937209e-07,0.24479617167870615,0.4910160773018281,0.642431744470237,1.0,0.9755435072665117,8.921082239792815
sub-2013_6,0.0,0.08761626342699913,2.7230890483331063,0.5473494113252853,0.0,0.5239607222928728,7.715617795554901
sub-2013_7,0.01686844640569042,0.012450916328969957,20.0,0.49996149278762886,0.500038000541436,0.5007403646390397,8.621085789526147
sub-2013_8,0.0,0.3081121018980111,0.3373336731941795,1.0,0.49999999444403076,0.29267923864338585,9.788507411165888
sub-2013_9,0.0,1.0,5.312890561277144,0.513160805747572,0.5131624894170581,0.5131691769527731,7.703441153012064
sub-2013_10,0.4052084356598882,0.04533108116359907,3.5582535877454418,0.0,0.5467622517605583,0.5004405007549194,7.225341196508208
sub-2007_1,0.06873177678976372,1.0,5.528673695708896,0.47668022842520447,0.5126488066092553,1.0,5.831996034448164
sub-2007_2,0.999139614346042,0.0,5.583762075644749,0.48747892401853693,0.0,0.5125233169436046,6.419534246621768
sub-2007_3,0.0,0.9079777630139343,0.5254069179632658,0.36689121750812836,0.8210213844750692,0.28619859959526384,9.04134090825981
sub-2007_4,0.002084256467717886,0.0030218153812782977,20.0,0.9923942407004048,0.5007771207565969,0.49616942413077564,9.977507886376
sub-2007_5,1.0,0.34242386819398507,6.4529549326855165,1.0,0.500000005460923,0.510837866571574,4.05649555619065
sub-2007_6,0.0,0.0,0.3373440494762567,1.535581744184332e-05,0.5000000109269579,0.5999523597995342,10.09748374951082
sub-2007_7,0.004608502855046446,0.0026307682394999593,20.0,0.5034968209010774,0.4956853197883686,0.5048612210411716,10.458606242093598
sub-2007_8,0.0,0.0,5.623334409004263,0.5124362033514896,0.5124368478137402,0.0,6.419534213798924
sub-2007_9,1.0,0.7958836872724104,0.3143885288265363,0.2775483425456588,0.7224518019037314,0.7344414937221334,8.964483773130855
sub-2007_10,0.0,0.0,0.3373336869086707,0.43378930394007365,0.5662106802661824,1.0,10.13122209294112
sub-2006_1,1.0,0.0,5.472144527391854,0.4872197707196653,0.48722016620296443,0.5409980708268194,4.804461643343931
sub-2006_2,0.0038636068945336966,0.014629634405949733,20.0,0.578569855073536,0.4958232975241648,0.5096394459917896,9.908104049395034
sub-2006_3,0.0,0.01566918444938998,20.0,0.49650318508908275,0.494444773508309,0.5080847697591311,8.45210604028307
sub-2006_4,0.006052417928254447,1.4457302218436399e-09,20.0,0.4918606952684992,0.0,0.4965031807770032,8.629234690640187
sub-2006_5,0.0,0.011535011845049377,20.0,0.496503176854998,0.49650317874779976,0.5123012771371748,9.552488442701508
sub-2006_6,0.05431361668963631,8.631380015394343e-07,5.0104692886126365,1.0,0.48604186115059106,0.48604365113859616,8.987348001477171
sub-2006_7,0.0,0.004271984940227485,20.0,0.4965031952504236,0.5042520908602066,0.4949029320467788,9.641120580687122
sub-2006_8,0.0,0.9860528913183407,0.14185103237078786,0.26229752466667816,0.9930258927461606,0.5000000191993759,10.785005946888347
sub-2006_9,1.0,0.4920973491182875,8.849727725736766,0.49209735011091904,1.0,1.0,2.5678136287855984
sub-2006_10,1.0,0.0,5.088280996161262,0.48625813501431203,0.5137456989026009,0.4933741608811503,9.296324280272103
sub-2012_1,0.3217219310031212,0.21489816358304464,0.4452223855307185,0.12116268480281173,1.0,0.8213249446500297,8.745356450943644
sub-2012_2,0.0,0.487620857912251,5.648399782365477,0.529861146235414,0.9516774231006511,0.9999982207174454,7.015918967686107
