Subject,a_gain,a_loss,beta,iProbA,iProbB,iProbC,llh
sub-1009_1,0.009622513981118783,0.0,20.0,0.49649796250472256,0.5018050465889328,0.4988832582300071,14.115916106635646
sub-1009_2,0.0027801570719748867,0.6090083930659105,20.0,0.49982061250540405,0.49795114935445084,0.4915666521333898,13.877433553231823
sub-1009_3,0.0,0.0,0.22803124793316548,0.9926198957843498,0.5979475040428753,0.5000000164585987,14.263878623356485
sub-1009_4,0.0,0.012488005081764479,20.0,0.5029296512265283,0.4915666772557949,0.5120882412609689,12.621134144240013
sub-1009_5,0.12219878280076642,0.0,1.6149534046815799,0.4511063682147854,0.4769218607735007,1.0,11.42748258755261
sub-1009_6,0.0,0.030692688129774753,20.0,0.5073310684614211,0.49650318703116286,0.5182830562630448,10.300347814972012
sub-1009_7,0.0,0.003264850743809449,20.0,0.5148191962989326,0.503787444638714,0.5043330838626948,10.638997696179548
sub-1009_8,0.0,0.49263540324248944,9.505420099873206,0.5102237495031187,0.9999996981983643,0.49264676001371205,9.771620250878831
sub-1009_9,0.0,0.0,4.96770654215625,0.5140775946475256,0.49731061595404563,0.0,13.330988046450518
sub-1009_10,0.0009804089980398533,0.006228060132342675,20.0,0.5025375845003894,0.5019778439507863,0.4979775967335989,14.426538299251614
sub-1021_1,0.009629221309642019,0.0190124326003961,20.0,0.5028625677837584,0.5087775298999444,0.5080960122617354,12.802928403140806
sub-1021_2,0.018057300951754476,0.004143059449394121,20.0,0.48419783257777366,0.5003359238609794,0.4995589691451034,11.350374563075636
sub-1021_3,0.01154785703835439,0.013030781103284247,20.0,0.49338013057650437,0.4990201376978613,0.4984100018252672,13.039283126518878
sub-1021_4,0.23511339936393078,0.3481978601863966,0.44986512791926564,0.3507973431564146,0.6183716932851675,1.0,13.533082302833057
sub-1021_5,0.004340278897080736,0.019749135233208107,20.0,0.4967339769276807,0.5034968006105364,0.14176759505157022,13.433784614571044
