Subject,alpha,beta,decay,llh
sub-2013_1,0.0799188221056422,20.0,0.9047207042606018,9.36981670571911
sub-2013_2,0.0,1e-10,1.0,11.090354888959125
sub-2013_3,0.010734174537990351,20.0,0.0,9.805642647687272
sub-2013_4,1.0,0.1398725337851449,0.0,10.578417155279306
sub-2013_5,0.0,1e-10,1.0,11.090354888959125
sub-2013_6,0.53222586369812,5.108975892620533,0.9481405500530767,9.498434821197932
sub-2013_7,0.013057938263511575,20.0,0.0,8.67623887792735
sub-2013_8,0.0,1e-10,0.8132093431287897,11.090354888959125
sub-2013_9,0.4592402867632421,0.4489611487819714,0.0,10.061935667848717
sub-2013_10,1.0,0.1712220037568811,0.5963783637988888,10.88494323058728
sub-2007_1,1.0,5.168110429185391,0.9347262464596557,8.811763422101341
sub-2007_2,0.0,1e-10,0.7475987321196286,11.090354888959125
sub-2007_3,0.5776273085965336,0.6807960548575986,1.0,11.090354888959125
sub-2007_4,0.0053607917221189195,20.0,0.0,10.24837319388082
sub-2007_5,1.0,12.229737650964584,0.002353706277420209,5.545177444479562
sub-2007_6,0.0,1e-10,1.0,11.090354888959125
sub-2007_7,1.0,20.0,0.9930108885540128,8.215419628448638
sub-2007_8,0.0,1e-10,0.5852716283615336,11.090354888959125
sub-2007_9,1.0,20.0,0.8710379420916955,7.434060941781212
sub-2007_10,0.0,1e-10,1.0,11.090354888959125
sub-2006_1,0.0,1e-10,1.0,11.090354888959125
sub-2006_2,0.0014922648146162292,20.0,0.0,11.001246829931201
sub-2006_3,0.6947259705070213,0.09706945546337808,0.0,10.989781040360205
sub-2006_4,0.0,1e-10,1.0,11.090354888959125
sub-2006_5,0.0,1e-10,0.7949746318393631,11.090354888959125
sub-2006_6,1.0,0.13987253959499737,0.0,10.680804702015271
sub-2006_7,0.0,1e-10,0.0,11.090354888959125
sub-2006_8,0.0,1e-10,1.0,11.090354888959125
sub-2006_9,0.37103807952521806,15.351000708146877,9.410943719577323e-09,5.4427900122395805
sub-2006_10,0.5421021010952782,0.08240179835206501,0.0,11.056937136374813
sub-2012_1,0.723079193156553,6.975953802833674,1.0,9.704060795779704
sub-2012_2,1.0,0.1444660092541424,0.8611368145427409,10.870615766825207
sub-2012_3,0.0075730311805424335,20.0,0.0,10.350848081201107
sub-2012_4,1.0,0.13987253996779084,0.0,10.68080470201527
sub-2012_5,0.6816999368735244,0.20518196849539969,1.0,10.987967342223161
sub-2012_6,1.0,0.1398725381114069,0.0,10.68080470201527
sub-2012_7,1.0,20.0,0.9933131739417281,9.60587680329425
sub-2012_8,1.0,12.680247964468546,0.0,5.545177444479562
sub-2012_9,0.006433326391447373,20.0,0.0,9.789944615176427
sub-2012_10,1.0,20.0,0.8109385444539966,9.506892392551604
sub-2004_1,1.0,20.0,0.6718087232633285,7.932984095829093
sub-2004_2,0.00788980786645167,20.0,0.0,9.901663448941889
sub-2004_3,0.01493084983893595,20.0,0.2799849447741611,9.727891690331447
sub-2004_4,0.01363630714877844,20.0,0.0,9.004697519082212
sub-2004_5,0.00112446444799965,16.92950436605492,0.0,11.076074312677527
sub-2004_6,0.02114687130632273,20.0,0.1618860273742292,8.97913550021293
sub-2004_7,0.012611281850040316,20.0,0.2146108339393134,10.230713350151142
sub-2004_8,0.013729472567048533,20.0,0.6825965145205851,8.578933716610436
