Subject,alpha,beta,decay,llh
sub-2013_1,1.0,0.0813418856245967,0.0,10.908859088144593
sub-2013_2,0.0,1e-10,1.0,11.090354888959125
sub-2013_3,1.0,0.22255659157800023,0.2279301041395732,10.5230349292139
sub-2013_4,0.011078937970265303,20.0,0.0023069582718192863,7.975674716618691
sub-2013_5,0.011204929113218307,20.0,0.39613617434210713,10.191059562883355
sub-2013_6,0.011075407156307927,20.0,0.0,10.149645050015417
sub-2013_7,0.010898714236385887,20.0,0.0,9.793480692877466
sub-2013_8,0.012033748830578382,20.0,0.34166579758785454,10.547398567677982
sub-2013_9,0.006958390495483206,20.0,0.23860140476168648,9.758847093019694
sub-2013_10,0.007295862629446721,20.0,0.41831001163476356,9.055665786235592
sub-2007_1,0.0,1e-10,1.0,11.090354888959125
sub-2007_2,1.0,0.2061810424357654,0.0,10.061935667848719
sub-2007_3,1.0,20.0,1.0,9.704060527839234
sub-2007_4,0.023870342884666287,20.0,0.012900147533060034,6.311881279571268
sub-2007_5,0.006939850831317599,20.0,0.0,10.683727376927823
sub-2007_6,0.010775198946345297,20.0,0.0,9.804080709199727
sub-2007_7,1.0,4.434281674965505,1.0,9.704062197576633
sub-2007_8,0.45344262370948624,0.30846801327252554,1.0,10.885579795487198
sub-2007_9,0.2927473669715525,0.7730302819039034,0.0,8.979662578706229
sub-2007_10,0.19885809573276825,1.3348367392476124,0.36161287100737355,10.044895200930666
sub-2006_1,0.0037080719016925733,20.0,0.0,10.315382762353014
sub-2006_2,0.0022036766415483846,20.0,0.0,11.057380164264018
sub-2006_3,0.0,1e-10,1.0,11.090354888959125
sub-2006_4,0.0,1e-10,0.6014540374497905,11.090354888959125
sub-2006_5,1.0,0.04467018944579181,1.0,11.056937136374815
sub-2006_6,0.004722375234764314,20.0,0.0,10.816300692719954
sub-2006_7,1.0,0.08134187793451103,0.0,10.908859088144593
sub-2006_8,0.0,1e-10,0.6991979805210772,11.090354888959125
sub-2006_9,0.8961469247965034,0.2768600379288434,0.1833127891111967,9.983728556342168
sub-2006_10,1.0,8.794669483359288,0.9949132970790184,11.056940680645914
sub-2012_1,1.0,20.0,0.0,6.931471805599453
sub-2012_2,1.0,20.0,0.772690943453189,5.575942917354275
sub-2012_3,1.0,0.28716497883473324,0.0,9.326898739582365
sub-2012_4,1.0,20.0,0.6108408291777057,5.479648984153164
sub-2012_5,0.6013666204946729,0.29747635293154295,0.0,9.988310929273965
sub-2012_6,0.006887506890719314,20.0,0.0,10.787532601469156
sub-2012_7,0.013057938214944699,20.0,0.0,8.676238877927357
sub-2012_8,0.5530083018665346,0.7206038350754876,0.0,8.30945163800575
sub-2012_9,0.0,1e-10,1.0,11.090354888959125
sub-2012_10,1.0,0.3782323174708172,0.34113926635596165,9.911134824736873
sub-2004_1,1.0,4.666329965692041,1.0,8.317767831458182
sub-2004_2,0.006915695070753835,20.0,0.2168228080842504,10.70176812440432
sub-2004_3,1.0,20.0,0.765852853595502,7.003934156352006
sub-2004_4,0.01713007196749729,20.0,0.0,7.206436802154527
sub-2004_5,1.0,20.0,0.8679219676384721,5.546017056088045
sub-2004_6,0.014536543243862507,20.0,0.10048304408751832,8.570451386781244
sub-2004_7,1.0,20.0,0.8070370713071134,5.78742391909393
sub-2004_8,0.009635517118042967,20.0,0.0,8.84101399553084
sub-2004_9,0.9999956960712157,3.4349641544296325,0.5117788456850828,8.351433640114552
sub-2004_10,0.013634398206327487,20.0,0.0,9.015026215322811
sub-2010_1,0.004237940849936917,20.0,0.0,10.720658425337511
sub-2010_2,0.014620500489675009,20.0,1.0,9.894062192045888
sub-2010_3,0.002256402405240187,20.0,1.0,11.023229048978274
sub-2010_4,0.7181073465672136,0.19477942773175297,0.7480380170915014,10.987967342223161
sub-2010_5,1.0,20.0,0.9528779264613811,7.0701833656043656
sub-2010_6,0.0,1e-10,1.0,11.090354888959125
sub-2010_7,0.004973624201806213,20.0,0.7947084143470667,10.805878250375605
sub-2010_8,0.0,1e-10,1.0,11.090354888959125
sub-2010_9,0.07067676880913615,2.382959337803714,0.0,10.33264671575329
sub-2010_10,1.0,0.026715165122047885,0.0,11.070336719351479
sub-2038_1,0.0,1e-10,1.0,11.090354888959125
sub-2038_2,0.03824639555785345,20.0,0.48162240853991345,9.575827626929154
sub-2038_3,0.09020180456306698,1.0149694555695297,1.0,10.605805673455178
sub-2038_4,0.0009482697808206478,20.0,0.0,11.076152125941203
sub-2038_5,1.0,0.18696873716106371,0.41854363377868675,10.725225163936296
sub-2038_6,0.0,0.22684855625830358,1.0,11.090354888959125
sub-2038_7,0.0,1e-10,1.0,11.090354888959125
sub-2038_8,0.9995799571751013,19.024304019286674,0.9976509488743519,9.670642775255047
sub-2038_9,0.011347580986917256,20.0,0.3509457126288086,10.538274232011998
sub-2038_10,0.00202220953956086,20.0,0.0,10.824080998041424
sub-2039_1,0.01998519825182197,20.0,0.0,7.387650614088331
sub-2039_2,0.4115233995859416,0.19766041120084216,0.0,10.908859088144593
sub-2039_3,1.0,6.221463416724992,0.0,6.931471829110911
sub-2039_4,0.016526352330599316,20.0,0.0,9.331020016693047
sub-2039_5,0.01462050139873692,20.0,1.0,9.894062192045899
sub-2039_6,1.0,6.856256938308514,0.0,6.931471809100658
sub-2039_7,1.0,6.702333328004963,0.0,5.54517745188756
sub-2039_8,0.016470597449978353,20.0,0.12749059591163503,8.572959125324093
sub-2039_9,0.28900914516554854,1.8308543652630713,0.0,8.040500587944445
sub-2039_10,1.0,0.5927683273512881,0.0,6.8582866335951245
sub-2011_1,1.0,20.0,0.5099216790873504,5.727634703878524
