Subject,a_gain,a_loss,beta,iProbA,iProbB,iProbC,llh
sub-2013_1,0.0,0.4175989861567462,6.053261168566989,1.0,0.0,0.48844701654722994,2.567813681052727
sub-2013_2,2.1862922970230995e-06,0.0,5.450349318334362,0.46905355464884213,0.5128304579359376,1.0,4.4481052193457105
sub-2013_3,0.0,0.35142484496774257,0.13749850083727636,1.0,0.6439981793237983,0.8491651777365692,8.029603520686317
sub-2013_4,0.0,0.11686591200042795,5.212919587039291,0.0,0.5042855949411759,0.5323541748521461,6.00575692669464
sub-2013_5,4.202221733133925e-09,0.0,5.964782480372823,0.0,0.48827672735530475,1.0,2.5678136999963432
sub-2013_6,0.05235781527628385,0.05235752300078846,5.203225637880602,0.4865589461844883,0.5134410280188635,0.0,6.419534238382831
sub-2013_7,0.6378767340737871,0.0,5.097258412062426,1.0,0.48627970915497754,0.5137190393650007,6.419534302210384
sub-2013_8,0.0,0.0,0.3391059752013092,0.499999999190527,0.8401954087651222,0.9973868453215948,7.425468875869957
sub-2013_9,0.029226605151902674,0.1336318385838996,5.542553821940252,0.48738232519229574,0.5126184696871738,0.0,5.135627378052789
sub-2013_10,0.17533829120521618,0.0,0.13987254459966456,0.9999999813809535,0.9999999857736206,0.6596817621939204,7.977185773927143
sub-2007_1,0.43299126942236643,0.0,0.25787347128800797,1.0,0.7712037844410498,0.22879621804839095,7.115902656289168
sub-2007_2,0.09085252756339673,0.7981055478282199,0.2673934405342787,0.0,0.23845182165982406,0.7799181894270864,7.108207912594132
sub-2007_3,0.4191835419232641,0.0,5.16072413841329,1.0,0.46732076113433063,0.5043276867242936,6.005756958460029
sub-2007_4,0.03605619581488089,0.04890793202865984,5.138343654473904,0.0,0.4671802831272498,0.48639129288736566,5.732012101418122
sub-2007_5,1.0,0.008081302714297111,20.0,0.4965031930127031,0.5034968009659582,0.5080240839758756,6.182481448673394
sub-2007_6,0.0,0.0,5.155398993764433,0.0,0.5327154108686438,0.4864367001106211,5.73201207569125
sub-2007_7,0.05030808297659091,1.0,5.4210290361723095,0.487098169077734,0.46888658683465384,1.0,4.448105233710046
sub-2007_8,0.0,0.0413825405546141,5.825694893532602,0.49999910843141854,0.4879979759854704,0.0,4.056495619987994
sub-2007_9,0.19209354643672327,0.29701876479787104,11.850749527543783,0.4857693612510633,0.49409923092425484,0.9998328508371037,4.448105622545976
sub-2007_10,0.47240235262767943,0.0,0.15621516058332927,0.9476920135043975,0.052307950133077874,0.9476919181820672,7.908215979775506
