Subject,a_gain,a_loss,beta,decay,llh
sub-1009_1,0.0,1.0,13.701218620363374,0.0,9.704060527839234
sub-1009_2,0.0,0.6400643699336742,1e-10,0.6067394102249377,12.476649250079015
sub-1009_3,0.9687659888631565,0.0,0.14438217591855254,0.0,11.964711516399197
sub-1009_4,1.0,0.0,0.2578734916385661,0.0,11.581948379856719
sub-1009_5,1.0,0.025281457804740035,3.400298363328945,0.9588899011428432,10.6998037204981
sub-1009_6,0.014417496796098403,1.0,9.701547131731049,1.0,10.9879673422247
sub-1009_7,0.007764695719796742,0.0,20.0,0.0,11.832035503947855
sub-1009_8,0.0,0.0,1e-10,0.13316290912864376,12.476649250079015
sub-1009_9,0.4117249781575144,0.17071814230249208,0.8193179687955523,0.0,11.379576865758159
sub-1009_10,1.0,0.02464608713299796,3.4875601692981597,0.0,9.518241147560408
sub-1021_1,0.010898713142960214,1.0,20.0,0.0,8.40718633175755
sub-1021_2,0.007879012963256458,0.03205826106180046,20.0,0.0,8.77541556478466
sub-1021_3,0.022124263399319097,1.0,6.944022475477814,0.08948694082778637,8.215378658825843
sub-1021_4,0.6188649126898157,0.01998519763200703,20.0,0.0,8.77394497520821
sub-1021_5,1.0,1.0,12.486557941792283,0.0,4.1588830833596715
sub-1021_6,0.019950538471978654,0.014620499276060963,20.0,0.0,9.119156282280677
sub-1021_7,1.0,1.0,20.0,0.4945947495783675,6.85313293287552
sub-1021_8,0.023389097184174503,1.0,20.0,0.8261808532688684,7.85745590901808
sub-1021_9,0.008844906882942961,1.0,20.0,0.2905963527558511,7.502922943049746
sub-1021_10,0.0009111302516246535,0.028106739437685144,20.0,0.3034396557447019,9.304111695453686
sub-1035_1,0.9921315205118509,0.016866679527839677,20.0,0.0,8.81176323698991
sub-1035_2,0.13311169145283985,0.0,1.617475556685838,0.0,10.662021732319827
sub-1035_3,1.0,0.8831203940075654,0.20618104659375597,0.0,11.448230028968608
sub-1035_4,0.01995053556926656,0.00699362634131853,20.0,0.0,10.213061432457978
sub-1035_5,1.0,0.906355978849891,12.521768295546707,0.0,6.931471805599455
sub-1035_6,1.0,0.06401713643502197,20.0,0.7349599747521,8.44714349541464
sub-1035_7,0.0022564032857293674,0.00798903787272476,20.0,0.0,11.865821053699273
sub-1035_8,0.0,1.0,4.8037655932428,0.0,8.317767820107058
sub-1035_9,1.0,0.03468424429565656,6.950823982512711,0.10318193951791593,6.829084327793406
sub-1035_10,1.0,1.0,11.727447760304825,0.0,6.931471805599456
sub-1034_1,0.005773038152107642,1.0,20.0,0.0,8.923237887313224
sub-1034_2,0.0069936276663841584,0.011558369161485005,20.0,0.0,10.802929433806689
sub-1034_3,0.6726725701144219,0.9515078308212555,6.108662970467128,1.0,8.317766246921964
sub-1034_4,0.6619259105392318,0.15854340135754855,20.0,0.7897279124016117,8.435341921747622
sub-1034_5,0.02257296343055154,1.0,19.037906142457953,1.0,9.704060527839234
sub-1034_6,1.0,1.0,20.0,0.8709001079193193,8.819285205114669
sub-1034_7,0.1255288062634414,1.0,1.8124332879976117,0.0,9.424359516441124
sub-1034_8,0.08568893253554369,1.0,20.0,0.8272989686470996,7.117268949159509
sub-1034_9,0.016958321737468758,1.0,2.7785193563355275,0.0,10.919137417748818
sub-1034_10,0.012050578873117205,0.3427110474741355,20.0,0.4449785083592156,11.247448908034274
sub-1020_1,0.05037479231398817,1.0,2.4331972528463917,0.0,7.522517211741226
sub-1020_2,0.059249374041545025,0.1332306994348789,4.167344761942232,0.0,9.47774491967959
sub-1020_3,0.0,0.9190676321264644,6.930557708993009,0.08423539008060614,9.704060662696733
sub-1020_4,0.0015534817444621918,0.4168241482809989,20.0,0.0,12.246842379206488
sub-1020_5,0.028637364986324125,1.0,11.779494361078628,0.0,8.811763236989842
sub-1020_6,0.0,1.0,20.0,0.0,8.317766166719343
sub-1020_7,0.8090889247993799,1.0,9.259056065613205,0.0,5.545177444483883
sub-1020_8,0.05048813363940648,0.9443225423267806,6.681438769350155,0.0,8.811763249028957
sub-1020_9,0.0039555899556651675,1.0,20.0,0.3294735074318517,8.000273478803026
sub-1020_10,0.0029453355856942603,1.0,20.0,0.453018375108143,8.291666769578367
sub-1008_1,0.0,1.0,8.95398942191675,0.0,6.931471805608086
