Subject,a_gain,a_loss,beta,llh
sub-1009_1,0.0,1.0,5.08003850120143,9.704061009046283
sub-1009_2,0.0,0.6054061005467122,1e-10,12.476649250079015
sub-1009_3,0.7889008347793651,0.0,0.17730053418299127,11.964711516399197
sub-1009_4,1.0,0.0,0.25787349337699556,11.581948379856719
sub-1009_5,1.0,0.0,0.25787349444295754,11.581948379856717
sub-1009_6,0.0,0.04878062241133389,1e-10,12.476649250079014
sub-1009_7,0.0077646958223627615,0.0,20.0,11.832035503947786
sub-1009_8,0.0,0.0,1e-10,12.476649250079015
sub-1009_9,0.41172690806743295,0.17071872899571675,0.8193148560045919,11.379576865758402
sub-1009_10,1.0,0.02464558577306486,3.487626630479339,9.518241147561351
sub-1021_1,0.010898714388477308,1.0,20.0,8.407186331757556
sub-1021_2,0.007879012392687772,0.03205825278243927,20.0,8.775415564784671
sub-1021_3,0.015512673065542135,0.6571891362577511,9.014747564612884,8.215378681603926
sub-1021_4,0.7396053539625643,0.01998519722270512,20.0,8.773944975208227
sub-1021_5,1.0,1.0,13.047610865868656,4.1588830833596715
sub-1021_6,0.019950538471772233,0.014620500564717915,20.0,9.119156282280663
sub-1021_7,1.0,0.059620845283097634,5.657610862833828,7.425469006173536
sub-1021_8,0.012367072628695429,0.024652737094638628,20.0,9.751287817159877
sub-1021_9,0.005792772738512226,1.0,20.0,7.534937016138618
sub-1021_10,0.018276642743522274,0.018616896854468955,20.0,9.434277690079346
sub-1035_1,1.0,0.060741821333582836,5.553347264443243,8.811763354276032
sub-1035_2,0.1331019531540662,0.0,1.61758330616256,10.662021732301195
sub-1035_3,1.0,0.9778228004133778,0.206181044715497,11.44823002896861
sub-1035_4,0.019950538096947076,0.0069936281874897095,20.0,10.213061432457941
sub-1035_5,1.0,0.9345847256269845,15.800256345576425,6.931471805599453
sub-1035_6,1.0,0.007451106942491548,5.994855237244277,9.670642806247669
sub-1035_7,0.002256401004486762,0.007989037870152458,20.0,11.865821053699243
sub-1035_8,0.0,1.0,6.222665617032506,8.317766190146157
sub-1035_9,1.0,0.013020744033490449,10.742279229970398,6.829084258863558
sub-1035_10,0.9509466179323769,1.0,14.841812374729603,6.931471805599453
sub-1034_1,0.005773038064805873,1.0,20.0,8.92323788731323
sub-1034_2,0.006993627906677261,0.011558364165036262,20.0,10.802929433806748
sub-1034_3,0.450803720093619,0.014441495662310122,20.0,9.517041768325253
