Subject,a_gain,a_loss,beta,llh
sub-2013_1,0.003553851227522477,0.0017158396977529542,20.0,52.001740980793436
sub-2013_2,0.00401579363246492,0.0015814380367530822,20.0,51.51064743594003
sub-2013_3,0.002344739185681095,0.0015252311929455718,20.0,54.16300202212821
sub-2013_4,0.1173850649574869,0.05463496318761919,1.3789857040305158,38.37126360117064
sub-2013_5,0.004234852697226394,0.003363538433468845,20.0,43.27075461185254
sub-2013_6,0.003643400880719565,0.0017124260504032829,20.0,47.15673297755819
sub-2013_7,0.004012259678392486,0.0010809325743626073,20.0,44.646307692766634
sub-2013_8,0.33313192185653834,0.14778826897375774,0.5248519109231851,46.168698268836124
sub-2013_9,0.07581315081978149,0.06424957613236901,1.8042810958506867,43.01553787077365
sub-2013_10,0.004012087773695523,0.0022908777832290664,20.0,47.6928039831566
sub-2007_1,0.002486395302970173,0.0016574526593177337,20.0,51.5258761465949
sub-2007_2,0.4564243936696264,0.48634713582554684,0.31559604471050534,51.743283960524735
sub-2007_3,0.22776483971997344,0.06481579664698221,0.3392590910257604,55.31766891166449
sub-2007_4,0.46865446160445956,0.34033680810056866,0.2733805098917789,55.08976005770511
sub-2007_5,0.0017684620968030165,0.0015589317345890827,20.0,58.26216944607717
sub-2007_6,0.02393712360682336,0.01569655182933614,2.131803731534782,55.46001560403378
sub-2007_7,0.002150971630911874,0.0020757665185477474,20.0,56.342370833322235
sub-2007_8,0.31083891403577724,0.38393920191647696,0.3440690617687218,53.994460249970984
sub-2007_9,0.0027243038479799367,0.00607613420260075,20.0,50.58588001724984
sub-2007_10,0.22530141705633977,0.1899960683366328,0.34766865820010384,57.650681140093816
sub-2006_1,0.4060897791066668,1.0,0.15331811474229437,58.90975300598207
sub-2006_2,1.0,1.0,0.042470560419262275,61.97010707610023
sub-2006_3,0.19470131304329333,0.0,0.08101149735839187,61.879823850019754
sub-2006_4,0.0010628884683615792,0.0005826918303718987,20.0,61.4766609141782
sub-2006_5,1.0,0.0,0.0975288162059488,60.21495566882106
sub-2006_6,0.8085115204691408,0.0,0.009484978710502929,62.368741167601556
sub-2006_7,1.0,0.14178195464992674,0.03643510561724994,62.16746739443847
sub-2006_8,0.0,0.4094804923992666,0.035488510257591484,62.26732096188102
sub-2006_9,0.0007562405954934352,0.00027259110868771424,20.0,61.53291157477169
sub-2006_10,0.0,0.0005718121216219926,20.0,61.934203636796376
sub-2012_1,0.012441169788135375,0.42909796780721166,0.9697412111437715,40.90282722165265
sub-2012_2,0.0,0.11275510319287758,2.589777257638593,42.05023199053348
sub-2012_3,0.0,0.45707472830665413,0.3797912101959181,53.07630107407341
sub-2012_4,0.018844320244960647,1.0,0.5769272463008999,39.0604766741727
sub-2012_5,0.10325833819465671,1.0,0.3921641995264738,48.66004890187828
sub-2012_6,0.0002645186984163675,0.0137333841827963,20.0,45.474379587220454
sub-2012_7,0.01718756936812084,0.41336212016231766,0.641667616765244,42.927099640506576
sub-2012_8,0.0,0.823058528945599,0.5807524876024637,40.97011401967991
sub-2012_9,0.020456023990077794,1.0,0.5899631187707859,37.997856125779094
sub-2012_10,0.04901767650129659,1.0,0.4406092699226222,45.55531426506215
sub-2004_1,0.09489558885909494,0.16155556199926405,2.046493085732735,26.82660007965758
sub-2004_2,0.03486683877858844,0.0672812732070554,3.758186976087736,35.08212687572766
sub-2004_3,0.14736204943147618,0.12266655006810229,2.281963334201966,24.198286923979722
sub-2004_4,0.0752040467626642,0.12855941817044844,2.3779874667196435,32.957533696690554
sub-2004_5,0.5037583465989942,0.7840422004051871,0.4547928850328158,42.018651412241546
sub-2004_6,0.05699207932462518,0.09252214258511551,3.2052370211659413,41.523594311664354
sub-2004_7,0.19934497344407934,0.30805023210541976,1.1202812306807441,41.329468650960926
sub-2004_8,0.007341377263355195,0.010335437889463131,20.0,33.592615458592135
sub-2004_9,0.01014164092161379,0.017640727723862312,20.0,30.903354973298143
sub-2004_10,0.03813963218033463,0.06425478396981307,3.0045294566181293,34.661625858830696
sub-2010_1,0.0,0.6856768015661702,0.007083864185886594,62.37715996271135
sub-2010_2,0.0,1.0,0.025438691686136026,62.23073975665254
sub-2010_3,0.00043538589723891255,0.0,20.0,62.09137646250202
sub-2010_4,1.0,0.07765596561221795,0.020668995194489517,62.321064307861604
sub-2010_5,0.0008893609371853234,0.0015366127516018703,20.0,59.05624320606245
sub-2010_6,0.0003180245104365172,0.0007480272415166556,20.0,61.387303524404736
sub-2010_7,0.0008198844613949004,0.0011040389017919145,20.0,60.38843592033473
sub-2010_8,0.0,0.28863886379367204,0.019529310790212723,62.35980211616704
sub-2010_9,0.00010882911905405516,0.00020758447365111176,18.39229349044685,62.32593857146142
sub-2010_10,0.0,0.0,1e-10,62.383246250395004
sub-2038_1,0.0,0.0018263704655260638,20.0,60.86263158136944
sub-2038_2,1.0,0.03750775243966554,0.06967664133440651,61.661572270191435
sub-2038_3,0.00036731566411202476,0.0,20.0,62.175093830386444
sub-2038_4,0.08194052810953543,0.3191371204158192,0.11058627479814748,61.669192954440454
sub-2038_5,1.0,1.0,0.05113149317895423,61.77170276514234
sub-2038_6,0.24618468106591168,1.0,0.08437354686751294,61.37806562335075
sub-2038_7,0.19276645129648756,0.0,0.09623790247269184,61.94952837694005
sub-2038_8,1.0,0.5170135989346737,0.1210300225198065,60.071257851864374
sub-2038_9,0.39641120143192016,0.016188614351342508,0.14823304182541489,60.548096841912624
sub-2038_10,0.23828575984499484,0.0,0.19474817987020815,60.10811690180122
