Subject,alpha,beta,llh
sub-1009_1,0.0,1e-10,15.249237972318797
sub-1009_2,0.0023575058145608122,20.0,14.872171661300072
sub-1009_3,0.0,0.4113876550562187,15.249237972318797
sub-1009_4,0.0,1e-10,15.249237972318797
sub-1009_5,0.6775375098220066,0.06564764350743081,15.175466457184683
sub-1009_6,0.007687181092177558,20.0,13.858654134118595
sub-1009_7,0.004444489958786887,20.0,13.965894378719744
sub-1009_8,0.8841165190795085,0.19546008579327295,13.931349969712796
sub-1009_9,0.0007446654211085458,20.0,15.204723647283924
sub-1009_10,0.002842524615922723,20.0,14.718419616348244
sub-1021_1,0.00752690002386501,20.0,14.401451060646972
sub-1021_2,0.006161096257701802,20.0,14.373736169676166
sub-1021_3,0.45132948539060774,0.3685904950679526,14.295261788393969
sub-1021_4,0.002483437391447729,20.0,14.780125985176337
sub-1021_5,0.002959599208384626,20.0,14.295825849555696
sub-1021_6,0.011308594434579806,20.0,12.298492647654921
sub-1021_7,0.01009749814987675,20.0,13.524992739562403
sub-1021_8,1.0,0.337333695992791,11.68004880892125
sub-1021_9,1.0,0.25787349507839563,13.4598362318742
sub-1021_10,0.005488644485614652,20.0,14.103458837840222
sub-1035_1,0.0030010015586203623,20.0,14.854517335466392
sub-1035_2,0.0018858493081728889,20.0,14.99986040922182
sub-1035_3,0.7351028316006276,0.41826626650598037,12.57036635147111
sub-1035_4,1.0,0.09752881007019573,14.887856208723134
sub-1035_5,0.003034065095329573,20.0,14.762018795061
sub-1035_6,0.750533817000052,0.49526657438926075,10.478830801449089
sub-1035_7,0.00759124773324966,20.0,13.862451207602792
sub-1035_8,0.023057729104036435,20.0,8.55038193926112
sub-1035_9,1.0,0.05762529682867354,15.120126304053535
sub-1035_10,1.0,0.18006724410182914,13.951126587370387
sub-1034_1,1.0,0.09752881043850613,14.887856208723136
sub-1034_2,0.727037975779493,0.22385653202564296,13.902539511502408
sub-1034_3,1.0,12.443876144650922,4.1588830833596715
sub-1034_4,0.14096576358506951,1.0769068961231263,13.707270301101431
sub-1034_5,0.8816760178182982,0.3681986928156921,11.648876235419038
sub-1034_6,0.007488196881347649,20.0,12.666603515356096
sub-1034_7,0.023370508573254175,20.0,10.086746879220842
sub-1034_8,1.0,0.33733369285702847,11.68004880892125
sub-1034_9,0.009635517061828318,20.0,12.999897078890534
sub-1034_10,0.016414861989688365,20.0,13.49820692956766
sub-1020_1,1.0,0.3006381032337857,12.604088973274358
sub-1020_2,1.0,0.13987253539384434,14.430137598431088
sub-1020_3,1.0,14.025462221319758,4.1588830833596715
sub-1020_4,0.01244480445724328,20.0,13.125478268028733
sub-1020_5,0.014620500085014879,20.0,11.660359881579087
sub-1020_6,1.0,0.645694245275887,9.79974233672169
sub-1020_7,0.022183905534559227,20.0,9.866003136638248
sub-1020_8,0.3955353061495042,0.15116973666881212,14.938356349254338
sub-1020_9,1.0,0.27585225017530585,12.59659224020091
sub-1020_10,0.11579343031496359,1.7959299181496156,13.866507516925244
sub-1008_1,0.00044539505562599623,10.290065174356345,15.245799039253653
sub-1008_2,1.0,0.3373336946405265,11.68004880892125
sub-1008_3,0.004587803201667737,20.0,13.83025570023188
sub-1008_4,1.0,0.04467019233053708,15.182402467150176
sub-1008_5,0.8430479842730729,0.29680223377652526,12.588533643748521
sub-1008_6,0.001479579172158491,20.0,14.988426217425076
sub-1008_7,0.3931422109471262,0.7134920384975056,12.911621081334262
sub-1008_8,0.009716742161498017,20.0,13.084062933778622
sub-1008_9,1.0,0.2246654633415993,13.345354779562788
sub-1008_10,0.999999991912804,0.13987253754000192,14.53252514516705
sub-1036_1,0.003730779693235235,20.0,14.340404039504927
sub-1036_2,1.0,20.0,5.545177444479562
sub-1036_3,0.004551052232727815,20.0,14.408371591440224
sub-1036_4,1.0,0.10266275709799508,14.793333436180802
sub-1036_5,0.015972925389342925,20.0,10.651075989388122
sub-1036_6,0.4735865017502515,0.7923911856514745,10.272864662076561
sub-1036_7,0.02287920053191836,20.0,7.655653472180692
sub-1036_8,0.006706996442984144,20.0,12.448403634072951
sub-1036_9,0.010670162540762487,20.0,11.883456427329087
sub-1036_10,0.0006902903163864054,20.0,15.21824414205281
sub-1022_1,0.26407511591263344,0.7807666288261498,14.220818751208387
sub-1022_2,0.4924354146482832,0.06683724307046146,15.168890348851233
sub-1022_3,0.0,1e-10,15.249237972318797
sub-1022_4,0.006105625390004953,20.0,14.380513608206375
sub-1022_5,0.0018448926492569953,20.0,15.084867918729387
sub-1022_6,0.0,1e-10,15.249237972318797
sub-1022_7,0.005916150119948002,20.0,13.48393230345945
sub-1022_8,0.0,1e-10,15.249237972318797
sub-1022_9,1.0,0.18612839479790333,14.04473167652317
sub-1022_10,0.02337050868136288,20.0,10.086746879220856
sub-1023_1,0.011250533915234024,20.0,10.910900544743551
sub-1023_2,0.007783743084771203,20.0,14.06845840227106
sub-1023_3,1.0,0.22466545967130785,13.345354779562786
sub-1023_4,0.00860948220630673,20.0,12.192461514337431
sub-1023_5,0.01861690042243177,20.0,12.206866412319124
sub-1023_6,1.0,0.33733369035650557,12.572346099770636
sub-1023_7,0.9001805891307388,0.3652632346803662,11.679920693494562
sub-1023_8,1.0,0.25787349295618217,13.459836231874203
sub-1023_9,0.3117020283836634,1.4396376206504617,13.122227577096051
sub-1023_10,0.006217672130652518,15.278670810228444,14.423669433568618
sub-1037_1,1.0,0.18612838907820023,14.04473167652317
sub-1037_2,0.0009710539583765869,12.49797082957165,15.240152891847112
sub-1037_3,0.0,1e-10,15.249237972318797
sub-1037_4,0.7351023217464362,0.4182664659401241,12.570366351471108
sub-1037_5,0.0020668090783136097,20.0,14.915910308713002
sub-1037_6,0.4986952553236546,0.08296237422043777,15.148776439813652
sub-1037_7,0.15636856216006761,0.8945072066881894,14.04737446189138
sub-1037_8,0.009383129178776728,20.0,13.00781502705524
sub-1037_9,0.009774310082039403,20.0,11.563437062021404
sub-1037_10,1.0,19.698548121740085,5.545177444479562
sub-1033_1,0.017435768318571597,20.0,11.930433576554291
sub-1033_2,0.014868829655905807,20.0,10.022631367183997
sub-1033_3,0.02684558219068362,20.0,9.544795519452794
sub-1033_4,1.0,0.04467018959568601,15.182402467150176
sub-1033_5,0.11085536970880483,1.394889537416223,14.491268993801313
sub-1033_6,1.0,0.23849399091889195,13.40969044541045
sub-1033_7,0.6846518894469071,0.1865619047082106,14.529404826513149
sub-1033_8,1.0,0.23849399540783064,13.40969044541045
sub-1033_9,0.009987206470756538,20.0,11.553433289891334
sub-1033_10,0.03761655560523588,4.2491212259545605,13.416110121153192
sub-1026_1,1.0,0.1398725393450471,14.634912691903015
sub-1026_2,0.0044199778165830445,20.0,14.607753096683384
sub-1026_3,0.0,1e-10,15.249237972318797
