id,trial,prob_recip,pe
sub-2029,1,0.5,-0.5
sub-2029,2,0.5,0.5
sub-2029,3,0.5,0.5
sub-2029,4,0.5001936475760215,0.49980635242397853
sub-2029,5,0.5,-0.5
sub-2029,6,0.49278948168439707,-0.49278948168439707
sub-2029,7,0.49278948168439707,-0.49278948168439707
sub-2029,8,0.5001936475760215,-0.5001936475760215
sub-2029,9,0.4929803366616312,-0.4929803366616312
sub-2029,10,0.49278948168439707,-0.49278948168439707
sub-2029,11,0.4929803366616312,-0.4929803366616312
sub-2029,12,0.4929803366616312,-0.4929803366616312
sub-2029,13,0.4929803366616312,0.5070196633383688
sub-2029,14,0.48568294651755345,-0.48568294651755345
sub-2029,15,0.5003872201532755,0.4996127798467245
sub-2029,16,0.5005807177608088,0.4994192822391912
sub-2029,17,0.48568294651755345,-0.48568294651755345
sub-2029,18,0.48568294651755345,-0.48568294651755345
sub-2029,19,0.48568294651755345,-0.48568294651755345
sub-2029,20,0.4931767029192326,0.5068232970807673
sub-2029,21,0.48568294651755345,-0.48568294651755345
sub-2029,22,0.4933729931251344,-0.4933729931251344
sub-2029,23,0.4933729931251344,0.5066270068748656
sub-2029,24,0.5007741404276568,-0.5007741404276568
sub-2029,25,0.493569207308791,0.506430792691209
sub-2029,26,0.48568294651755345,-0.48568294651755345
sub-2029,27,0.4786788949546718,-0.4786788949546718
sub-2029,28,0.5007741404276568,-0.5007741404276568
sub-2029,29,0.4786788949546718,-0.4786788949546718
sub-2029,30,0.5007741404276568,-0.5007741404276568
sub-2029,31,0.49355245820458893,-0.49355245820458893
sub-2029,32,0.49355245820458893,-0.49355245820458893
sub-2029,33,0.49355245820458893,0.5064475417954111
sub-2029,34,0.49376534549964557,0.5062346545003544
sub-2029,35,0.4786788949546718,-0.4786788949546718
sub-2029,36,0.49396140772712965,0.5060385922728703
sub-2029,37,0.49374860288229033,0.5062513971177096
sub-2029,38,0.493944671594109,0.5060553284058911
sub-2029,39,0.49415739402066355,0.5058426059793364
sub-2029,40,0.4786788949546718,-0.4786788949546718
sub-2029,41,0.4941406643694661,-0.4941406643694661
sub-2029,42,0.4943533044096561,0.5056466955903439
sub-2029,43,0.4945491389235047,0.5054508610764953
sub-2029,44,0.4870146437476256,-0.4870146437476256
sub-2029,45,0.4786788949546718,-0.4786788949546718
