"trial_number","trial_type","response_key","response_time","trial_earnings"
1,"Neutral","None",NA,9
2,"Trustworthy","None",NA,9
3,"Neutral","1",2.2503650000001,9
4,"Untrustworthy","3",2.46267489999991,3
5,"Untrustworthy","1",3.45194519999995,9
6,"Trustworthy","2",3.76728860000003,12
7,"Neutral","1",3.50055259999999,9
8,"Untrustworthy","None",NA,9
9,"Trustworthy","4",2.66705249999995,18
10,"Neutral","3",2.5016720000001,15
11,"Trustworthy","3",3.30061100000012,15
12,"Neutral","4",2.78372100000001,0
13,"Untrustworthy","2",2.21786510000015,6
14,"Trustworthy","1",1.53389690000017,9
15,"Untrustworthy","2",2.73401000000013,6
16,"Untrustworthy","1",1.11703620000026,9
17,"Trustworthy","1",1.65063000000009,9
18,"Neutral","1",1.6506617,9
19,"Neutral","1",2.73447400000032,9
20,"Neutral","1",3.20072739999978,9
21,"Trustworthy","2",2.58386160000009,12
22,"Trustworthy","2",2.76734690000012,12
23,"Trustworthy","1",3.10076049999998,9
24,"Neutral","3",2.40063049999981,15
25,"Untrustworthy","3",2.73401030000014,3
26,"Neutral","2",1.9196081,12
27,"Trustworthy","3",2.25044930000013,15
28,"Untrustworthy","2",3.21733129999984,6
29,"Untrustworthy","1",0.61711779999996,9
30,"Untrustworthy","1",2.01705250000032,9
31,"Untrustworthy","1",2.58337960000017,9
32,"Untrustworthy","2",2.11714329999995,6
33,"Neutral","3",1.63432919999968,15
34,"Untrustworthy","1",0.867211099999622,9
35,"Neutral","3",2.05057480000005,15
36,"Trustworthy","3",1.68363689999978,15
37,"Trustworthy","3",1.45050410000022,15
38,"Trustworthy","4",1.50034839999989,18
39,"Trustworthy","4",1.18373479999991,18
40,"Neutral","4",2.11768930000017,18
41,"Trustworthy","4",1.26699549999967,0
42,"Untrustworthy","1",1.50081449999971,9
43,"Untrustworthy","1",1.60089480000033,9
44,"Neutral","4",1.66716099999985,0
45,"Neutral","1",1.00061249999999,9
