"trial_number","trial_type","response_key","response_time","trial_earnings"
1,"Trustworthy",4,3.73973279981874,18
2,"Neutral",4,1.61320350016467,18
3,"Trustworthy",4,1.50053020007908,18
4,"Neutral",4,2.98402639990672,18
5,"Trustworthy",4,2.0341070999857,18
6,"Trustworthy",4,1.60048629995435,18
7,"Trustworthy",4,3.15026659984142,18
8,"Trustworthy",4,1.9668252998963,0
9,"Neutral",4,2.0506585999392,18
10,"Untrustworthy",4,1.97961999988183,0
11,"Trustworthy",4,1.70036399993114,18
12,"Untrustworthy",4,1.90054549998604,0
13,"Trustworthy",4,1.28391449991614,18
14,"Neutral",4,2.01720319991,18
15,"Neutral",4,1.31708199996501,18
16,"Trustworthy",4,1.78386630001478,18
17,"Neutral",4,1.43365629995242,18
18,"Trustworthy",4,2.08366909995675,18
19,"Neutral",4,1.58370129996911,18
20,"Untrustworthy",4,1.78380180010572,0
21,"Untrustworthy",4,1.43391019990668,0
22,"Trustworthy",4,1.61737330001779,18
23,"Neutral",4,3.10062389983796,18
24,"Untrustworthy",4,1.80037830001675,0
25,"Neutral",4,1.26722739986144,18
26,"Neutral",4,1.3005295000039,18
27,"Untrustworthy",4,1.66703810007311,0
28,"Neutral",4,1.15052210004069,0
29,"Untrustworthy",4,1.31728790001944,0
30,"Untrustworthy",4,1.45043120021001,0
31,"Untrustworthy",4,1.81793770007789,0
32,"Neutral",4,2.03379189991392,18
33,"Untrustworthy",4,2.26682650018483,0
34,"Untrustworthy",4,1.40045780013315,0
35,"Trustworthy",4,2.2505423000548,18
36,"Neutral",4,2.23372119991109,18
37,"Neutral",4,2.06737570022233,18
38,"Untrustworthy",2,3.33400540007278,6
39,"Trustworthy",4,1.38412520010024,18
40,"Untrustworthy",2,1.93386260000989,6
41,"Trustworthy",4,1.85031550005078,0
42,"Untrustworthy",2,3.63409540010616,6
43,"Neutral",4,2.00053830002435,18
44,"Untrustworthy",1,1.95058019994758,9
45,"Trustworthy",4,1.43396379984915,18
