"onset"	"duration"	"event"	"trial_type"	"response_time"	"response_key"	"stim_file"	"trial_earnings"
0.0154720578575507	2.48738603736274	"Decision"	"Neutral"	2.48738603736274	2	"images/C1f01.jpg"	12
2.53380960668437	3.51261396263726	"Response"	"Neutral"	2.48738603736274	2	"images/C1f01.jpg"	12
6.04975668643601	2	"Thinking"	"Neutral"	2.48738603736274	2	"images/C1f01.jpg"	12
8.0524975907756	2	"Feedback"	"Neutral"	2.48738603736274	2	"images/C1f01.jpg"	12
16.0531580701936	2.46709663257934	"Decision"	"Neutral"	2.46709663257934	3	"images/C1f01.jpg"	3
18.533983117668	3.53290336742066	"Response"	"Neutral"	2.46709663257934	3	"images/C1f01.jpg"	3
22.0664564054459	2	"Thinking"	"Neutral"	2.46709663257934	3	"images/C1f01.jpg"	3
24.0698054515524	2	"Feedback"	"Neutral"	2.46709663257934	3	"images/C1f01.jpg"	3
40.0774245739449	1.71330527577084	"Decision"	"Trustworthy"	1.71330527577084	2	"images/A1f01.jpg"	12
41.8012582673691	4.28669472422916	"Response"	"Trustworthy"	1.71330527577084	2	"images/A1f01.jpg"	12
46.0838740617037	2	"Thinking"	"Trustworthy"	1.71330527577084	2	"images/A1f01.jpg"	12
48.087165081175	2	"Feedback"	"Trustworthy"	1.71330527577084	2	"images/A1f01.jpg"	12
54.0979125208687	2.99092793662567	"Decision"	"Untrustworthy"	2.99092793662567	3	"images/B1f01.jpg"	3
57.1011830603238	3.00907206337433	"Response"	"Untrustworthy"	2.99092793662567	3	"images/B1f01.jpg"	3
60.1009014605079	2	"Thinking"	"Untrustworthy"	2.99092793662567	3	"images/B1f01.jpg"	3
62.103728267015	2	"Feedback"	"Untrustworthy"	2.99092793662567	3	"images/B1f01.jpg"	3
72.1046225596219	1.65037768497132	"Decision"	"Untrustworthy"	1.65037768497132	2	"images/B1f01.jpg"	6
73.7687172817532	4.34962231502868	"Response"	"Untrustworthy"	1.65037768497132	2	"images/B1f01.jpg"	6
78.1182275257306	2	"Thinking"	"Untrustworthy"	1.65037768497132	2	"images/B1f01.jpg"	6
80.1209109723568	2	"Feedback"	"Untrustworthy"	1.65037768497132	2	"images/B1f01.jpg"	6
86.1218285893556	2.15032193390653	"Decision"	"Neutral"	2.15032193390653	2	"images/C1f01.jpg"	12
88.285932413768	3.84967806609347	"Response"	"Neutral"	2.15032193390653	2	"images/C1f01.jpg"	12
92.135401697713	2	"Thinking"	"Neutral"	2.15032193390653	2	"images/C1f01.jpg"	12
94.1383297663415	2	"Feedback"	"Neutral"	2.15032193390653	2	"images/C1f01.jpg"	12
102.142466722871	1.46654367295559	"Decision"	"Untrustworthy"	1.46654367295559	1	"images/B1f01.jpg"	9
103.619591151248	8.53345632704441	"Response"	"Untrustworthy"	1.46654367295559	1	"images/B1f01.jpg"	9
112.152621380868	2	"Thinking"	"Untrustworthy"	1.46654367295559	1	"images/B1f01.jpg"	9
112.162734510028	2	"Feedback"	"Untrustworthy"	1.46654367295559	1	"images/B1f01.jpg"	9
118.172698590322	1.46706477471162	"Decision"	"Trustworthy"	1.46706477471162	2	"images/A1f01.jpg"	12
119.653443424613	4.53293522528838	"Response"	"Trustworthy"	1.46706477471162	2	"images/A1f01.jpg"	12
124.186162472237	2	"Thinking"	"Trustworthy"	1.46706477471162	2	"images/A1f01.jpg"	12
126.189129225211	2	"Feedback"	"Trustworthy"	1.46706477471162	2	"images/A1f01.jpg"	12
140.190652708407	1.75001507555135	"Decision"	"Neutral"	1.75001507555135	2	"images/C1f01.jpg"	12
141.953680537292	4.24998492444865	"Response"	"Neutral"	1.75001507555135	2	"images/C1f01.jpg"	12
146.203148911009	2	"Thinking"	"Neutral"	1.75001507555135	2	"images/C1f01.jpg"	12
148.205865922035	2	"Feedback"	"Neutral"	1.75001507555135	2	"images/C1f01.jpg"	12
156.206613441464	1.16695452423301	"Decision"	"Untrustworthy"	1.16695452423301	1	"images/B1f01.jpg"	9
157.387705411296	8.83304547576699	"Response"	"Untrustworthy"	1.16695452423301	1	"images/B1f01.jpg"	9
166.220712202718	2	"Thinking"	"Untrustworthy"	1.16695452423301	1	"images/B1f01.jpg"	9
166.233107143315	2	"Feedback"	"Untrustworthy"	1.16695452423301	1	"images/B1f01.jpg"	9
170.240360470372	1.13361083716154	"Decision"	"Trustworthy"	1.13361083716154	3	"images/A1f01.jpg"	15
171.388079739874	4.86638916283846	"Response"	"Trustworthy"	1.13361083716154	3	"images/A1f01.jpg"	15
176.254318716237	2	"Thinking"	"Trustworthy"	1.13361083716154	3	"images/A1f01.jpg"	15
178.256793380831	2	"Feedback"	"Trustworthy"	1.13361083716154	3	"images/A1f01.jpg"	15
184.257402660325	1.41692351968959	"Decision"	"Neutral"	1.41692351968959	2	"images/C1f01.jpg"	12
185.688431199174	4.58307648031041	"Response"	"Neutral"	1.41692351968959	2	"images/C1f01.jpg"	12
190.271232906263	2	"Thinking"	"Neutral"	1.41692351968959	2	"images/C1f01.jpg"	12
192.274022166152	2	"Feedback"	"Neutral"	1.41692351968959	2	"images/C1f01.jpg"	12
198.274461347959	1.73349569411948	"Decision"	"Neutral"	1.73349569411948	2	"images/C1f01.jpg"	6
200.022010861197	4.26650430588052	"Response"	"Neutral"	1.73349569411948	2	"images/C1f01.jpg"	6
204.288380909478	2	"Thinking"	"Neutral"	1.73349569411948	2	"images/C1f01.jpg"	6
206.291365866899	2	"Feedback"	"Neutral"	1.73349569411948	2	"images/C1f01.jpg"	6
