id,alpha_gain,alpha_loss,beta,decay,-LLH
sub-1009,0.0011064427808133875,0.0013407619908078468,20.0,0.0,57.04044992465387
sub-1021,0.009334875635104316,0.025580696246053955,20.0,0.05389978490495158,30.456762059023173
sub-1035,1.0,0.5354264593376536,0.387557261601423,0.008330844956700625,41.89674265155852
sub-1034,0.09336048673779765,0.19052587841071109,2.336965371160597,0.068829669245163,35.48846031968707
sub-1020,0.004375085717793147,0.05477808365706534,20.0,0.04176633630171348,29.820692275248284
sub-1008,0.0941788906754792,0.9877083386314247,0.5365313714114592,0.0,41.593115470027286
sub-1036,0.8545419656238448,0.14524123574421005,0.9543890984157302,0.07109621675675733,32.23711317225698
sub-1022,0.0015989532787673768,0.01585446524178147,20.0,0.07447616571375196,49.649356994325544
sub-1023,0.002586750324932958,0.012722551793192486,20.0,0.012843394852414753,44.35396900688847
sub-1037,0.05888057826731806,0.0549789223399676,20.0,0.6181539912814898,42.28743382594643
sub-1033,0.0031846257248506825,0.014518528928317644,20.0,0.0,41.86551812089235
sub-1026,7.507327242765368e-05,0.0013357461649367863,20.0,0.0,59.05959580253238
sub-1032,0.0013914159640018686,0.011439892302059915,20.0,0.0,47.35247699714953
sub-1024,0.03751290428463106,0.08975468820340321,20.0,0.0,7.634826911414437
sub-1030,0.00656661655723502,1.0,20.0,0.14579332731069966,27.87826525743326
sub-1018,0.0003240497740707885,0.003501935921591627,20.0,0.0,54.18354483459939
sub-1019,0.005536756848257479,0.023627309039944547,20.0,0.018483332822399393,27.711633502276978
sub-1025,0.0,0.0025238252249892837,20.0,0.0,56.886720477702035
sub-1028,0.06558781961703067,0.19408422679967371,0.9935649160279911,0.0,41.23238599626885
sub-1014,0.13237592983145582,0.9999999999999932,0.23966669753621178,0.0,55.64568370632101
sub-1015,0.7194354487831571,0.8245381349259902,0.9344612693559156,0.10340967311992258,31.136398223545573
sub-1029,0.3726917578746241,0.6641385719439055,0.5686696062301553,0.0,37.2422471602568
sub-1017,0.00206490393417808,0.020387351550774476,20.0,0.0,27.131419429075084
sub-1016,0.0,1.0,20.0,0.12423382137325607,44.52507192002463
sub-1012,0.009286598520992187,0.010940616726341668,20.0,0.010824933289084295,32.86695142872993
sub-1006,0.0006950144597337764,0.0065602890139791386,20.0,0.014433500497114905,52.26279921183014
sub-1007,0.22135613127005752,0.7868827619517711,0.7565247231331719,0.03130889827110333,35.88244730485772
sub-1013,0.006581708289826206,0.021967508800464247,20.0,0.07965617903002634,43.60148000433037
sub-1005,0.002453538037569494,0.008968057121371005,20.0,0.0,40.14751092176573
sub-1039,0.07065141066224816,0.07848572627313294,4.149350597391715,0.0,27.348670900342817
sub-1038,0.004261102559525921,0.0375691782074807,20.0,0.0,24.27195035693657
sub-1010,0.015053114077928928,0.04541046397967651,9.970248256020056,0.11265793873556856,44.183201317192896
sub-1004,0.3269442488136294,0.3633896214277186,0.6138115372097425,0.03077403225602996,42.16444278375392
