id,alpha_gain,alpha_loss,beta,iProb_trust,iProb_neut,iProb_untrust,-LLH
sub-2013,0.07847549673666876,0.018702002072589097,0.4986176626874278,0.9090289930152823,0.9041515748655677,0.35728798915217086,49.32695926403667
sub-2007,0.1978582612226016,0.14765701042046397,0.27777409075189147,0.8754191302303261,0.8896902780856207,0.08470569762867826,48.71283336830548
sub-2006,0.03715378724007312,0.005527396751651037,0.11882554430518133,0.5461881979246094,0.9289415381019751,0.45688947643100436,59.421743003168054
sub-2012,0.07011881426027915,0.6539251859719056,0.42002652526894796,0.23150522085494407,0.15956707244896282,0.0003483402873451527,47.24847504123397
sub-2004,0.043619018101175654,0.16614899192113688,0.9670927476784145,0.7211987367028373,0.5562433151000931,0.0453641018525915,39.367345286400365
sub-2010,0.012682754538691166,0.24342453626683203,0.05352005609568611,0.40905032683471415,0.15084823331217379,0.0033059885941024254,59.46471292002712
sub-2038,0.00764889333713585,0.0022222792473305347,0.8165262145993523,0.5556158160819438,0.5483190425453967,0.5223464470737326,61.8649552771928
sub-2039,0.27950414050860356,0.9017078464475838,0.5003753316131866,0.9999996993923961,0.06423126002321933,1.5999615919497758e-13,33.21326953773397
sub-2011,0.9788783657860335,0.8165620018353384,0.2543110157289813,1.0,0.18337116853681457,3.188643304165363e-12,50.33475582913489
sub-2005,0.043406677970068364,0.0666304952171004,0.02909441728224027,0.6810901540387123,0.704886630515327,0.11406850792650151,59.49496287667139
sub-2001,0.2226296870081977,0.5635961829345529,0.4705713876220562,0.3388361629958876,0.30718295833342685,0.000323926431396314,45.50564988153259
sub-2002,0.09058677199083842,0.12509743105921733,0.05028662618491597,0.8421502533199807,0.5866693884685458,0.03018749237152285,62.09760485138523
sub-2003,0.027768595686379127,0.20476917419050655,0.43020593817153174,0.5562117856453102,0.34005385880846734,0.10992509915739043,54.22872121131761
sub-2026,0.9922967687238878,0.03875058112634778,0.6727900539580987,1.0,0.9997014950542598,0.9209621989256974,27.60139151988972
sub-2027,0.2941407400127097,0.4566056635640136,0.29091588193551754,0.6690274682428877,0.8387506194488009,0.0,50.34407212636719
sub-2033,0.20027608600715022,0.9842756010685556,0.032570358210074576,0.8945364644819132,0.3672394389784837,0.0031492210728046865,60.85360757682154
sub-2025,0.2372112433446256,0.9474352620606302,0.28763581869020616,0.9516763719590495,0.04807700198352938,6.210288845226276e-28,50.2911031148336
sub-2031,0.006587980251806291,0.5346430120141267,0.09885162532205394,0.1813460535615425,0.03507793393204977,1.4611005042856405e-06,59.709266132124576
sub-2019,0.010218339132760365,0.05112801464667003,0.7147347557266772,0.49333818432388243,0.4722969751053044,0.11938645141563838,48.39215301071172
sub-2018,0.5354377322667614,0.5733735328173521,0.3181845206206255,0.9999999999496418,0.9424587617374,0.2284531058802622,47.058228971047235
sub-2030,0.5138493228214315,0.45639534256479,1.000000013351432e-10,1.0,0.41701136181451065,3.7858198683743925e-10,58.22436316807472
sub-2024,0.12108570259818058,0.5364925791520138,0.3968253279056715,0.9961084189499092,0.5057950501714856,0.005697036570204746,43.45290772624872
sub-2020,0.025760580796396093,0.8359218397504317,0.7063032954276481,0.709747162235912,0.021832231347677478,5.950218218942193e-05,31.825912553097716
sub-2034,0.9171199125772939,0.010625130598789539,0.8676412038690725,0.9991193882236903,0.9999994986568576,0.5723650053579548,16.62423973296996
sub-2021,0.05983038568761398,0.11181719425780225,0.45425124460216654,0.7026047388725557,0.4063025577307181,0.03442581882279423,52.743089240905505
sub-2009,0.003951074561181278,0.39859257214616545,0.09072810154446918,0.03750880825239421,0.018708267291051996,0.0,60.49411956319761
sub-2037,0.23774018443029757,0.8585788128724102,0.2903476107898109,0.13330400625575145,0.10666933178917182,9.417845048064919e-25,48.73244435749419
sub-2023,0.16650665774659648,0.3509092139356142,0.7047423541347733,0.6303788033360608,0.5599356991678565,0.020366001368570946,32.03296432492261
sub-2022,0.002953777350814896,0.6620996537430344,0.0389579497781103,0.027248088410130836,0.016404421075724138,2.5464476642659103e-23,60.66968235661758
sub-2036,0.7127157047801546,0.010051237890021048,0.14478724524195197,0.9999999968233947,0.9991522371856928,0.5748565888474851,60.8205019643602
