id,alpha_gain,alpha_loss,beta,decay,-LLH
sub-2013,0.003972910725471002,0.0026124519684131565,20.0,0.012420489419880974,46.12970334566152
sub-2007,0.28995465185682784,0.20680111604834464,0.30304423841159195,0.0,51.566509425195676
sub-2006,0.00045853469890547887,0.0,17.401729752785776,0.0,60.78246487685878
sub-2012,0.01824259792331514,1.0,0.4164364883361395,0.0,47.261224315140495
sub-2004,0.01038793164146217,0.024891164067934155,20.0,0.06064407728902647,31.37963567797004
sub-2010,0.0,0.0019386825370955357,17.300925996152593,0.15491815913288356,59.457364423664394
sub-2038,0.0035650170782584503,0.007959748782961698,20.0,1.0,61.270477563477726
sub-2039,0.14847381749499935,0.5518335272337858,1.292088447364738,0.04174901964488713,29.24666060608699
sub-2011,0.016794233691834682,0.0607273192135119,20.0,0.6993236916401258,49.78253703921188
sub-2005,0.0002581651528249713,0.0003695815882332479,20.0,0.0,59.32199834422567
sub-2001,0.011053294491639302,0.046594494910643484,20.0,0.12466842102557081,39.57603296274858
sub-2002,0.0,0.011686057144204728,20.0,0.6136585306223836,61.248347452917336
sub-2003,0.0001309076780092278,0.003219564939371515,20.0,0.0,53.40798892035081
sub-2026,1.0,0.0,0.6456942453353535,0.0,35.13576807240952
sub-2027,0.126677911976061,0.13654530749282176,0.5469544059019663,0.0,47.86978196539933
sub-2033,1.0,1.0,0.11831544505594146,1.0,59.95059263910478
sub-2025,0.10203494710084242,0.42368967196243873,0.8003355081345563,0.06753354156410218,47.84928373646847
sub-2031,0.0,0.0005741332729776796,20.0,0.0,60.430755587836714
sub-2019,0.002605192316754587,1.0,20.0,0.5923820281737013,44.521440663028315
sub-2018,0.7490982161790847,0.23091147488267844,0.9693321611392292,0.34055005487007195,41.44733488288557
sub-2030,0.0,0.5246913363041991,0.03771180168449695,0.0,58.07752181175868
sub-2024,0.007872753339607137,0.02864524677657745,11.34917716587323,0.042335130326893,39.24716571778163
sub-2020,0.00245328146229308,0.049962625682937585,20.0,0.0,28.321465151509607
sub-2034,1.0,0.0,20.0,0.0,23.56700413903814
sub-2021,1.0,0.8119825709225055,0.19361628447622375,0.0,54.36462265698452
sub-2009,0.0,0.0025249247569548517,20.0,0.13418633352767387,61.36289184462259
sub-2037,0.11236990016975838,1.0,0.7020374028703675,0.13795567201981176,46.209416288740776
sub-2023,0.007255721006708677,0.01712956325702862,20.0,0.0034095364293897524,31.59988160996081
sub-2022,1.0,0.0,0.07513509167782462,1.0,60.717200286405685
sub-2036,0.7347921427685823,0.0,0.09791093097746234,0.0,61.10688738102748
