"id","alpha","beta","X.LLH"
"sub-2013",0.00309914642882921,20,47.030085439995
"sub-2007",0.212075391425011,0.335990463427331,51.6447949595402
"sub-2006",0,1e-10,60.9969518892751
"sub-2012",0,1e-10,62.383246250395
"sub-2004",0.180936441189415,1.09844286501276,35.077750879308
"sub-2010",1,0.00666741094366839,59.600656961418
"sub-2038",0.000173396682821869,15.208087637127,62.3181817363464
"sub-2039",0.845070346845388,0.478719274101166,34.59272230378
"sub-2011",0.842253947406218,0.242025369950955,51.2622678789658
"sub-2005",0.000463526338404104,13.3975183407182,59.3364489913585
"sub-2001",1,0.280153634758964,44.9799675830195
"sub-2002",0.34717920042321,0.0545029731467938,61.9660382530559
"sub-2003",0.306819529909005,0.0951356615315788,57.5213929991384
"sub-1009",0.00117454189064142,20,57.0899275191056
"sub-1021",0.381606020215127,0.629887058814195,36.1295388141888
"sub-1035",0.641427927959846,0.378433561126932,42.4058192268453
"sub-1034",0.39809240969643,0.641113638629612,37.7013351645772
"sub-1020",0.762741853504842,0.477694189217201,36.3276980244782
"sub-1008",0.0984023192953344,0.503328377230256,57.031764728261
"sub-1036",0.187203521485461,0.759510421439656,41.1166819271121
"sub-1022",0.896118485396186,0.182195610827094,56.3897567603905
"sub-1023",0.629382874818444,0.351629301170921,47.7617013325746
"sub-1037",0.00376521921624934,20,46.6853569002716
"sub-1033",0.754471016829561,0.30198018101903,48.2428068075023
"sub-1026",1,0.0691211755364192,59.9148609272467
"sub-1032",0.562881539495358,0.172496020200676,57.8462657243762
"sub-1024",0.568447338498489,2.16259889079317,10.3002038057713
"sub-1030",1,0.423036458320652,36.4691135808296
"sub-1018",1,0.194356665867229,54.585524132372
"sub-1019",0.600510009759492,0.533389933839822,37.2632391183346
"sub-1025",0,1e-10,60.9969518892751
"sub-1028",0.277183014481679,0.515175846193823,43.7458949725498
"sub-1014",0.105339577998303,0.367532626314082,57.7039802189992
"sub-1015",0.942448979109297,0.473768428595942,33.4934323957204
"sub-1029",0.808730366382601,0.456980126110471,38.1222200289781
"sub-1017",1,0.381868259203673,38.533725711929
"sub-1016",0,1e-10,62.383246250395
"sub-1012",0.00938250139457385,20,33.4583371936239
"sub-1006",0.488661759062714,0.165237178288104,55.7093056718446
"sub-1007",0.684414889959285,0.480683009252546,39.1608388995476
"sub-1013",0.498460057022183,0.386446857614097,47.8364297614555
"sub-1005",0.344763760394572,0.484157315515538,46.5517729285662
"sub-1039",0.152025654971342,2.16517392361967,27.5278822193662
"sub-1038",0.644646450597693,0.584910906231087,36.6986446908986
"sub-1010",0.379008692448939,0.451375640323083,46.650227370303
"sub-1004",0.350083680357318,0.493494439251634,42.4078372476123
"sub-2026",0.60506281416036,0.141198019427992,59.3558234269313
"sub-2027",0.12770140647078,0.549360104302276,47.8775894539757
"sub-2033",0.00499709616820358,0.390662246466124,60.9725247946315
"sub-2025",0.00247674990785064,20,50.7300653577486
"sub-2031",0,1e-10,60.9969518892751
"sub-2019",1,0.182289730354596,53.3087453472883
"sub-2018",0.619296350781864,0.415806029842942,42.3044358614887
"sub-2030",0,1e-10,58.2243631670353
"sub-2024",0.463953965332756,0.427292911039705,43.0608799829056
"sub-2020",1,0.45632739466179,36.8368688296861
"sub-2034",0.00148266750697367,20,53.1631146824358
"sub-2021",0.935232518661294,0.186888598565915,54.4933318119756
"sub-2009",0,1e-10,62.383246250395
"sub-2037",1,0.212072390453141,50.237647087184
"sub-2023",0.48288105648843,0.615720259760915,34.8135971899166
"sub-2022",0,1e-10,60.9969518892751
"sub-2036",0,1e-10,62.383246250395
