"id","agegrp","llh_double","llh_single","llh_baseline","llh_decay","llh_prior","AIC_double","AIC_single","AIC_baseline","AIC_decay","AIC_prior","BIC_double","BIC_single","BIC_baseline","BIC_decay","BIC_prior","AIC_double_weight","AIC_single_weight","AIC_baseline_weight","AIC_decay_weight","AIC_prior_weight","win"
"sub-1004","Younger",42.3921242461408,42.4078372476123,62.383246250395,42.1644427837539,44.6322023306181,91.36961434594,89.101388780939,126.859515756604,93.3288855675078,103.474930977026,96.2042359615925,92.4289994747653,128.57315499056,99.5555355265891,112.104379599858,0.222905105160725,0.692881456418159,4.38112699519354e-09,0.0836892498621779,0.000524184177810927,"single"
"sub-1005","Younger",40.1475109217658,46.5517729285662,62.383246250395,40.1475109217657,41.6044241822139,86.8803876971901,97.3892601428468,126.859515756604,89.2950218435315,97.4193746802173,91.7150093128425,100.716870836673,128.57315499056,95.5216718026127,106.04882330305,0.763726705718918,0.00398993040069711,1.59067195219584e-09,0.228353059303531,0.00393030298618203,"double"
"sub-1006","Younger",52.2927387258674,55.7093056718446,59.6106575281552,52.2627992118301,54.3514675942401,111.170843305393,115.704325629404,121.314338312124,113.52559842366,122.91346150427,116.005464921046,119.03193632323,123.027977546081,119.752248382742,131.542910127102,0.703816120267376,0.07295012345086,0.004413948436126,0.216835623283512,0.00198418456212577,"double"
"sub-1007","Younger",36.2639594602261,39.1608388995476,62.383246250395,35.8824473048577,38.8269750421965,79.1132847741107,82.6073920848095,126.859515756604,80.7648946097154,91.8644764001825,83.9479063897631,85.9350027786358,128.57315499056,86.9915445687967,100.493925023015,0.619627944715697,0.107992907470245,2.65563676328729e-11,0.271324166113978,0.00105498167352355,"double"
"sub-1008","Younger",41.5931154700273,57.031764728261,60.9969518892751,41.5931154700273,38.2893932905578,89.7715967937131,118.349243742236,124.086927034364,92.1862309400546,90.7893128969052,94.6062184093655,121.676854436063,125.800566268321,98.4128808991358,99.4187615197376,0.52626572253048,3.27829397925786e-07,1.86091184294007e-08,0.157352606431757,0.316381324599246,"double"
"sub-1009","Younger",57.0404499247261,57.0899275191056,60.9969518892751,57.0404499246539,57.3159632570168,120.666265703111,118.465569323926,124.086927034364,123.080899849308,128.842452829823,125.500887318763,121.793180017752,125.800566268321,129.307549808389,137.471901452656,0.22213397119798,0.667559725924822,0.0401631539974671,0.0664177008897614,0.00372544798996937,"single"
"sub-1010","Younger",45.405044096998,46.650227370303,62.383246250395,44.1832013171929,46.8798866705349,97.3954540476545,97.5861690263202,126.859515756604,97.3664026343858,107.970299656859,102.230075663307,100.913779720147,128.57315499056,103.593052593467,116.599748279692,0.341444368276155,0.310389286441982,1.3654639748812e-07,0.346440285774698,0.00172592296076692,"decay"
"sub-1012","Younger",32.9045534026631,33.4583371936239,60.9969518892751,32.8669514287299,39.5905747755116,72.3944726589848,71.2023886729622,124.086927034364,74.7339028574599,93.3916758668126,77.2290942746372,74.5299993667885,125.800566268321,80.9605528165411,102.021124489645,0.319958630858752,0.580699668712769,1.90642613944824e-12,0.0993328775727176,8.82285385437765e-06,"single"
"sub-1013","Younger",46.438867974559,47.8364297614555,62.383246250395,43.6014800043304,44.7826339147375,99.4631018027764,99.9585738086252,126.859515756604,96.2029600086607,103.775794145265,104.297723418429,103.286184502452,128.57315499056,102.429609967742,112.405242768097,0.142845899685242,0.111500650136293,1.60624606473629e-07,0.729119266628595,0.0165340229252634,"decay"
"sub-1014","Younger",55.6456837442961,57.7039802189992,62.383246250395,55.645683706321,52.1135982715443,117.876733342251,119.693674723713,126.859515756604,120.291367412642,118.437722858878,122.711354957903,123.021285417539,128.57315499056,126.518017371723,127.06717148171,0.40506269496264,0.163297087863636,0.00453874549111588,0.121113100307216,0.305988371375392,"double"
"sub-1015","Younger",33.4932140479959,33.4934323957204,59.6106575281552,31.1363982235456,36.5551619445279,73.5717939496503,71.2725790771551,121.314338312124,71.2727964470911,87.3208502048452,78.4064155653027,74.6001897709815,123.027977546081,77.4994464061724,95.9502988276776,0.136712923979227,0.431596324841142,5.87013092460681e-12,0.431549419357389,0.00014133181637185,"single"
"sub-1016","Younger",46.5829513613251,62.383246250395,62.383246250395,44.5250719200246,31.2581172792738,99.7512685763087,129.052206786504,126.859515756604,98.0501438400493,76.7267608743372,104.585890191961,132.379817480331,128.57315499056,104.276793799131,85.3562094971696,1.00063838613215e-05,4.34169458080586e-12,1.29955922627996e-11,2.34245740307818e-05,0.999966569024771,"prior"
"sub-1017","Younger",27.1314194290752,38.533725711929,59.6106575281552,27.1314194290751,30.5351187023157,60.8482047118089,81.3531657095722,121.314338312124,63.2628388581502,75.2807637204209,65.6828263274613,84.6807764033986,123.027977546081,69.4894888172314,83.9102123432534,0.769367956319269,2.71355349558847e-05,5.70269325774234e-14,0.230039784179393,0.000565123966325037,"double"
"sub-1018","Younger",54.1835448346053,54.585524132372,62.383246250395,54.1835448345994,55.9755900540978,114.952455522869,113.456762550458,126.859515756604,117.367089669199,126.161706423985,119.787077138522,116.784373244285,128.57315499056,123.59373962828,134.791155046818,0.292592569809204,0.618085984199787,0.00075976278282631,0.0874847087910975,0.00107697441708564,"single"
"sub-1019","Younger",27.9603091806371,37.2632391183346,62.383246250395,27.711633502277,34.5955601771425,62.5059842149328,78.8121925223836,126.859515756604,64.423267004554,83.4016466700744,67.3406058305852,82.1398032162099,128.57315499056,70.6499169636352,92.0310952929068,0.722684186536036,0.0002080177561609,7.6693177583266e-15,0.277086829827504,2.09658802916146e-05,"double"
"sub-1020","Younger",30.7024810252015,36.3276980244782,62.383246250395,29.8206922752483,34.9260141803623,67.9903279040614,76.9411103346707,126.859515756604,68.6413845504966,84.062554676514,72.8249495197139,80.268721028497,128.57315499056,74.8680345095779,92.6920032993464,0.576749478369904,0.00656673515895175,9.49960376972366e-14,0.416497171057819,0.000186615413230372,"double"
"sub-1021","Younger",31.6811395656533,36.1295388141888,62.383246250395,30.4567620590232,37.2466812670905,69.9476449849651,76.5447919140919,126.859515756604,69.9135241180464,88.7038888499704,74.7822666006175,79.8724026079183,128.57315499056,76.1401740771276,97.3333374728029,0.486801078140307,0.0179803970433113,2.13351556678972e-13,0.495177363910171,4.11609059981475e-05,"decay"
"sub-1022","Younger",50.170409895805,56.3897567603905,62.383246250395,49.6493569943255,52.9766160384565,106.926185645269,117.065227806495,126.859515756604,108.298713988651,120.163758392702,111.760807260921,120.392838500322,128.57315499056,114.525363947732,128.793207015535,0.661760465326965,0.00415944883950593,3.10622693637526e-05,0.333165540112751,0.000883483451414469,"double"
"sub-1023","Younger",44.3839638633545,47.7617013325746,62.383246250395,44.3539690068885,42.5333390853534,95.3532935803676,99.8091169508634,126.859515756604,97.7079380137769,99.2772044864962,100.18791519602,103.13672764469,128.57315499056,103.934587972858,107.906653109329,0.642492138731254,0.0692305954718726,9.25504638694797e-08,0.197953541555128,0.0903236316912818,"double"
"sub-1024","Younger",7.63482691141445,10.3002038057713,60.9969518892751,7.63482691141444,21.2455194888613,21.8550196764874,24.8861218972569,124.086927034364,24.2696538228289,56.7015652935121,26.6896412921399,28.2137325910833,125.800566268321,30.4963037819102,65.3310139163446,0.658464177590268,0.14465607222807,4.16059586432081e-23,0.196879732329085,1.78525770283412e-08,"double"
"sub-1025","Younger",56.886720477702,60.9969518892751,60.9969518892751,56.886720477702,55.7057528842187,120.358806809063,126.279618064265,124.086927034364,122.773440955404,125.622032084227,125.193428424715,129.607228758091,125.800566268321,129.000090914485,134.251480707059,0.633793697358739,0.0328291839837674,0.0982645557933945,0.189503298333553,0.0456092645305455,"double"
"sub-1026","Younger",59.0595958025346,59.9148609272467,60.9969518892751,59.0595958025324,59.6437378354622,124.704557458728,124.115436140208,124.086927034364,127.119191605065,133.498001986714,129.53917907438,127.443046834034,125.800566268321,133.345841564146,142.127450609546,0.249024871998937,0.334324954706775,0.339124735558867,0.0744580370673574,0.00306740066806305,"baseline"
