"id","alpha","beta","decay","X.LLH"
"sub-2013",0.00441472721685252,20,0.0322068327886771,46.6862378474707
"sub-2007",0.212075281306338,0.33599059077879,0,51.64479495954
"sub-2006",0,1e-10,1,60.9969518892751
"sub-2012",1,0.149934087771219,0.621076326538575,61.4477337279723
"sub-2004",0.173984388204973,1.22419561630795,0.010162890008182,35.0314796219114
"sub-2010",0,1e-10,0.423580370757632,59.6106575281552
"sub-2011",0.0173950948081862,20,0.620404315778676,50.8549419859028
"sub-2005",0.000438163288627294,19.99999999835,0.0289698891711228,59.3312321202129
"sub-2001",1,0.384471677215847,0.0709578809022511,44.1402175157215
"sub-2002",1,0.0847947183343003,0.285422741488339,61.636159127792
"sub-2003",0.00520897981263637,20,0.380068880876447,55.8845417919602
"sub-1009",0.00117454571960811,20,0,57.0899275190672
"sub-1021",0.379899384934818,0.645450983386324,0.00334231985432015,36.12654425405
"sub-1035",0.574451438188537,0.459761584465227,0.0351960862574538,42.1862114902656
"sub-1034",0.388514640845219,0.724769917378511,0.0163088632661227,37.6153174943188
"sub-1020",0.762741890082313,0.477694156903317,0,36.3276980244781
"sub-1008",0.098409273386189,0.503301459095284,0,57.0317647282354
"sub-1036",0.114885285013008,1.82684742423033,0.0646406301740101,39.9766934446297
"sub-1022",0.89611820089403,0.182195650724545,0,56.3897567603904
"sub-1023",0.629382928177914,0.351629298594632,0,47.7617013325745
"sub-1037",0.0539543130669763,20,0.600897012589592,42.2968863089621
"sub-1033",0.75447105152063,0.301980202326529,0,48.2428068075022
"sub-1026",1,0.0691211912683843,0,59.9148609272466
"sub-1032",0.00917576505046609,20,0.689823595219204,57.7834303821395
"sub-1024",0.568447359472687,2.16259890216666,0,10.3002038057713
"sub-1030",1,0.423036463380301,0,36.4691135808296
"sub-1018",1,0.194356655444735,0,54.5855241323719
"sub-1019",0.60051004740409,0.533389937271494,0,37.2632391183346
"sub-1025",0,1e-10,1,60.9969518892751
"sub-1028",0.277183043792755,0.515175803892467,0,43.7458949725498
"sub-1014",0.105339527797864,0.367532771679617,0,57.7039802189992
"sub-1015",0.780852502630287,0.943264742856198,0.103048392741403,31.1858050195926
"sub-1029",0.808730359783466,0.456980112406824,0,38.1222200289781
"sub-1017",1,0.381868258282353,0,38.533725711929
"sub-1016",0,1e-10,0.847503552338049,62.383246250395
"sub-1012",0.00938250179822188,20,0,33.4583371936238
"sub-1006",0.488661832243583,0.165237173221162,0,55.7093056718446
"sub-1007",0.684414895092511,0.480683021678439,0,39.1608388995476
"sub-1013",0.498460009062242,0.386446879205811,0,47.8364297614554
"sub-1005",0.344763872470202,0.484157294945236,0,46.5517729285661
"sub-1039",0.152025708897594,2.16517301811048,0,27.5278822193661
"sub-1038",0.644646511095627,0.584910881905508,0,36.6986446908986
"sub-1010",0.432514750284677,0.524080423555562,0.0353745694188604,46.5484948257214
"sub-1004",0.347654977492263,0.595335185534949,0.0292554628290216,42.1970148769394
"sub-2019",1,0.190589798820126,0.0104060894114481,53.2990655677118
"sub-2018",0.597852366972391,0.523134136184597,0.0734084231091578,41.8359955913265
"sub-2020",1,0.456327379063103,0,36.8368688296861
"sub-2009",1,0.0537248721970533,1,62.222661304492
