id,alpha_gain,alpha_loss,beta
sub-2013,0.07010388459836803,0.012784410462506002,0.5816874497150263
sub-2007,0.3234211989648289,0.990696778220894,0.7489054328327504
sub-2006,0.044908403446040523,0.1578732216366454,0.33560546004215475
sub-2012,0.0027601687125223817,0.15812615072206515,0.6722712762112661
sub-2004,0.40154333835165623,0.8419922954395431,0.2013634796607442
sub-2010,0.21988899979443843,0.24521767296892216,0.691847341864764
sub-2011,0.9620759855703319,0.7624402385100524,0.8705443913996315
sub-2005,0.13152324719181574,0.34010921374917746,0.13991750706061978
sub-2029,0.5632859396777772,0.11735736971027333,0.6424286078167384
sub-2001,0.16066423133642738,0.15464279063172637,0.8403632707026205
sub-2015,0.3286362825806378,0.22373982811169568,0.8219518495683248
sub-2014,0.7034797589121428,0.7013036389437373,0.8217649842940269
sub-2016,0.4423346730654354,0.149305294071851,0.8884863415691191
sub-2002,0.9619474037963082,0.7711846677539957,0.12113559961691123
sub-2003,0.6509020938193608,0.7856608832260262,0.2971072160751317
sub-1009,0.535145415421722,0.2825546976863321,0.5540861557360065
sub-1021,0.04550753723599066,0.14397105456388848,0.6772437665610719
sub-1035,0.34862493909332415,0.4646815404380298,0.6504355990643697
sub-1034,0.7691847843387813,0.3603501978422895,0.6248852211599387
sub-1020,0.7184091713570946,0.6785130950973917,0.19656556192867458
sub-1008,0.5812187302906463,0.4936172471804453,0.14176410934750505
sub-1036,0.266965736320963,0.6302753099248758,0.9587288554318859
sub-1022,0.08769846587137542,0.29453849133822707,0.5887468009768188
sub-1023,0.21926160845614684,0.570251711318363,0.11190762497999962
sub-1037,0.8894938160326623,0.7189454487585035,0.05212625544240179
sub-1033,0.6519802783345047,0.5070738155031009,0.23167082386298488
sub-1027,0.3233183242859674,0.801154979796906,0.7273669784953801
sub-1026,0.6211954118283298,0.27073928150016213,0.24112167898582448
sub-1032,0.12303106686649823,0.9362359287788053,0.616041008455321
sub-1024,0.4416503540797564,0.06437332781616778,0.018091930094303765
sub-1030,0.7479316740986979,0.5558136723636157,0.13656173297094454
sub-1018,0.9530670914913845,0.47000354717734283,0.2582488388823895
sub-1019,0.8021925156115635,0.24936652580235985,0.3196894902087537
sub-1031,0.7939739751591983,0.429125660080213,0.9980571545210464
sub-1025,0.9963524240619542,0.4234886818423934,0.8945706296633744
sub-1028,0.543636207944913,0.9889239605614566,0.18211194121655128
sub-1014,0.5608461363674417,0.9692320311736186,0.4774220899688856
sub-1015,0.5015189536736855,0.7050911052116808,0.7284541165724546
sub-1029,0.5164516042082854,0.9688427256132813,0.7071010667248031
sub-1017,0.6311664601639367,0.12767762527962345,0.9226637780202365
sub-1016,0.6918817036407995,0.3606060127789362,0.09023410529509635
sub-1012,0.610112044007544,0.1988548687561149,0.9073302750389495
sub-1006,0.24855979211604262,0.634684311437093,0.5642747085451617
sub-1007,0.6186641973592645,0.6426438553393236,0.6801139717495017
sub-1013,0.6468969740342334,0.636172483497519,0.10257318827097484
sub-1005,0.37756257095584744,0.21926767279371828,0.9519854519160035
sub-1039,0.20557053168771489,0.4403331036643692,0.7089995796832099
sub-1038,0.20845076155943498,0.505166852073154,0.17436896599621243
sub-1010,0.36460403844813305,0.7253338151694835,0.5115307497126493
sub-1004,0.37280835706793347,0.030678924913518757,0.2779228840883312
sub-2032,0.8985422342737545,0.9724417200917753,0.4607045120945371
sub-2026,0.14340998948649064,0.8296952967028264,0.16299071795277642
sub-2027,0.15398812539599738,0.8096888876477731,0.7918231253212556
sub-2033,0.9319124799667162,0.5968792541666447,0.20320327896778112
sub-2025,0.3260582858891604,0.9278154690148098,0.06522826412278238
sub-2031,0.7099968168719151,0.8763434318121051,0.7064324340309586
sub-2019,0.33460235262417004,0.8962422950181393,0.5077691592624645
sub-2018,0.5720768638377021,0.015421343755336991,0.9844100501005675
sub-2030,0.665245891077255,0.10568569252495763,0.4205510698296857
sub-2024,0.250372045780458,0.4123616610136135,0.8852298392278899
sub-2008,0.3676632116963391,0.5045598976728164,0.8940261895476485
sub-2020,0.8276819910278861,0.07921225215742356,0.22326136300376942
sub-2034,0.4752483218402511,0.8765088125348511,0.22876444648594263
sub-2021,0.7576152384589139,0.4290010803305293,0.17280756528680086
sub-2009,0.44039647732779386,0.15144690428738894,0.9976894170759749
sub-2037,0.617560650136227,0.8505222310284377,0.19578691768508671
sub-2023,0.9478994294795743,0.38411800295530074,0.8933196594944439
sub-2022,0.3551541802531406,0.8993706423946716,0.7461798254732697
sub-2036,0.5311116515677669,0.6761361423806705,0.40397244309108293
