id,alpha_gain,alpha_loss,beta,iProb_trust,iProb_neut,iProb_untrust,-LLH
sub-1009,0.8864954677462004,0.012510629685682546,0.12611320187600564,0.9874713047634087,0.9871534476241418,1.2745854639053377e-05,57.3159632570168
sub-1021,0.13903247785196216,0.3378820527642189,0.5321915834415343,0.9963358562662548,0.5225943490648439,0.020591497453232993,37.24668126709047
sub-1035,0.2786225912968613,0.4230779324252665,0.3793282389690752,0.6922577219845925,0.9837578781192334,1.0561083509599723e-15,42.03507623278271
sub-1034,0.2988906316724639,0.6639745162223546,0.4341642787393383,0.986609143099041,0.7664897265214689,2.0870507265606433e-09,40.79997904452008
sub-1020,0.2931837552914453,0.7481333998930694,0.48597216505051094,0.9999999993206862,0.06251211780994226,3.37201223544806e-14,34.92601418036226
sub-1008,0.03617856771507103,0.21205224508841392,0.8541945116626952,0.5535569068998795,0.42978446080946797,3.344102195925455e-06,38.28939329055784
sub-1036,0.9474377736866676,0.041536490248669844,0.6882144828384955,0.9978167495992876,0.9978161544616371,0.3088469419774437,32.51903069614995
sub-1022,0.04776690365859304,0.6738845589683982,0.2496168944787105,0.8222889953489309,0.04205254809385467,6.307044820581085e-07,52.97661603845649
sub-1023,0.238193713244427,0.5683302659833184,0.42974932827447854,0.999999999995088,0.10680163953125349,0.008495307806151464,42.53333908535336
sub-1037,0.9827158955709502,0.5794743669872895,0.25319158166929195,1.0,0.4145242553747609,0.012924323045498252,50.14649732245712
sub-1033,0.17643789569334592,0.5478393422049187,0.5099205387787956,0.4314330833647222,0.25472483754733866,0.0,43.281903012055494
sub-1026,0.033788811063598656,0.20504958092215025,0.13757495038469933,0.5827079725364174,0.4283760345063814,0.003709115171230047,59.64373783546225
sub-1032,0.01410468771487117,0.060264123843112,0.7618586062400751,0.6346637827446979,0.26492521496397436,0.06760889469823851,44.547092011166406
sub-1024,0.5561372414611008,0.657757226341818,0.9523429068503944,0.9999999999996649,0.23452425895568124,0.11022358161899776,21.24551948886133
sub-1030,0.4868978847406313,1.0,0.3977916536951992,0.9999999999998893,0.0,0.0,37.67064174127797
sub-1018,0.9034194567188776,0.8134504523200835,0.19766849743799617,0.18513406488980944,0.03447822524744479,3.0697329488400655e-14,55.97559005409783
sub-1019,0.24757441338925937,0.644068814640807,0.5682438534750738,0.35162909691825495,0.027718778891411118,1.7223729416116907e-09,34.59556017714245
sub-1025,0.003920515380227085,0.12592469175039178,0.25478998870723857,0.3275999466041175,0.08285019942550131,0.13017122142053839,55.7057528842187
sub-1028,0.08400119962735253,0.20118701185479793,0.6090706183205199,0.9562354699981549,0.4434818118853604,0.13059758302198943,47.81280068099186
sub-1014,0.1701762414514273,1.0,0.2962837685904001,0.0,0.1701762414514273,0.0,52.11359827154427
sub-1015,0.9492160598018862,0.7481356243877747,0.40394250722871616,0.9999020150182076,0.06342748811926704,1.3118703089965718e-11,36.55516194452786
sub-1029,0.04925827541694616,0.07360957362602416,0.8074423131423974,0.8682975856207954,0.23475829871067344,0.1958757761331431,37.114876645708335
sub-1017,0.059290317021412076,0.34089331706298653,0.755027429611487,0.5173065216939364,0.11361183398187033,0.039107785063422745,30.535118702315735
sub-1016,0.11307794863303547,0.8864210196823117,0.6802876447615069,0.0546523711577423,0.026613011074976073,0.0,31.25811727927384
sub-1012,0.1150801291222457,0.15027001425071174,0.5472888120973249,0.9967408980386394,0.42673571414024625,0.08403372217476546,39.59057477551158
sub-1006,0.1913028371636974,0.833786133372314,0.21680044211896032,0.1552292950054993,0.13733631875376773,1.9003831054391384e-13,54.351467594240056
sub-1007,0.38733178939230856,0.7994410011458104,0.41361250393681764,1.0,0.020097621664832296,6.3616043563717055e-06,38.826975042196516
sub-1013,0.33006660020916234,0.7567532952773803,0.39466734256874747,0.17873589617751495,0.21083120859149962,4.7114047915796345e-08,44.78263391473754
sub-1005,0.1551861572567211,0.4365059559551531,0.47114014084494793,0.5389666794708333,0.20857714794427848,0.00046485043848844417,41.6044241822139
sub-1039,0.2264012793312191,0.23521557473126167,0.7988086639572441,0.8141288529221289,0.5567675122438048,0.06641579821081213,30.577051567916573
sub-1038,0.03490204486352275,0.19957314403149864,0.9922198107970455,0.8147777645665161,0.19185262764395034,0.003679877697195606,27.40457975790753
sub-1010,0.3287399973856155,0.6629193657159086,0.3231562657583315,0.999999975558007,0.05794407766380773,0.0,46.87988667053489
sub-1004,0.5832390336978166,0.7189384393807613,0.3749755111704868,0.2749649565435859,0.2799979623839556,1.7245975084575634e-14,44.63220233061807
