Subject,alpha,beta,decay,llh
1.0,1.0,15.264407379574479,0.0,2.772588722239781
2.0,1.0,0.592768315010546,0.0,6.8582866335951245
3.0,1.0,0.3984998921845835,0.0,8.30945163800575
4.0,1.0,13.963240074167771,0.0,2.772588722239781
5.0,1.0,9.87546515010414,0.0,4.158883083360351
6.0,1.0,14.846365731319944,0.0,4.1588830833596715
7.0,0.044646427621004535,20.0,1.0,8.648273523264379
8.0,1.0,20.0,0.0,4.1588830833596715
9.0,1.0,4.6681897694578645,0.0,8.317767822195778
10.0,1.0,14.768901731943215,0.0,4.1588830833596715
11.0,0.7606873538158514,9.902978252798418,0.37837713949894913,8.317766167025763
12.0,0.6868314662435429,0.37545380474807516,0.9869295857894262,10.19565401904086
13.0,0.0,1e-10,0.24560132757997816,11.090354888959125
14.0,1.0,14.85764710687387,0.0,4.1588830833596715
15.0,0.04898083579757064,20.0,0.0,7.316296791328242
16.0,1.0,9.33244667742154,0.0,4.15888308336314
17.0,1.0,20.0,0.0,6.931471805599453
18.0,1.0,17.357675256326953,0.0,2.772588722239781
19.0,1.0,0.33733369334158214,0.0,9.30576030726035
20.0,1.0,11.864211140249992,0.0,4.158883083359674
21.0,0.030880003179707214,20.0,0.0,7.695501335304848
22.0,0.0036881693872716998,20.0,0.34420052487295777,10.992143911594468
23.0,1.0,20.0,0.0,6.931471805599453
24.0,0.926691238815973,20.0,0.0,6.931471805599453
25.0,0.090802245809967,20.0,0.0,6.847481621376331
26.0,1.0,11.669125960455426,0.0,4.158883083359676
27.0,1.0,16.498776776900584,0.0,4.1588830833596715
28.0,0.0514456993651734,20.0,0.0,7.2618439144253175
29.0,1.0,12.585159925070899,0.0,4.1588830833596715
30.0,1.0,6.813655177877854,1.0,8.317766169371698
31.0,0.023291200262343506,20.0,0.0,7.898064625481114
32.0,1.0,12.401071771128557,0.0,4.1588830833596715
33.0,0.3498404351340053,0.8208455798911113,0.0,9.326898739582363
34.0,1.0,11.465793392204148,0.0,5.545177444479566
35.0,0.0216934959660979,20.0,0.26425029237752057,9.960229907893945
36.0,0.92538467552446,11.577251584067511,0.0,6.931471805599488
37.0,1.0,11.914762436743048,0.0,4.158883083359672
38.0,1.0,8.823652464980563,0.0,6.931471805609024
39.0,1.0,15.38289763671631,0.0,4.1588830833596715
40.0,0.9572867055839281,15.707220156998925,0.0,4.1588830833596715
41.0,1.0,6.912622834070849,0.0,6.931471808555963
42.0,1.0,11.145583216772652,0.0,6.931471805599461
43.0,0.8294693325194283,0.7035852011136408,0.0,6.828185456401752
44.0,1.0,12.146300006981312,0.0,4.1588830833596715
45.0,1.0,0.13987253872112604,0.0,10.68080470201527
46.0,1.0,15.133148535327027,0.0,4.1588830833596715
47.0,1.0,19.141264314836707,0.0,2.772588722239781
48.0,1.0,5.624316137503911,1.0,8.31776626073531
49.0,1.0,7.016847829753232,0.0,6.9314718077621045
50.0,1.0,8.562353067957007,0.0,5.545177444507508
51.0,1.0,10.51300298978628,0.0,6.931471805599514
52.0,1.0,20.0,0.0,4.1588830833596715
53.0,1.0,9.470535523726994,0.0,5.5451774444813955
54.0,0.800721426348333,12.98822062160672,0.49626265426439675,6.039174813788649
55.0,1.0,14.872555507711446,0.0,4.1588830833596715
56.0,1.0,16.5208133146711,0.0,5.545177444479562
57.0,1.0,18.35556567104626,0.0,4.1588830833596715
58.0,0.8944348117632375,16.556572155327437,0.0,5.545177444479562
59.0,1.0,9.942192910414,0.0,5.545177444480007
60.0,0.9568908081994676,10.881659347268124,0.11174100210027582,6.931471805606016
61.0,1.0,14.815541718377515,0.0,4.1588830833596715
62.0,1.0,12.908853703469852,0.0,5.545177444479562
63.0,1.0,5.541414394952199,0.10077223740599384,8.31776654891487
64.0,0.013636306634482965,20.0,0.0,9.004697519082189
65.0,1.0,13.639611833284237,0.033548191059812216,4.1588830833596715
66.0,1.0,15.688125269350829,0.0,8.317766166719343
67.0,1.0,8.092492548685561,0.0,5.545177444593977
68.0,1.0,9.475400225472923,0.0,5.545177444481368
69.0,1.0,7.121575988291202,0.0,5.54517744658565
70.0,1.0,14.1160983838221,0.0,4.1588830833596715
71.0,1.0,17.17542136895284,0.0,4.1588830833596715
72.0,1.0,9.357522687363069,0.0,5.5451774444821345
73.0,1.0,11.003276376968913,0.0,4.158883083359694
74.0,1.0,20.0,0.0,4.1588830833596715
75.0,1.0,12.04588156509067,0.0,4.158883083359672
76.0,0.11133974658230647,4.295201898794829,0.35881914420112837,8.052687511145624
77.0,1.0,13.547706806197791,0.0,4.1588830833596715
78.0,1.0,12.699263835620474,0.0,4.1588830833596715
79.0,1.0,10.816496505939947,0.0,5.545177444479594
80.0,1.0,15.609678373429823,0.0,5.545177444479562
81.0,1.0,11.217894018807538,0.0,5.545177444479573
82.0,0.6775167805883374,0.42384925887359726,0.0,9.326898739582363
83.0,0.7504851294019844,1.2673601800955823,0.18790365811079332,6.6949842563737745
84.0,1.0,17.13283589537567,0.0,5.545177444479562
85.0,1.0,9.284201489319639,0.0,6.9314718056018565
86.0,1.0,20.0,0.0,4.1588830833596715
87.0,1.0,20.0,0.9147473158518045,9.5056007513327
88.0,1.0,13.025016685414267,0.0,4.1588830833596715
89.0,0.87926325628328,7.391496045079553,0.0,6.931471815822713
90.0,1.0,12.950796479441266,0.0,5.545177444479562
91.0,0.7617007044589909,15.962538871967185,0.6724994879829322,6.8290844498654835
92.0,1.0,9.719131699028082,0.0,5.545177444480433
93.0,0.0076839690287700095,20.0,0.0,10.451118809359054
94.0,1.0,17.643736133404907,0.0,4.1588830833596715
95.0,1.0,0.20618104661820108,0.0,10.061935667848717
96.0,1.0,14.932458026032702,0.0,5.545177444479562
97.0,0.006739592874247308,20.0,0.0,10.793036257467424
98.0,1.0,18.275874507149478,0.0,5.545177444479562
99.0,1.0,15.893856473054816,0.0,4.1588830833596715
100.0,1.0,8.742307026490165,0.0,4.158883083380032
101.0,1.0,0.0813418837499451,0.0,10.908859088144593
102.0,1.0,20.0,0.0,4.1588830833596715
103.0,0.7757104268737092,0.18031540275579158,0.0,10.68080470201527
104.0,0.8714648599193355,20.0,0.7625090347112259,5.572907522957842
105.0,1.0,12.019882368270272,0.0,4.1588830833596715
106.0,1.0,12.579399888980795,0.0,4.1588830833596715
107.0,1.0,11.276370973748598,0.0,5.545177444479569
108.0,1.0,10.54244905587083,0.0,4.158883083359765
109.0,1.0,0.3373337000461835,0.0,9.305760307260352
110.0,1.0,6.108256408255432,0.0,8.317766188732577
111.0,0.8956723560183394,5.8141420012133525,0.0,6.931472297944317
112.0,0.00904739453739135,20.0,0.05026818899720609,9.54570430703835
113.0,0.058322905247531726,20.0,0.0,7.140579222728222
114.0,1.0,15.830256572135342,0.0,4.1588830833596715
115.0,1.0,12.251189703505265,0.0,4.158883083359672
116.0,1.0,13.70301152317554,0.0,5.545177444479562
117.0,1.0,20.0,0.0,5.545177444479562
118.0,1.0,10.903693703315202,0.0,4.158883083359703
119.0,1.0,9.748344976498325,0.0,4.158883083360668
120.0,1.0,14.131883483060497,0.0,4.1588830833596715
121.0,1.0,14.148192104480568,0.0,4.1588830833596715
122.0,1.0,2.906197218531078,0.38577346208347685,6.390170566860569
123.0,1.0,9.071737424510458,0.0,4.158883083367248
124.0,1.0,8.167552180379015,0.0,5.54517744457091
125.0,1.0,0.5291336550137833,0.0,8.040500587944445
126.0,1.0,10.349663483898542,0.0,5.545177444479694
127.0,1.0,11.022889844954644,0.0,2.772588722239808
128.0,1.0,11.694202875972916,0.0,5.545177444479566
129.0,1.0,15.172573995773472,0.0,4.1588830833596715
130.0,1.0,7.03511176217432,0.0,6.931471807646797
131.0,1.0,9.089779742250478,0.0,5.545177444485307
132.0,1.0,13.893958794937713,0.0,2.772588722239781
133.0,1.0,8.07230956676486,0.0,5.545177444601119
134.0,1.0,8.152878050114083,0.0,6.9314718056710465
135.0,0.022606768580407586,20.0,0.0,6.262754507221689
136.0,0.5884644598123512,0.6182275933664347,0.0,8.096626952609055
137.0,1.0,16.57624284885545,0.0,4.1588830833596715
138.0,0.04151081824083732,20.0,0.0,7.514311358793233
139.0,1.0,14.439608063751988,0.0,4.1588830833596715
140.0,1.0,14.735497841034029,0.0,4.1588830833596715
141.0,1.0,10.82742050731461,0.0,5.545177444479594
142.0,1.0,20.0,0.0,4.1588830833596715
143.0,1.0,16.00288488870178,0.0,4.1588830833596715
144.0,1.0,20.0,0.5752776127585162,5.6974935031626455
145.0,1.0,0.4487379750175677,0.0,9.168119587208304
146.0,1.0,5.691750132678107,0.00710845067767385,8.317766248471518
147.0,1.0,15.569428256436233,0.0,6.931471805599453
148.0,0.6923566296099997,0.1201649226541391,0.0,10.972338038229225
149.0,1.0,17.56411502658399,0.15218210316309655,4.1588830833596715
150.0,1.0,20.0,0.9342487464543433,6.976776066975005
