Subject,alpha,beta,llh
1.0,0.0,1e-10,8.317766166719343
2.0,0.6584327799644226,1e-10,8.317766166719343
3.0,1.0,13.54041165672351,6.931471805599453
4.0,1.0,12.16551977780947,4.1588830833596715
5.0,0.02211250397286919,20.0,6.410967645390733
6.0,0.0,1e-10,8.317766166719343
7.0,0.0,1e-10,8.317766166719343
8.0,0.6945721185111132,0.2013794283570668,8.21537861998338
9.0,0.0,1e-10,8.317766166719343
10.0,0.01995053866091368,20.0,6.156565895834235
11.0,0.14439844128758,0.9686569060958045,8.21537861998338
12.0,0.0,1e-10,8.317766166719343
13.0,0.0,0.32784800864852714,8.317766166719343
14.0,1.0,0.2578734981984929,7.423065296497047
15.0,0.48178954224544085,0.2903187450284923,8.21537861998338
16.0,0.0,1e-10,8.317766166719343
17.0,0.0,1e-10,8.317766166719343
18.0,0.0,1e-10,8.317766166719343
19.0,0.0,1e-10,8.317766166719343
20.0,0.033284911540202064,1.3420553198842478,8.284348414135032
21.0,0.7167115221982396,1e-10,8.317766166719343
22.0,0.0,0.304939014106869,8.317766166719343
23.0,0.9999998990957999,0.1398725489697858,8.010603526511453
24.0,0.004684642410518335,20.0,8.045704101740991
25.0,1.0,0.20618104418560756,7.289346945608937
26.0,0.0,1e-10,8.317766166719343
27.0,0.00798903941764583,20.0,7.774063810320416
28.0,0.002256401796041969,20.0,8.250640326738502
29.0,0.9051318221240693,0.15453279058844513,8.21537861998338
30.0,0.19844873613835257,0.2250969092647389,8.284348414135035
31.0,0.0069398500470451464,20.0,8.114452410703677
32.0,0.0,1e-10,8.317766166719343
33.0,0.0,1e-10,8.317766166719343
34.0,0.0,1e-10,8.317766166719343
35.0,0.0,1e-10,8.317766166719343
36.0,1.0,0.13987253978344263,8.010603526511453
37.0,0.003330542777982296,20.0,7.980765557799671
38.0,0.3503306959272318,0.39925857496186357,8.112991073247416
39.0,0.0,1e-10,8.317766166719343
40.0,0.3117020168909791,1.4396376923030083,6.293143318232562
41.0,1.0,20.0,6.931471805599453
42.0,0.8905392990283849,0.15706499017876735,8.21537861998338
43.0,0.0,1e-10,8.317766166719343
44.0,1.0,0.1398725323671929,8.010603526511453
45.0,0.0,1e-10,8.317766166719343
46.0,0.0,1e-10,8.317766166719343
47.0,0.007764695433931734,20.0,7.673152420588102
48.0,0.0,1e-10,8.317766166719343
49.0,0.8151543025537349,0.4138280248903857,7.4254688758699565
50.0,0.0,1e-10,8.317766166719343
51.0,0.9956195192742899,0.8616668017276304,8.317766166719343
52.0,0.0,1e-10,8.317766166719343
53.0,0.5947453251755298,0.0751080961163177,8.284348414135033
54.0,0.0,1e-10,8.317766166719343
55.0,0.0,1e-10,8.317766166719343
56.0,0.0,1e-10,8.317766166719343
57.0,0.3191719815086865,0.13995649949690028,8.284348414135033
58.0,0.28554012292527076,0.5075544053368953,8.317766166719343
59.0,0.0,1e-10,8.317766166719343
60.0,0.0,1e-10,8.317766166719343
61.0,1.0,0.1398725392756611,7.908215979775488
62.0,0.0,0.49867672739218477,8.317766166719343
63.0,0.0029250387449432464,20.0,8.187753109661095
64.0,0.01599968164394177,20.0,7.4581617716684745
65.0,0.0,1e-10,8.317766166719343
66.0,0.0,1e-10,8.317766166719343
67.0,1.0,0.13987253740340677,8.010603526511453
68.0,0.0,1e-10,8.317766166719343
69.0,0.037232585227378046,20.0,7.17370890656032
70.0,0.0,1e-10,8.317766166719343
71.0,1.0,0.13987253637672137,7.908215979775489
72.0,0.0,1e-10,8.317766166719343
73.0,1.0,20.0,5.545177444479562
74.0,0.0,1e-10,8.317766166719343
75.0,0.0,1e-10,8.317766166719343
76.0,0.0,1e-10,8.317766166719343
77.0,0.0,1e-10,8.317766166719343
78.0,0.0,1e-10,8.317766166719343
79.0,0.0,0.3322919474588206,8.317766166719343
80.0,0.05455998061148027,20.0,5.731536778027034
81.0,0.0013401563290944877,20.0,8.29773654125966
82.0,1.0,0.2578734936900331,7.423065296497046
83.0,0.0,1e-10,8.317766166719343
84.0,0.0,1e-10,8.317766166719343
85.0,0.0,0.5113225083135848,8.317766166719343
86.0,0.0,1e-10,8.317766166719343
87.0,0.0,1e-10,8.317766166719343
88.0,0.0,1e-10,8.317766166719343
89.0,0.11335969317058073,0.3940571264863699,8.284348414135033
90.0,1.0,0.13987254025105714,7.908215979775488
91.0,0.0,1e-10,8.317766166719343
92.0,0.013729474912278869,20.0,5.806344994370645
93.0,0.0,1e-10,8.317766166719343
94.0,0.0865734620188284,20.0,6.835133427058553
95.0,0.002230412709644324,20.0,8.251395288203808
96.0,0.0,1e-10,8.317766166719343
97.0,0.0,0.012708581832497403,8.317766166719343
98.0,0.8387998947758569,0.3628214562782279,8.317766166719343
99.0,0.0,1e-10,8.317766166719343
100.0,1.0,6.530802767150608,6.931471808697766
101.0,0.0,1e-10,8.317766166719343
102.0,1.0,20.0,5.545177444479562
103.0,0.0022278179085795297,20.0,8.251544197108895
104.0,0.0,1e-10,8.317766166719343
105.0,0.0,1e-10,8.317766166719343
106.0,0.0,1e-10,8.317766166719343
107.0,0.07360692113801813,0.6068749159539909,8.284348414135032
108.0,0.24167646194610903,0.5787594849410903,8.010603526511451
109.0,0.0,1e-10,8.317766166719343
110.0,1.0,8.585475668465582,4.1588830833792265
111.0,0.0,1e-10,8.317766166719343
112.0,0.0,1e-10,8.317766166719343
113.0,0.0,1e-10,8.317766166719343
114.0,0.01995053993382056,20.0,6.156565895834212
115.0,0.0,0.28288018790686836,8.317766166719343
116.0,0.0,1e-10,8.317766166719343
117.0,0.0,1e-10,8.317766166719343
118.0,0.23900948877356243,0.5852175083269034,8.010603526511451
119.0,1.0,0.13987253469413663,8.010603526511453
120.0,0.1804582717482578,0.7750963117221453,8.215378619983378
121.0,0.0,1e-10,8.317766166719343
122.0,0.882168384812501,0.15855538297522812,8.21537861998338
123.0,1.0,4.4345285064343,6.931473474100877
124.0,0.004722376155798649,20.0,8.043711970480144
125.0,0.0,1e-10,8.317766166719343
126.0,0.0,0.7962836836864181,8.317766166719343
127.0,1.0,0.044670189628268846,8.284348414135035
128.0,0.01208451634984039,20.0,7.087126222396147
129.0,0.2975636351396066,0.47005923852068454,8.112991073247416
130.0,0.26310828690017474,1.282109723346801,7.425468875869955
131.0,0.9408991111750213,0.14865838824027652,8.21537861998338
132.0,0.6048935196961068,0.1294769646916304,8.317766166719343
133.0,0.012084516771479049,20.0,7.087126222396173
134.0,0.0,1e-10,8.317766166719343
135.0,0.0,1e-10,8.317766166719343
136.0,0.0,1e-10,8.317766166719343
137.0,1.0,0.13987253427054439,8.010603526511453
138.0,0.0042244735623282684,20.0,8.133455026720544
139.0,0.0,1e-10,8.317766166719343
140.0,0.0,1e-10,8.317766166719343
141.0,1.0,4.439269496246809,6.931473450537779
142.0,1.0,0.1398725379335708,8.010603526511453
143.0,0.3604442189075121,0.7154324675200399,7.423065296497046
144.0,0.0,1e-10,8.317766166719343
145.0,0.6025301606846364,0.5598619191019018,7.4254688758699565
146.0,0.8870327844845532,11.4725369125408,4.158883083359838
147.0,0.012084516116661583,20.0,7.087126222396154
148.0,0.0,0.7643134736063972,8.317766166719343
149.0,0.0,1e-10,8.317766166719343
150.0,0.0009570627139625721,20.0,8.289168566547406
