Trial,Stim_Sequence,Choice,Trustee_Response,Subject,Alpha,Beta,Decay
20,1,2,1,3,0.3951617551207281,0.3296574382444511,0.2782597652185142
21,0,4,1,3,0.3951617551207281,0.3296574382444511,0.2782597652185142
22,2,1,0,3,0.3951617551207281,0.3296574382444511,0.2782597652185142
23,0,4,1,3,0.3951617551207281,0.3296574382444511,0.2782597652185142
24,2,3,0,3,0.3951617551207281,0.3296574382444511,0.2782597652185142
25,1,4,0,3,0.3951617551207281,0.3296574382444511,0.2782597652185142
26,1,1,1,3,0.3951617551207281,0.3296574382444511,0.2782597652185142
27,1,4,1,3,0.3951617551207281,0.3296574382444511,0.2782597652185142
28,0,1,1,3,0.3951617551207281,0.3296574382444511,0.2782597652185142
29,1,1,1,3,0.3951617551207281,0.3296574382444511,0.2782597652185142
30,0,4,1,3,0.3951617551207281,0.3296574382444511,0.2782597652185142
31,2,4,1,3,0.3951617551207281,0.3296574382444511,0.2782597652185142
32,1,2,1,3,0.3951617551207281,0.3296574382444511,0.2782597652185142
33,2,4,0,3,0.3951617551207281,0.3296574382444511,0.2782597652185142
34,0,4,1,3,0.3951617551207281,0.3296574382444511,0.2782597652185142
35,0,3,1,3,0.3951617551207281,0.3296574382444511,0.2782597652185142
36,1,2,0,3,0.3951617551207281,0.3296574382444511,0.2782597652185142
37,1,2,1,3,0.3951617551207281,0.3296574382444511,0.2782597652185142
38,1,2,0,3,0.3951617551207281,0.3296574382444511,0.2782597652185142
39,1,1,0,3,0.3951617551207281,0.3296574382444511,0.2782597652185142
40,0,4,1,3,0.3951617551207281,0.3296574382444511,0.2782597652185142
41,2,4,0,3,0.3951617551207281,0.3296574382444511,0.2782597652185142
42,1,3,0,3,0.3951617551207281,0.3296574382444511,0.2782597652185142
43,0,3,1,3,0.3951617551207281,0.3296574382444511,0.2782597652185142
44,2,1,1,3,0.3951617551207281,0.3296574382444511,0.2782597652185142
45,1,1,0,3,0.3951617551207281,0.3296574382444511,0.2782597652185142
1,0,2,1,4,0.5098521456403643,17.912083539733185,0.2132127108083085
2,0,4,1,4,0.5098521456403643,17.912083539733185,0.2132127108083085
3,2,3,0,4,0.5098521456403643,17.912083539733185,0.2132127108083085
4,1,3,1,4,0.5098521456403643,17.912083539733185,0.2132127108083085
5,0,4,1,4,0.5098521456403643,17.912083539733185,0.2132127108083085
6,1,4,1,4,0.5098521456403643,17.912083539733185,0.2132127108083085
7,1,4,1,4,0.5098521456403643,17.912083539733185,0.2132127108083085
8,1,4,0,4,0.5098521456403643,17.912083539733185,0.2132127108083085
9,0,4,1,4,0.5098521456403643,17.912083539733185,0.2132127108083085
10,0,4,1,4,0.5098521456403643,17.912083539733185,0.2132127108083085
11,0,4,1,4,0.5098521456403643,17.912083539733185,0.2132127108083085
12,1,1,0,4,0.5098521456403643,17.912083539733185,0.2132127108083085
13,0,4,1,4,0.5098521456403643,17.912083539733185,0.2132127108083085
14,0,4,0,4,0.5098521456403643,17.912083539733185,0.2132127108083085
15,2,1,0,4,0.5098521456403643,17.912083539733185,0.2132127108083085
16,2,1,0,4,0.5098521456403643,17.912083539733185,0.2132127108083085
17,1,3,0,4,0.5098521456403643,17.912083539733185,0.2132127108083085
18,1,1,1,4,0.5098521456403643,17.912083539733185,0.2132127108083085
19,0,1,1,4,0.5098521456403643,17.912083539733185,0.2132127108083085
20,2,1,0,4,0.5098521456403643,17.912083539733185,0.2132127108083085
21,2,3,0,4,0.5098521456403643,17.912083539733185,0.2132127108083085
22,2,1,0,4,0.5098521456403643,17.912083539733185,0.2132127108083085
23,1,1,1,4,0.5098521456403643,17.912083539733185,0.2132127108083085
24,2,1,0,4,0.5098521456403643,17.912083539733185,0.2132127108083085
25,0,2,1,4,0.5098521456403643,17.912083539733185,0.2132127108083085
26,1,1,1,4,0.5098521456403643,17.912083539733185,0.2132127108083085
27,0,4,1,4,0.5098521456403643,17.912083539733185,0.2132127108083085
28,2,1,0,4,0.5098521456403643,17.912083539733185,0.2132127108083085
29,1,2,0,4,0.5098521456403643,17.912083539733185,0.2132127108083085
30,2,1,0,4,0.5098521456403643,17.912083539733185,0.2132127108083085
31,1,1,0,4,0.5098521456403643,17.912083539733185,0.2132127108083085
32,0,4,1,4,0.5098521456403643,17.912083539733185,0.2132127108083085
33,2,3,0,4,0.5098521456403643,17.912083539733185,0.2132127108083085
34,2,1,0,4,0.5098521456403643,17.912083539733185,0.2132127108083085
35,2,1,0,4,0.5098521456403643,17.912083539733185,0.2132127108083085
36,0,4,1,4,0.5098521456403643,17.912083539733185,0.2132127108083085
37,2,1,0,4,0.5098521456403643,17.912083539733185,0.2132127108083085
38,1,1,0,4,0.5098521456403643,17.912083539733185,0.2132127108083085
39,2,1,0,4,0.5098521456403643,17.912083539733185,0.2132127108083085
40,0,4,1,4,0.5098521456403643,17.912083539733185,0.2132127108083085
41,1,1,1,4,0.5098521456403643,17.912083539733185,0.2132127108083085
42,2,1,0,4,0.5098521456403643,17.912083539733185,0.2132127108083085
43,1,2,0,4,0.5098521456403643,17.912083539733185,0.2132127108083085
44,0,4,1,4,0.5098521456403643,17.912083539733185,0.2132127108083085
45,1,1,0,4,0.5098521456403643,17.912083539733185,0.2132127108083085
1,0,4,1,5,0.17870567490316136,2.949279792866531,0.20584376833202522
2,2,1,1,5,0.17870567490316136,2.949279792866531,0.20584376833202522
3,1,3,1,5,0.17870567490316136,2.949279792866531,0.20584376833202522
4,1,3,0,5,0.17870567490316136,2.949279792866531,0.20584376833202522
5,0,2,1,5,0.17870567490316136,2.949279792866531,0.20584376833202522
6,0,4,1,5,0.17870567490316136,2.949279792866531,0.20584376833202522
7,1,2,0,5,0.17870567490316136,2.949279792866531,0.20584376833202522
8,0,4,1,5,0.17870567490316136,2.949279792866531,0.20584376833202522
9,1,1,1,5,0.17870567490316136,2.949279792866531,0.20584376833202522
10,1,1,1,5,0.17870567490316136,2.949279792866531,0.20584376833202522
11,2,4,0,5,0.17870567490316136,2.949279792866531,0.20584376833202522
12,2,1,0,5,0.17870567490316136,2.949279792866531,0.20584376833202522
13,1,2,0,5,0.17870567490316136,2.949279792866531,0.20584376833202522
14,1,1,1,5,0.17870567490316136,2.949279792866531,0.20584376833202522
15,2,1,0,5,0.17870567490316136,2.949279792866531,0.20584376833202522
16,2,3,0,5,0.17870567490316136,2.949279792866531,0.20584376833202522
17,2,1,0,5,0.17870567490316136,2.949279792866531,0.20584376833202522
18,0,3,1,5,0.17870567490316136,2.949279792866531,0.20584376833202522
19,1,1,1,5,0.17870567490316136,2.949279792866531,0.20584376833202522
20,0,4,1,5,0.17870567490316136,2.949279792866531,0.20584376833202522
21,2,3,0,5,0.17870567490316136,2.949279792866531,0.20584376833202522
22,0,4,1,5,0.17870567490316136,2.949279792866531,0.20584376833202522
23,0,4,1,5,0.17870567490316136,2.949279792866531,0.20584376833202522
24,1,3,0,5,0.17870567490316136,2.949279792866531,0.20584376833202522
25,0,4,1,5,0.17870567490316136,2.949279792866531,0.20584376833202522
26,2,1,0,5,0.17870567490316136,2.949279792866531,0.20584376833202522
27,2,2,0,5,0.17870567490316136,2.949279792866531,0.20584376833202522
28,1,1,0,5,0.17870567490316136,2.949279792866531,0.20584376833202522
29,0,4,1,5,0.17870567490316136,2.949279792866531,0.20584376833202522
30,1,1,1,5,0.17870567490316136,2.949279792866531,0.20584376833202522
31,2,1,0,5,0.17870567490316136,2.949279792866531,0.20584376833202522
32,0,4,1,5,0.17870567490316136,2.949279792866531,0.20584376833202522
33,0,4,1,5,0.17870567490316136,2.949279792866531,0.20584376833202522
34,2,1,0,5,0.17870567490316136,2.949279792866531,0.20584376833202522
35,1,2,1,5,0.17870567490316136,2.949279792866531,0.20584376833202522
36,2,3,0,5,0.17870567490316136,2.949279792866531,0.20584376833202522
37,2,1,0,5,0.17870567490316136,2.949279792866531,0.20584376833202522
38,2,1,0,5,0.17870567490316136,2.949279792866531,0.20584376833202522
39,0,4,1,5,0.17870567490316136,2.949279792866531,0.20584376833202522
40,0,4,1,5,0.17870567490316136,2.949279792866531,0.20584376833202522
41,2,3,0,5,0.17870567490316136,2.949279792866531,0.20584376833202522
42,1,3,1,5,0.17870567490316136,2.949279792866531,0.20584376833202522
43,1,4,1,5,0.17870567490316136,2.949279792866531,0.20584376833202522
44,0,4,1,5,0.17870567490316136,2.949279792866531,0.20584376833202522
45,1,4,1,5,0.17870567490316136,2.949279792866531,0.20584376833202522
1,2,4,0,6,0.434496449691979,8.172418154339079,0.13178953362187035
2,1,4,1,6,0.434496449691979,8.172418154339079,0.13178953362187035
3,0,1,1,6,0.434496449691979,8.172418154339079,0.13178953362187035
4,1,4,1,6,0.434496449691979,8.172418154339079,0.13178953362187035
5,2,1,1,6,0.434496449691979,8.172418154339079,0.13178953362187035
6,1,4,1,6,0.434496449691979,8.172418154339079,0.13178953362187035
7,2,1,0,6,0.434496449691979,8.172418154339079,0.13178953362187035
8,1,4,1,6,0.434496449691979,8.172418154339079,0.13178953362187035
9,2,1,0,6,0.434496449691979,8.172418154339079,0.13178953362187035
10,2,1,0,6,0.434496449691979,8.172418154339079,0.13178953362187035
11,2,1,0,6,0.434496449691979,8.172418154339079,0.13178953362187035
12,1,4,0,6,0.434496449691979,8.172418154339079,0.13178953362187035
13,1,1,0,6,0.434496449691979,8.172418154339079,0.13178953362187035
14,2,1,0,6,0.434496449691979,8.172418154339079,0.13178953362187035
15,0,1,1,6,0.434496449691979,8.172418154339079,0.13178953362187035
16,2,1,0,6,0.434496449691979,8.172418154339079,0.13178953362187035
17,0,1,1,6,0.434496449691979,8.172418154339079,0.13178953362187035
18,0,4,1,6,0.434496449691979,8.172418154339079,0.13178953362187035
19,2,1,0,6,0.434496449691979,8.172418154339079,0.13178953362187035
20,0,4,1,6,0.434496449691979,8.172418154339079,0.13178953362187035
21,1,3,1,6,0.434496449691979,8.172418154339079,0.13178953362187035
22,1,4,1,6,0.434496449691979,8.172418154339079,0.13178953362187035
23,0,4,1,6,0.434496449691979,8.172418154339079,0.13178953362187035
24,2,1,0,6,0.434496449691979,8.172418154339079,0.13178953362187035
25,0,4,1,6,0.434496449691979,8.172418154339079,0.13178953362187035
26,0,4,1,6,0.434496449691979,8.172418154339079,0.13178953362187035
27,1,4,1,6,0.434496449691979,8.172418154339079,0.13178953362187035
28,0,4,0,6,0.434496449691979,8.172418154339079,0.13178953362187035
29,0,1,1,6,0.434496449691979,8.172418154339079,0.13178953362187035
30,1,4,1,6,0.434496449691979,8.172418154339079,0.13178953362187035
31,0,1,1,6,0.434496449691979,8.172418154339079,0.13178953362187035
32,0,3,1,6,0.434496449691979,8.172418154339079,0.13178953362187035
33,1,4,1,6,0.434496449691979,8.172418154339079,0.13178953362187035
34,0,4,1,6,0.434496449691979,8.172418154339079,0.13178953362187035
35,1,4,0,6,0.434496449691979,8.172418154339079,0.13178953362187035
36,0,4,1,6,0.434496449691979,8.172418154339079,0.13178953362187035
37,1,1,1,6,0.434496449691979,8.172418154339079,0.13178953362187035
38,2,2,0,6,0.434496449691979,8.172418154339079,0.13178953362187035
39,2,1,0,6,0.434496449691979,8.172418154339079,0.13178953362187035
40,2,1,1,6,0.434496449691979,8.172418154339079,0.13178953362187035
41,2,1,0,6,0.434496449691979,8.172418154339079,0.13178953362187035
42,1,4,1,6,0.434496449691979,8.172418154339079,0.13178953362187035
43,0,4,1,6,0.434496449691979,8.172418154339079,0.13178953362187035
44,1,4,0,6,0.434496449691979,8.172418154339079,0.13178953362187035
45,2,1,0,6,0.434496449691979,8.172418154339079,0.13178953362187035
1,0,1,1,7,0.9710152726596173,1.926930334768061,0.0
2,0,2,1,7,0.9710152726596173,1.926930334768061,0.0
3,0,4,1,7,0.9710152726596173,1.926930334768061,0.0
4,1,3,0,7,0.9710152726596173,1.926930334768061,0.0
5,0,4,1,7,0.9710152726596173,1.926930334768061,0.0
6,0,4,1,7,0.9710152726596173,1.926930334768061,0.0
7,1,1,0,7,0.9710152726596173,1.926930334768061,0.0
8,2,3,0,7,0.9710152726596173,1.926930334768061,0.0
9,2,1,0,7,0.9710152726596173,1.926930334768061,0.0
10,0,4,1,7,0.9710152726596173,1.926930334768061,0.0
11,2,1,0,7,0.9710152726596173,1.926930334768061,0.0
12,1,1,1,7,0.9710152726596173,1.926930334768061,0.0
13,2,1,0,7,0.9710152726596173,1.926930334768061,0.0
14,2,1,0,7,0.9710152726596173,1.926930334768061,0.0
15,1,1,1,7,0.9710152726596173,1.926930334768061,0.0
16,1,1,1,7,0.9710152726596173,1.926930334768061,0.0
17,0,4,1,7,0.9710152726596173,1.926930334768061,0.0
18,2,1,1,7,0.9710152726596173,1.926930334768061,0.0
19,1,1,1,7,0.9710152726596173,1.926930334768061,0.0
20,1,1,1,7,0.9710152726596173,1.926930334768061,0.0
21,0,4,1,7,0.9710152726596173,1.926930334768061,0.0
22,0,4,1,7,0.9710152726596173,1.926930334768061,0.0
23,2,1,0,7,0.9710152726596173,1.926930334768061,0.0
24,2,1,0,7,0.9710152726596173,1.926930334768061,0.0
25,0,4,1,7,0.9710152726596173,1.926930334768061,0.0
26,0,4,1,7,0.9710152726596173,1.926930334768061,0.0
27,2,1,0,7,0.9710152726596173,1.926930334768061,0.0
28,2,1,0,7,0.9710152726596173,1.926930334768061,0.0
29,2,1,0,7,0.9710152726596173,1.926930334768061,0.0
30,1,1,1,7,0.9710152726596173,1.926930334768061,0.0
31,0,4,1,7,0.9710152726596173,1.926930334768061,0.0
32,1,1,0,7,0.9710152726596173,1.926930334768061,0.0
33,0,4,1,7,0.9710152726596173,1.926930334768061,0.0
34,2,1,0,7,0.9710152726596173,1.926930334768061,0.0
35,2,1,0,7,0.9710152726596173,1.926930334768061,0.0
36,1,1,1,7,0.9710152726596173,1.926930334768061,0.0
37,1,1,0,7,0.9710152726596173,1.926930334768061,0.0
38,2,1,0,7,0.9710152726596173,1.926930334768061,0.0
39,1,1,1,7,0.9710152726596173,1.926930334768061,0.0
40,0,4,1,7,0.9710152726596173,1.926930334768061,0.0
41,2,1,0,7,0.9710152726596173,1.926930334768061,0.0
42,1,1,1,7,0.9710152726596173,1.926930334768061,0.0
43,0,4,1,7,0.9710152726596173,1.926930334768061,0.0
44,1,1,1,7,0.9710152726596173,1.926930334768061,0.0
45,1,1,0,7,0.9710152726596173,1.926930334768061,0.0
1,1,3,0,8,0.31430527178538964,10.45049932584611,0.3132831764386191
2,0,2,1,8,0.31430527178538964,10.45049932584611,0.3132831764386191
3,0,4,1,8,0.31430527178538964,10.45049932584611,0.3132831764386191
4,1,1,0,8,0.31430527178538964,10.45049932584611,0.3132831764386191
5,0,4,1,8,0.31430527178538964,10.45049932584611,0.3132831764386191
6,1,1,1,8,0.31430527178538964,10.45049932584611,0.3132831764386191
7,1,1,1,8,0.31430527178538964,10.45049932584611,0.3132831764386191
8,1,1,0,8,0.31430527178538964,10.45049932584611,0.3132831764386191
9,0,4,1,8,0.31430527178538964,10.45049932584611,0.3132831764386191
10,0,4,1,8,0.31430527178538964,10.45049932584611,0.3132831764386191
11,0,4,1,8,0.31430527178538964,10.45049932584611,0.3132831764386191
12,0,4,1,8,0.31430527178538964,10.45049932584611,0.3132831764386191
13,0,4,1,8,0.31430527178538964,10.45049932584611,0.3132831764386191
14,1,1,1,8,0.31430527178538964,10.45049932584611,0.3132831764386191
15,2,4,0,8,0.31430527178538964,10.45049932584611,0.3132831764386191
16,1,3,0,8,0.31430527178538964,10.45049932584611,0.3132831764386191
17,2,1,0,8,0.31430527178538964,10.45049932584611,0.3132831764386191
18,0,4,1,8,0.31430527178538964,10.45049932584611,0.3132831764386191
19,1,1,0,8,0.31430527178538964,10.45049932584611,0.3132831764386191
20,0,4,1,8,0.31430527178538964,10.45049932584611,0.3132831764386191
21,2,1,0,8,0.31430527178538964,10.45049932584611,0.3132831764386191
22,2,1,0,8,0.31430527178538964,10.45049932584611,0.3132831764386191
23,0,4,1,8,0.31430527178538964,10.45049932584611,0.3132831764386191
24,2,1,0,8,0.31430527178538964,10.45049932584611,0.3132831764386191
25,0,4,1,8,0.31430527178538964,10.45049932584611,0.3132831764386191
26,2,1,0,8,0.31430527178538964,10.45049932584611,0.3132831764386191
27,2,2,0,8,0.31430527178538964,10.45049932584611,0.3132831764386191
28,2,1,0,8,0.31430527178538964,10.45049932584611,0.3132831764386191
29,1,2,1,8,0.31430527178538964,10.45049932584611,0.3132831764386191
30,1,4,0,8,0.31430527178538964,10.45049932584611,0.3132831764386191
31,0,4,0,8,0.31430527178538964,10.45049932584611,0.3132831764386191
32,2,1,0,8,0.31430527178538964,10.45049932584611,0.3132831764386191
33,2,1,0,8,0.31430527178538964,10.45049932584611,0.3132831764386191
34,1,1,0,8,0.31430527178538964,10.45049932584611,0.3132831764386191
35,0,1,1,8,0.31430527178538964,10.45049932584611,0.3132831764386191
36,1,2,0,8,0.31430527178538964,10.45049932584611,0.3132831764386191
37,2,3,0,8,0.31430527178538964,10.45049932584611,0.3132831764386191
38,1,1,0,8,0.31430527178538964,10.45049932584611,0.3132831764386191
39,1,1,0,8,0.31430527178538964,10.45049932584611,0.3132831764386191
40,2,1,0,8,0.31430527178538964,10.45049932584611,0.3132831764386191
41,2,1,0,8,0.31430527178538964,10.45049932584611,0.3132831764386191
42,2,1,0,8,0.31430527178538964,10.45049932584611,0.3132831764386191
43,2,2,0,8,0.31430527178538964,10.45049932584611,0.3132831764386191
44,0,3,1,8,0.31430527178538964,10.45049932584611,0.3132831764386191
45,1,1,0,8,0.31430527178538964,10.45049932584611,0.3132831764386191
1,2,1,0,9,0.8825213173490716,4.263097213941335,0.02577741512534408
2,2,3,0,9,0.8825213173490716,4.263097213941335,0.02577741512534408
3,1,4,0,9,0.8825213173490716,4.263097213941335,0.02577741512534408
4,1,1,1,9,0.8825213173490716,4.263097213941335,0.02577741512534408
5,2,1,0,9,0.8825213173490716,4.263097213941335,0.02577741512534408
6,1,1,1,9,0.8825213173490716,4.263097213941335,0.02577741512534408
7,0,4,1,9,0.8825213173490716,4.263097213941335,0.02577741512534408
8,1,1,0,9,0.8825213173490716,4.263097213941335,0.02577741512534408
9,1,1,1,9,0.8825213173490716,4.263097213941335,0.02577741512534408
10,1,1,1,9,0.8825213173490716,4.263097213941335,0.02577741512534408
11,0,4,1,9,0.8825213173490716,4.263097213941335,0.02577741512534408
12,0,4,1,9,0.8825213173490716,4.263097213941335,0.02577741512534408
13,0,4,1,9,0.8825213173490716,4.263097213941335,0.02577741512534408
14,0,4,1,9,0.8825213173490716,4.263097213941335,0.02577741512534408
15,1,1,1,9,0.8825213173490716,4.263097213941335,0.02577741512534408
16,0,4,0,9,0.8825213173490716,4.263097213941335,0.02577741512534408
17,2,1,0,9,0.8825213173490716,4.263097213941335,0.02577741512534408
18,1,1,0,9,0.8825213173490716,4.263097213941335,0.02577741512534408
19,2,1,0,9,0.8825213173490716,4.263097213941335,0.02577741512534408
20,2,1,0,9,0.8825213173490716,4.263097213941335,0.02577741512534408
21,1,1,1,9,0.8825213173490716,4.263097213941335,0.02577741512534408
22,2,1,1,9,0.8825213173490716,4.263097213941335,0.02577741512534408
23,2,1,0,9,0.8825213173490716,4.263097213941335,0.02577741512534408
24,0,1,1,9,0.8825213173490716,4.263097213941335,0.02577741512534408
25,2,1,0,9,0.8825213173490716,4.263097213941335,0.02577741512534408
26,1,1,1,9,0.8825213173490716,4.263097213941335,0.02577741512534408
27,0,1,1,9,0.8825213173490716,4.263097213941335,0.02577741512534408
28,1,1,0,9,0.8825213173490716,4.263097213941335,0.02577741512534408
29,0,1,0,9,0.8825213173490716,4.263097213941335,0.02577741512534408
30,0,1,1,9,0.8825213173490716,4.263097213941335,0.02577741512534408
