Subject,a_gain,a_loss,beta,decay,llh
1.0,0.9750964815875274,1.0,9.6092969987287,0.0,8.317766166720249
2.0,1.0,0.7044403323211966,0.46595236849915367,0.021960153036675194,9.610402874369466
3.0,0.0,0.014620501297832576,20.0,0.0,11.280356553165783
4.0,1.0,1.0,20.0,0.0,4.1588830833596715
5.0,0.00959370652654626,1.0,20.0,0.0,9.195098443268465
6.0,0.8902027103309971,1.0,10.501839404501657,0.0,4.1588830833604336
7.0,1.0,0.8843023850661219,7.576263085476981,1.0,9.70406052984047
8.0,0.760880502897084,1.0,20.0,0.8109462177381551,10.893174906848028
9.0,1.0,0.9449603426976724,12.96752327367433,0.0,5.545177444479562
10.0,0.3301459514526809,0.0,1e-10,1.0,12.476649250079015
11.0,0.8833884509823776,1.0,13.719009288866708,0.0,4.1588830833596715
12.0,1.0,0.011000273673365302,12.71536096474623,0.0,4.056495536623749
13.0,1.0,0.00366003660506631,20.0,0.0,10.46373778216349
14.0,1.0,0.8116110867515486,14.077121293896734,0.0,5.545177444479562
15.0,1.0,1.0,7.559820652097919,0.0,6.931471806165034
16.0,1.0,1.0,15.45184566832111,0.0,4.1588830833596715
17.0,0.0,0.9101872344609182,1e-10,1.0,12.476649250079015
18.0,1.0,1.0,20.0,0.0,5.545177444479562
19.0,0.8652273415323365,1.0,20.0,0.0,4.1588830833596715
20.0,1.0,0.99999991365963,20.0,0.8087251658251154,6.829115409365947
21.0,0.050709071189053136,0.0,20.0,0.2953132511302052,10.10060198821467
22.0,0.817196279064565,1.0,10.454213810204878,0.0,6.931471805599549
23.0,1.0,1.0,12.884284022874109,0.0,5.545177444479562
24.0,0.9859544818067801,0.41621173850046245,15.999228245409826,0.06487371489867721,5.545177444479562
25.0,1.0,1.0,20.0,0.993164187810165,10.88988747317422
26.0,1.0,1.0,20.0,0.7916412940845421,6.819396009542569
27.0,0.9763852855154702,1.0,17.532694081246763,0.0,4.1588830833596715
28.0,1.0,1.0,8.649987912546921,0.0,4.158883083391898
29.0,1.0,1.0,11.708988491347135,0.0,5.545177444479567
30.0,1.0,1.0,17.24593379386061,0.0,4.1588830833596715
