id,beta,llh
sub-2013,19.89207943661715,40.20253647247681
sub-2007,0.9357067689423615,40.20253647247681
sub-2006,15.196980429699957,41.588830833596695
sub-2012,19.488350962898863,41.588830833596695
sub-2004,3.452143388822415,41.588830833596695
sub-2010,14.154277433899434,38.81624211135692
sub-2038,11.318636967777882,41.588830833596695
sub-2039,0.09298884851186573,38.81624211135692
sub-2011,19.242960489513013,40.20253647247681
sub-2005,18.91948853207961,38.81624211135692
sub-2001,18.268186118446156,38.81624211135692
sub-2002,7.811022874921139,41.588830833596695
sub-2003,3.8711964045234515,37.429947750237034
sub-1009,5.278081064237177,41.588830833596695
sub-1021,12.704464608984814,41.588830833596695
sub-1035,15.56858531129331,40.20253647247681
sub-1034,6.903278382511548,41.588830833596695
sub-1020,5.474216995270864,41.588830833596695
sub-1008,15.410307889518533,41.588830833596695
sub-1036,5.497202910069783,41.588830833596695
sub-1022,19.83339942792029,41.588830833596695
sub-1023,3.6941044233693954,41.588830833596695
sub-1037,17.566656240045422,38.81624211135692
sub-1033,5.1251282087433125,41.588830833596695
sub-1026,3.496381787666203,40.20253647247681
sub-1032,5.25300102231923,40.20253647247681
sub-1024,8.492745895632584,41.588830833596695
sub-1030,2.7768517837549545,40.20253647247681
sub-1018,5.493679504232096,41.588830833596695
sub-1019,15.99851549674846,41.588830833596695
sub-1025,7.29720986033014,40.20253647247681
sub-1028,9.291809739618715,41.588830833596695
sub-1014,4.066852352185273,41.588830833596695
sub-1015,4.050127335453673,38.81624211135692
sub-1029,5.178864070940183,38.81624211135692
sub-1017,5.863566859346408,38.81624211135692
sub-1016,1.3408748580511332,41.588830833596695
sub-1012,12.850649738487377,40.20253647247681
sub-1006,13.79548152910373,38.81624211135692
sub-1007,18.816367783385516,41.588830833596695
sub-1013,11.116190222473108,41.588830833596695
sub-1005,3.4319409016256897,41.588830833596695
sub-1039,13.773874519995395,40.20253647247681
sub-1038,11.728327906950346,41.588830833596695
sub-1010,6.618418903923495,41.588830833596695
sub-1004,11.558207364792771,41.588830833596695
sub-2026,18.553164051370207,41.588830833596695
sub-2027,4.894552228799183,41.588830833596695
sub-2033,1.5592905094258147,40.20253647247681
sub-2025,12.66851246706818,40.20253647247681
sub-2031,11.0665681772155,40.20253647247681
sub-2019,19.448724601246965,40.20253647247681
sub-2018,16.296697149810328,40.20253647247681
sub-2030,11.640906669716834,38.81624211135692
sub-2024,0.12811183533229853,40.20253647247681
sub-2020,9.202955568121972,40.20253647247681
sub-2034,2.637813455784761,41.588830833596695
sub-2021,14.741029288076701,41.588830833596695
sub-2009,18.76686558598705,41.588830833596695
sub-2037,19.425862837282562,38.81624211135692
sub-2023,12.113081160455222,40.20253647247681
sub-2022,12.59362694873936,41.588830833596695
sub-2036,13.08288750389762,41.588830833596695
