id,a2_llh
sub-2013,14.371683837121704
sub-2007,15.708927587769018
sub-2006,19.408121055678468
sub-2012,15.013056383676123
sub-2004,73.8832303728022
sub-2010,20.783823024228585
sub-2038,20.871048322060357
sub-2039,1716.25849995194
sub-2011,21.19645265691952
sub-2005,21.299275986877323
sub-2001,20.838117994343392
sub-2002,21.032361539093365
sub-2003,23.804958101730865
sub-1009,19.92565646877974
sub-1021,22.000193544892603
sub-1035,13.410628462665642
sub-1034,20.454234717481558
sub-1020,16.64372596899579
sub-1008,103.70302663163451
sub-1036,8.543518964033865
sub-1022,18.302594824081236
sub-1023,26.923023707936483
sub-1037,18.71991951535009
sub-1033,24.40354839685216
sub-1026,20.87229687670149
sub-1032,16.086364432426166
sub-1024,121.3862943611199
sub-1030,11.41903753681651
sub-1018,21.985208175895426
sub-1019,12.96758255432369
sub-1025,19.654865907107464
sub-1028,19.75934580221482
sub-1014,21.360584014402615
sub-1015,10.743994110500742
sub-1029,2147.8824587294325
sub-1017,6.950759078157217
sub-1016,19.487294107615075
sub-1012,45.50441530438996
sub-1006,21.40373027146791
sub-1007,14.534542969311223
sub-1013,22.019810967079103
sub-1005,18.28699775113053
sub-1039,993.7517356078263
sub-1038,124.77942470426832
sub-1010,18.94548357058046
sub-1004,14.244427520091342
sub-2026,7.482201290341049
sub-2027,17.051867253084694
sub-2033,21.468293443265395
sub-2025,18.49159861378595
sub-2031,20.854923428711444
sub-2019,29.48375448305016
sub-2018,65.59817380250684
sub-2030,19.649548122896174
sub-2024,27.376434207439342
sub-2020,7.322772614322975
sub-2034,1.3862943611198906
sub-2021,27.33298045679908
sub-2009,20.76055375957328
sub-2037,18.07624489138551
sub-2023,35.891946098497506
sub-2022,19.416402904005878
sub-2036,20.70813785570233
