id,alpha,beta,llh
sub-2013,0.002493050301369891,20.0,32.43983571576065
sub-2007,0.19693475967791718,0.3220602867747511,35.900563293478136
sub-2006,0.0,1e-10,41.588830833596695
sub-2012,0.7234889754296328,0.19539542146568958,37.55365861003604
sub-2004,0.133850087751657,1.9643006880644458,14.119346957119598
sub-2010,0.0,1e-10,38.81624211135692
sub-2038,9.542964382860554e-05,12.045464959737984,41.57930133511496
sub-2039,0.012586428810640964,20.0,11.188192780640822
sub-2011,0.6005804420463977,0.18677266545156856,36.139497974893494
sub-2005,0.0002800587481409078,20.0,38.60705667235916
sub-2001,1.0,0.31699325472132844,28.19750286269667
sub-2002,0.5279244523424368,0.05469272872163526,41.196752866275745
sub-2003,0.4613317517222408,0.21217214584258348,34.3953101716908
sub-1009,0.000838740666029625,20.0,39.789104575985306
sub-1021,0.11632621963802596,2.0973427104289732,15.159416597120117
sub-1035,0.32345435282481627,0.42987382530394763,28.769824763586282
sub-1034,0.006314589860982191,20.0,19.90950976412867
sub-1020,0.6413898978583037,0.6896094005901374,18.066989413660217
sub-1008,1.0,0.4196573991610826,25.590501944547366
sub-1036,0.21318717931459696,0.5321841810917378,29.716588360435086
sub-1022,0.054027442635751925,0.9544003683970292,34.8585772898518
sub-1023,0.7136691911384904,0.49117850382508615,23.9224859230807
sub-1037,0.003255302188867836,20.0,28.391377377220323
sub-1033,0.8247413069862753,0.3885054182980291,27.916909161574868
sub-1026,1.0,0.09601499031075311,38.850108939840105
sub-1032,0.001732687626930841,20.0,36.335579484751705
sub-1024,1.0,17.283399284437714,2.772588722239781
sub-1030,1.0,0.4196574054321307,24.20420758342749
sub-1018,0.922300549439497,0.19037511098260523,36.76762822166312
sub-1019,0.1994629672004337,1.2067449916356914,17.869723706926976
sub-1025,0.0005270113448594831,20.0,39.880264175793705
sub-1028,0.017230120782593283,5.548141869843973,25.69841760445189
sub-1014,0.0015464836582806557,20.0,37.45158291584929
sub-1015,0.7374767773878038,0.4343242286255183,24.716628320525835
sub-1029,0.005452764581794055,20.0,19.112071011673887
sub-1017,0.4418940777621262,0.4405139658344664,26.37371117941913
sub-1016,1.0,0.09263570423597169,40.42042668884108
sub-1012,0.009924719783723154,20.0,13.718304540078151
sub-1006,0.5454500859216326,0.18377465744644494,35.117651596414646
sub-1007,0.9157197959156821,0.4677537192427847,23.171070848202447
sub-1013,0.3648834249120343,0.3299530115877342,34.73689078145783
sub-1005,0.4040365252461234,0.4821714828651377,25.9739903394155
sub-1039,0.020547176503739606,20.0,8.388417368373688
sub-1038,1.0,0.508260932772071,22.542615112612093
sub-1010,0.19690147809717007,0.6267534089787484,27.350222462301996
sub-1004,0.14464940018634398,0.655277516198659,28.572854314286918
sub-2026,0.7902140999455857,0.05330762930124185,41.2017989766753
sub-2027,0.033143965282977673,1.6525780128697836,31.27596654915125
sub-2033,1.0,0.05162981032645551,39.81662184302518
sub-2025,0.003201619447254799,20.0,30.567726922394638
sub-2031,0.0,1e-10,40.20253647247681
sub-2019,1.0,0.20618104527288256,35.06044036692477
sub-2018,0.8349636272032772,0.39999053321051886,26.35650178203421
sub-2030,0.0,1e-10,38.81624211135692
sub-2024,0.27328193383496163,0.9514780795523236,19.43469844587535
sub-2020,0.8963452999307633,0.38349500863252894,28.299211959304575
sub-2034,0.0007103123588862065,20.0,39.85085160615325
sub-2021,1.0,0.21427884818889426,35.65698015550708
sub-2009,0.00023581271192134128,13.979251875490377,41.53187625872692
sub-2037,0.0021893649348814657,20.0,33.34659987383755
sub-2023,0.019946473230672526,20.0,11.60659729301857
sub-2022,0.2924916741360641,0.0059658819247994255,41.58556599691143
sub-2036,0.0,1e-10,41.588830833596695
