id,a2_llh
sub-2013,20.79441541679836
sub-2007,18.021826694558577
sub-2006,19.408121055678468
sub-2012,20.79441541679836
sub-2004,20.79441541679836
sub-2010,20.79441541679836
sub-2038,20.79441541679836
sub-2039,20.79441541679836
sub-2011,20.79441541679836
sub-2005,20.79441541679836
sub-2001,19.408121055678468
sub-2002,20.79441541679836
sub-2003,20.79441541679836
sub-1009,19.408121055678468
sub-1021,20.79441541679836
sub-1035,20.79441541679836
sub-1034,20.79441541679836
sub-1020,20.79441541679836
sub-1008,19.408121055678468
sub-1036,20.79441541679836
sub-1022,20.79441541679836
sub-1023,20.79441541679836
sub-1037,20.79441541679836
sub-1033,19.408121055678468
sub-1026,20.79441541679836
sub-1032,20.79441541679836
sub-1024,19.408121055678468
sub-1030,20.79441541679836
sub-1018,20.79441541679836
sub-1019,20.79441541679836
sub-1025,20.79441541679836
sub-1028,20.79441541679836
sub-1014,20.79441541679836
sub-1015,20.79441541679836
sub-1029,20.79441541679836
sub-1017,20.79441541679836
sub-1016,20.79441541679836
sub-1012,20.79441541679836
sub-1006,20.79441541679836
sub-1007,20.79441541679836
sub-1013,20.79441541679836
sub-1005,20.79441541679836
sub-1039,19.408121055678468
sub-1038,20.79441541679836
sub-1010,20.79441541679836
sub-1004,20.79441541679836
sub-2026,20.79441541679836
sub-2027,20.79441541679836
sub-2033,20.79441541679836
sub-2025,20.79441541679836
sub-2031,20.79441541679836
sub-2019,19.408121055678468
sub-2018,20.79441541679836
sub-2030,19.408121055678468
sub-2024,19.408121055678468
sub-2020,20.79441541679836
sub-2034,20.79441541679836
sub-2021,19.408121055678468
sub-2009,20.79441541679836
sub-2037,19.408121055678468
sub-2023,20.79441541679836
sub-2022,19.408121055678468
sub-2036,20.79441541679836
