onset,duration,event,trial_type,response_time,response_key,stim_file,trial_earnings
266.3359281,2,Feedback,Untrustworthy,0.935203,2,images/C1f01.jpg,6
272.3366255,1.4672693,Decision,Neutral,1.4672693,2,images/A1f01.jpg,12
273.8173578,4.5327307,Response,Neutral,1.4672693,2,images/A1f01.jpg,12
278.350328,2,Thinking,Neutral,1.4672693,2,images/A1f01.jpg,12
280.3530526,2,Feedback,Neutral,1.4672693,2,images/A1f01.jpg,12
286.3538787,0.9838958,Decision,Trustworthy,0.9838958,3,images/B1f01.jpg,15
287.3511932,5.0161042,Response,Trustworthy,0.9838958,3,images/B1f01.jpg,15
292.3671905,2,Thinking,Trustworthy,0.9838958,3,images/B1f01.jpg,15
294.3701279,2,Feedback,Trustworthy,0.9838958,3,images/B1f01.jpg,15
300.3708813,1.0003165,Decision,Untrustworthy,1.0003165,1,images/C1f01.jpg,9
301.3848134,8.9996835,Response,Untrustworthy,1.0003165,1,images/C1f01.jpg,9
310.3846442,2,Thinking,Untrustworthy,1.0003165,1,images/C1f01.jpg,9
310.3949952,2,Feedback,Untrustworthy,1.0003165,1,images/C1f01.jpg,9
316.4049464,1.2005207,Decision,Neutral,1.2005207,2,images/A1f01.jpg,12
317.6186173,4.7994793,Response,Neutral,1.2005207,2,images/A1f01.jpg,12
322.418179,2,Thinking,Neutral,1.2005207,2,images/A1f01.jpg,12
324.4212358,2,Feedback,Neutral,1.2005207,2,images/A1f01.jpg,12
330.4219721,0.9339077,Decision,Untrustworthy,0.9339077,1,images/C1f01.jpg,9
331.3691154,9.0660923,Response,Untrustworthy,0.9339077,1,images/C1f01.jpg,9
340.4354094,2,Thinking,Untrustworthy,0.9339077,1,images/C1f01.jpg,9
340.4461354,2,Feedback,Untrustworthy,0.9339077,1,images/C1f01.jpg,9
349.9971167,1.73400579999725,Decision,Neutral,1.73400579999725,2,images/A1f01.jpg,12
351.742941200001,4.26599420000275,Response,Neutral,1.73400579999725,2,images/A1f01.jpg,12
356.008992700004,2,Thinking,Neutral,1.73400579999725,2,images/A1f01.jpg,12
358.011954899989,2,Feedback,Neutral,1.73400579999725,2,images/A1f01.jpg,12
366.012561999999,1.01703560000169,Decision,Trustworthy,1.01703560000169,2,images/B1f01.jpg,12
367.043176899994,4.98296439999831,Response,Trustworthy,1.01703560000169,2,images/B1f01.jpg,12
