"onset"	"duration"	"my_codes"	"trial_type"	"response_time"	"response_key"	"stim_file"	"trial_earnings"
0.00795249105431139	1.66267932788469	"Decision"	"Neutral"	1.66267932788469	2	"images/B1f01.jpg"	12
1.7003192602424	4.33732067211531	"Response"	"Neutral"	1.66267932788469	2	"images/B1f01.jpg"	12
6.03341707377695	2	"Thinking"	"Neutral"	1.66267932788469	2	"images/B1f01.jpg"	12
8.03624501801096	2	"Feedback"	"Neutral"	1.66267932788469	2	"images/B1f01.jpg"	12
14.0368770529749	1.55048088135663	"Decision"	"Trustworthy"	1.55048088135663	2	"images/A1f01.jpg"	12
15.6010704204673	4.44951911864337	"Response"	"Trustworthy"	1.55048088135663	2	"images/A1f01.jpg"	12
20.0501355661545	2	"Thinking"	"Trustworthy"	1.55048088135663	2	"images/A1f01.jpg"	12
22.0534186210716	2	"Feedback"	"Trustworthy"	1.55048088135663	2	"images/A1f01.jpg"	12
28.054018229479	1.73315379221458	"Decision"	"Untrustworthy"	1.73315379221458	3	"images/C1f01.jpg"	3
29.8011092186207	4.26684620778542	"Response"	"Untrustworthy"	1.73315379221458	3	"images/C1f01.jpg"	3
34.0677364044823	2	"Thinking"	"Untrustworthy"	1.73315379221458	3	"images/C1f01.jpg"	3
36.0708578950725	2	"Feedback"	"Untrustworthy"	1.73315379221458	3	"images/C1f01.jpg"	3
46.0711861437885	1.6335988905048	"Decision"	"Neutral"	1.6335988905048	3	"images/B1f01.jpg"	15
47.7183257159777	4.3664011094952	"Response"	"Neutral"	1.6335988905048	3	"images/B1f01.jpg"	15
52.0842643192736	2	"Thinking"	"Neutral"	1.6335988905048	3	"images/B1f01.jpg"	15
54.087029685732	2	"Feedback"	"Neutral"	1.6335988905048	3	"images/B1f01.jpg"	15
68.0882710003061	1.20053145557176	"Decision"	"Untrustworthy"	1.20053145557176	1	"images/C1f01.jpg"	9
69.302293075365	8.79946854442824	"Response"	"Untrustworthy"	1.20053145557176	1	"images/C1f01.jpg"	9
78.1019311485579	2	"Thinking"	"Untrustworthy"	1.20053145557176	1	"images/C1f01.jpg"	9
78.1121409888146	2	"Feedback"	"Untrustworthy"	1.20053145557176	1	"images/C1f01.jpg"	9
82.1213558431482	1.73380004940554	"Decision"	"Neutral"	1.73380004940554	3	"images/B1f01.jpg"	15
83.8693325915374	4.26619995059446	"Response"	"Neutral"	1.73380004940554	3	"images/B1f01.jpg"	15
88.1352850757539	2	"Thinking"	"Neutral"	1.73380004940554	3	"images/B1f01.jpg"	15
90.1378336957423	2	"Feedback"	"Neutral"	1.73380004940554	3	"images/B1f01.jpg"	15
96.1386051083682	1.76707148761488	"Decision"	"Trustworthy"	1.76707148761488	3	"images/A1f01.jpg"	15
97.9195483708754	4.23292851238512	"Response"	"Trustworthy"	1.76707148761488	3	"images/A1f01.jpg"	15
102.15250589652	2	"Thinking"	"Trustworthy"	1.76707148761488	3	"images/A1f01.jpg"	15
104.154514641501	2	"Feedback"	"Trustworthy"	1.76707148761488	3	"images/A1f01.jpg"	15
118.158707349095	1.21675785945263	"Decision"	"Untrustworthy"	1.21675785945263	1	"images/C1f01.jpg"	9
119.386566496803	8.78324214054737	"Response"	"Untrustworthy"	1.21675785945263	1	"images/C1f01.jpg"	9
128.169497455354	2	"Thinking"	"Untrustworthy"	1.21675785945263	1	"images/C1f01.jpg"	9
128.180317712831	2	"Feedback"	"Untrustworthy"	1.21675785945263	1	"images/C1f01.jpg"	9
132.189237882965	1.58375231968239	"Decision"	"Trustworthy"	1.58375231968239	4	"images/A1f01.jpg"	18
133.787223221618	4.41624768031761	"Response"	"Trustworthy"	1.58375231968239	4	"images/A1f01.jpg"	18
138.203484555241	2	"Thinking"	"Trustworthy"	1.58375231968239	4	"images/A1f01.jpg"	18
140.206036019721	2	"Feedback"	"Trustworthy"	1.58375231968239	4	"images/A1f01.jpg"	18
148.206357441726	1.35042729205452	"Decision"	"Trustworthy"	1.35042729205452	4	"images/A1f01.jpg"	18
149.570844241767	4.64957270794548	"Response"	"Trustworthy"	1.35042729205452	4	"images/A1f01.jpg"	18
154.220522194053	2	"Thinking"	"Trustworthy"	1.35042729205452	4	"images/A1f01.jpg"	18
156.222910387558	2	"Feedback"	"Trustworthy"	1.35042729205452	4	"images/A1f01.jpg"	18
168.227239059401	1.06667144538369	"Decision"	"Untrustworthy"	1.06667144538369	1	"images/C1f01.jpg"	9
169.304805286578	8.93332855461631	"Response"	"Untrustworthy"	1.06667144538369	1	"images/C1f01.jpg"	9
178.23780729936	2	"Thinking"	"Untrustworthy"	1.06667144538369	1	"images/C1f01.jpg"	9
178.255007640226	2	"Feedback"	"Untrustworthy"	1.06667144538369	1	"images/C1f01.jpg"	9
182.274014201714	0.916708479984663	"Decision"	"Neutral"	0.916708479984663	4	"images/B1f01.jpg"	0
183.204823718639	5.08329152001534	"Response"	"Neutral"	0.916708479984663	4	"images/B1f01.jpg"	0
188.288148234133	2	"Thinking"	"Neutral"	0.916708479984663	4	"images/B1f01.jpg"	0
190.290953991702	2	"Feedback"	"Neutral"	0.916708479984663	4	"images/B1f01.jpg"	0
196.290967645124	1.29991227737628	"Decision"	"Neutral"	1.29991227737628	2	"images/B1f01.jpg"	6
197.605118630338	4.70008772262372	"Response"	"Neutral"	1.29991227737628	2	"images/B1f01.jpg"	6
202.305140361888	2	"Thinking"	"Neutral"	1.29991227737628	2	"images/B1f01.jpg"	6
204.307614457561	2	"Feedback"	"Neutral"	1.29991227737628	2	"images/B1f01.jpg"	6
