"trial_number","trial_type","response_key","response_time","trial_earnings"
1,"Trustworthy","2",3.27630220004357,12
2,"Untrustworthy","3",2.39684209995903,3
3,"Trustworthy","1",2.65035509993322,9
4,"Neutral","4",1.84656900004484,18
5,"Untrustworthy","4",2.30045010009781,0
6,"Neutral","3",3.38437740015797,15
7,"Trustworthy","2",2.76722229993902,12
8,"Neutral","4",2.45055319997482,0
9,"Trustworthy","4",1.76726890006103,18
10,"Trustworthy","4",1.08386519993655,18
11,"Neutral","4",1.51706500002183,0
12,"Trustworthy","3",0.800537399947643,15
13,"Untrustworthy","3",1.76742169982754,3
14,"Trustworthy","3",2.55073280003853,15
15,"Neutral","2",1.98370000021532,12
16,"Neutral","2",1.60056579997763,12
17,"Untrustworthy","1",1.71736300014891,9
18,"Neutral","1",1.85052320011891,9
19,"Trustworthy","2",1.20056349993683,12
20,"Neutral","3",0.783907900098711,15
21,"Trustworthy","3",2.53381860000081,15
22,"Trustworthy","3",2.06731659988873,15
23,"Trustworthy","1",2.13406509999186,9
24,"Untrustworthy","2",2.15057389996946,6
25,"Neutral","3",2.66712799994275,15
26,"Trustworthy","1",3.30058640008792,9
27,"Trustworthy","4",0.650532600004226,18
28,"Untrustworthy","4",2.56699800002389,0
29,"Untrustworthy","None",NA,9
30,"Neutral","2",1.38375860010274,6
31,"Neutral","2",1.86723600002006,12
32,"Untrustworthy","2",1.31729870010167,6
33,"Untrustworthy","3",1.4503115999978,3
34,"Untrustworthy","3",1.98410449991934,3
35,"Untrustworthy","2",1.48389709996991,6
36,"Neutral","1",2.86697309999727,9
37,"Untrustworthy","3",1.56733639980666,3
38,"Untrustworthy","3",1.85039169993252,3
39,"Neutral","2",1.61742589995265,6
40,"Neutral","None",NA,9
41,"Neutral","1",2.28379699983634,9
42,"Trustworthy","2",3.85051840008236,12
43,"Trustworthy","None",NA,9
44,"Untrustworthy","2",2.10070029995404,6
45,"Untrustworthy","3",3.96718389983289,3
