"trial_number","trial_type","response_key","response_time","trial_earnings"
1,"Neutral","None",NA,9
2,"Trustworthy","2",1.62940169987269,12
3,"Trustworthy","2",2.48429040005431,12
4,"Trustworthy","1",2.28381179994904,9
5,"Trustworthy","2",1.58392050000839,12
6,"Neutral","3",2.16696659987792,15
7,"Untrustworthy","1",2.21314299991354,9
8,"Neutral","1",1.68379669985734,9
9,"Untrustworthy","2",1.56701510003768,6
10,"Trustworthy","3",1.41726650018245,15
11,"Untrustworthy","2",1.23370440001599,6
12,"Neutral","3",1.75055470014922,3
13,"Neutral","2",2.10023860004731,6
14,"Untrustworthy","2",2.80043999990448,6
15,"Untrustworthy","3",1.53389860014431,3
16,"Trustworthy","3",1.36731389979832,15
17,"Neutral","4",1.95027400017716,18
18,"Neutral","3",1.7339071999304,15
19,"Trustworthy","3",2.05018540006131,15
20,"Trustworthy","1",1.23382410011254,9
21,"Untrustworthy","2",1.61733769997954,6
22,"Neutral","3",1.73394950013608,3
23,"Trustworthy","1",3.15070979995653,9
24,"Trustworthy","1",1.41712890006602,9
25,"Neutral","2",1.86711470014416,12
26,"Untrustworthy","2",1.61713429982774,6
27,"Untrustworthy","2",2.05058509996161,6
28,"Neutral","3",1.23373139998876,3
29,"Neutral","4",1.35040070000105,0
30,"Trustworthy","1",1.08344609988853,9
31,"Trustworthy","2",1.45045040012337,12
32,"Untrustworthy","3",1.21570860012434,3
33,"Neutral","4",1.80037160008214,18
34,"Untrustworthy","2",1.16729860007763,6
35,"Untrustworthy","3",1.08387319999747,3
36,"Neutral","4",0.983875799924135,18
37,"Untrustworthy","4",1.03506190003827,0
38,"Trustworthy","4",2.06717659998685,18
39,"Neutral","4",0.967395399929956,0
40,"Trustworthy","4",1.40051060006954,18
41,"Untrustworthy","4",1.067048399942,18
42,"Untrustworthy","3",2.03365009999834,3
43,"Trustworthy","3",1.78385320003144,15
44,"Untrustworthy","2",1.23318520002067,6
45,"Neutral","2",1.1671093001496,12
