"trial_number","trial_type","response_key","response_time","trial_earnings"
1,"Trustworthy",2,3.17703676735982,12
2,"Untrustworthy",3,2.99717716942541,3
3,"Neutral",1,2.99575835838914,9
4,"Neutral",2,3.88578799762763,6
5,"Trustworthy",4,3.2172931090463,18
6,"Neutral",1,3.2667614815291,9
7,"Trustworthy",2,2.33360488316976,12
8,"Trustworthy",4,1.8839339860715,18
9,"Untrustworthy",1,3.53375165676698,9
10,"Untrustworthy",2,1.30039594718255,6
11,"Neutral",1,1.56695661065169,9
12,"Untrustworthy",1,1.58418600424193,9
13,"Untrustworthy",1,1.83390468824655,9
14,"Trustworthy",3,2.48404435068369,15
15,"Neutral",1,1.96721488656476,9
16,"Neutral",3,3.21706384653226,15
17,"Trustworthy",3,1.53361853677779,15
18,"Trustworthy",4,2.55072732549161,18
19,"Trustworthy",4,2.71750132273883,18
20,"Untrustworthy",1,2.51696315314621,9
21,"Neutral",1,3.11723678885028,9
22,"Untrustworthy",4,1.16717165103182,0
23,"Neutral",2,2.43036960763857,12
24,"Neutral",3,1.56764439842664,15
25,"Untrustworthy",2,2.46713524218649,6
26,"Trustworthy",4,3.3341140395496,18
27,"Trustworthy",3,1.81731302035041,15
28,"Neutral",3,2.41706782858819,15
29,"Untrustworthy",1,0.650883770082146,9
30,"Neutral",4,1.36670402390882,0
31,"Untrustworthy",3,3.15088832122274,3
32,"Untrustworthy",1,0.733794323634356,9
33,"Neutral",1,2.03385803941637,9
34,"Neutral",2,2.36734231794253,12
35,"Untrustworthy",1,1.25046677398495,9
36,"Untrustworthy",1,0.633761327946559,9
37,"Trustworthy",4,0.966994726564735,18
38,"Untrustworthy",1,1.11708773975261,9
39,"Trustworthy",3,1.05155392200686,15
40,"Trustworthy",4,1.55052480078302,18
41,"Neutral",3,3.00030378717929,3
42,"Untrustworthy",1,0.950124302413315,9
43,"Trustworthy",4,1.55035640951246,18
44,"Trustworthy",4,1.68394195032306,18
45,"Neutral",3,2.81535831512883,3
