"trial_number","trial_type","response_key","response_time","trial_earnings"
1,"Neutral","2",2.4559805,12
2,"Untrustworthy","4",1.0119341,0
3,"Neutral","3",2.217188,15
4,"Neutral","2",3.15047,12
5,"Untrustworthy","3",2.2335726,3
6,"Untrustworthy","1",2.4508697,9
7,"Trustworthy","3",2.4808236,15
8,"Untrustworthy","1",3.8170088,9
9,"Trustworthy","4",1.7004483,18
10,"Untrustworthy","2",3.4336527,6
11,"Untrustworthy","1",2.2169552,9
12,"Untrustworthy","1",2.0336213,9
13,"Trustworthy","4",1.7004478,18
14,"Trustworthy","4",1.4837586,18
15,"Untrustworthy","1",1.5503663,9
16,"Neutral","2",3.6004758,12
17,"Trustworthy","4",1.0498318,18
18,"Trustworthy","4",1.4001898,18
19,"Trustworthy","4",1.1839072,18
20,"Trustworthy","4",1.3674131,18
21,"Untrustworthy","1",1.6995994,9
22,"Neutral","4",1.3006074,0
23,"Neutral","1",3.6670718,9
24,"Neutral","1",1.7005159,9
25,"Trustworthy","4",1.5004686,18
26,"Trustworthy","4",1.2514469,18
27,"Neutral","1",1.5171106,9
28,"Neutral","1",1.8008307,9
29,"Neutral","1",2.3504024,9
30,"Untrustworthy","None",NA,9
31,"Trustworthy","4",1.1004552,18
32,"Untrustworthy","1",1.3173521,9
33,"Trustworthy","4",1.1669973,18
34,"Neutral","1",2.5671779,9
35,"Neutral","2",1.3337394,12
36,"Neutral","2",1.3336025,12
37,"Trustworthy","4",1.0504264,18
38,"Untrustworthy","None",NA,9
39,"Untrustworthy","2",0.833941,6
40,"Neutral","2",2.334236,12
41,"Untrustworthy","1",2.9509548,9
42,"Trustworthy","4",1.200112,18
43,"Trustworthy","4",1.1339711,18
44,"Neutral","4",1.7339497,0
45,"Untrustworthy","1",1.5172956,9
