"trial_number","trial_type","response_key","response_time","trial_earnings"
1,"Trustworthy",2,1.12437410000712,12
2,"Trustworthy",2,1.65056430001277,12
3,"Neutral",2,1.46630230010487,12
4,"Untrustworthy",1,1.09715059993323,9
5,"Trustworthy",2,1.33317370002624,12
6,"Neutral",1,1.68344759999309,9
7,"Untrustworthy",1,1.36697259999346,9
8,"Neutral",2,1.8279016999295,6
9,"Neutral",1,2.51692240010016,9
10,"Trustworthy",2,1.95046899991576,12
11,"Neutral",3,1.15024580003228,3
12,"Trustworthy",3,1.55074380000588,15
13,"Trustworthy",4,1.45044060004875,18
14,"Trustworthy",4,1.10034220002126,18
15,"Neutral",1,0.897400399902835,9
16,"Trustworthy",4,1.08402990002651,18
17,"Untrustworthy",2,2.06740950001404,6
18,"Neutral",1,1.25070590001997,9
19,"Untrustworthy",1,1.71778900001664,9
20,"Untrustworthy",1,0.75041560002137,9
21,"Trustworthy",4,0.800501800025813,18
22,"Neutral",1,0.800491100060754,9
23,"Untrustworthy",1,1.31349939992651,9
24,"Untrustworthy",1,0.750327600049786,9
25,"Trustworthy",4,1.06688339996617,18
26,"Trustworthy",4,1.01748149993364,18
27,"Untrustworthy",1,0.885165699990466,9
28,"Neutral",1,1.23385479999706,9
29,"Untrustworthy",1,0.86709559999872,9
30,"Untrustworthy",1,0.816670699976385,9
31,"Untrustworthy",1,0.967190800001845,9
32,"Neutral",1,0.833496400038712,9
33,"Untrustworthy",1,0.833671399974264,9
34,"Untrustworthy",1,1.23384360002819,9
35,"Trustworthy",4,1.20021039992571,18
36,"Neutral",1,0.649926100042649,9
37,"Trustworthy",4,0.83372709993273,18
38,"Neutral",1,0.867179700057022,9
39,"Trustworthy",4,1.01698840002064,18
40,"Untrustworthy",1,0.767001100000925,9
41,"Untrustworthy",1,1.13424350006972,9
42,"Neutral",1,0.783238599891774,9
43,"Neutral",1,0.667184600024484,9
44,"Neutral",1,1.58363989996724,9
45,"Trustworthy",4,0.850724400021136,18
