"trial_number","trial_type","response_key","response_time","trial_earnings"
1,"Neutral",2,2.48738603736274,12
2,"Neutral",3,2.46709663257934,3
3,"Trustworthy",2,1.71330527577084,12
4,"Untrustworthy",3,2.99092793662567,3
5,"Untrustworthy",2,1.65037768497132,6
6,"Neutral",2,2.15032193390653,12
7,"Untrustworthy",1,1.46654367295559,9
8,"Trustworthy",2,1.46706477471162,12
9,"Neutral",2,1.75001507555135,12
10,"Untrustworthy",1,1.16695452423301,9
11,"Trustworthy",3,1.13361083716154,15
12,"Neutral",2,1.41692351968959,12
13,"Neutral",2,1.73349569411948,6
14,"Neutral",1,1.55035800149199,9
15,"Untrustworthy",1,1.10065683850553,9
16,"Untrustworthy",1,1.31791531981435,9
17,"Untrustworthy",1,1.11701636237558,9
18,"Untrustworthy",1,1.68427774496377,9
19,"Trustworthy",3,1.48348346306011,15
20,"Neutral",2,1.50025599973742,6
21,"Trustworthy",4,1.71693819703069,18
22,"Trustworthy",4,1.11689803365152,18
23,"Untrustworthy",1,2.93336837692186,9
24,"Trustworthy",3,1.36676462925971,15
25,"Untrustworthy",1,1.25065223057754,9
26,"Trustworthy",4,0.866453447262757,18
27,"Trustworthy",4,1.18373843876179,18
28,"Neutral",1,1.55076077440754,9
29,"Untrustworthy",2,1.03417710855138,6
30,"Neutral",1,1.18385107873473,9
31,"Trustworthy",4,0.950461766682565,18
32,"Untrustworthy",1,0.767288234084845,9
33,"Untrustworthy",1,0.933814954245463,9
34,"Trustworthy",4,0.850396003224887,18
35,"Neutral",1,0.916889386484399,9
36,"Trustworthy",4,0.933592518907972,18
37,"Neutral",1,1.15027585392818,9
38,"Neutral",1,0.93358057225123,9
39,"Untrustworthy",1,1.01685161225032,9
40,"Trustworthy",4,0.817190555972047,18
41,"Neutral",1,1.10067902528681,9
42,"Trustworthy",4,1.06693654728588,18
43,"Untrustworthy",1,0.93353790557012,9
44,"Neutral",2,1.21683409053367,6
45,"Trustworthy",4,0.917084515211172,0
