"trial_number","trial_type","response_key","response_time","trial_earnings"
1,"Trustworthy","2",3.39418940001633,12
2,"Untrustworthy","3",2.53384749998804,3
3,"Neutral","2",1.55145220004488,12
4,"Neutral","1",3.55054329999257,9
5,"Trustworthy","2",2.91732999996748,12
6,"Neutral","4",1.26735969993751,18
7,"Untrustworthy","3",2.75037040002644,3
8,"Neutral","1",1.10048340004869,9
9,"Untrustworthy","None",NA,9
10,"Neutral","2",1.30049809999764,12
11,"Neutral","4",2.30038700008299,0
12,"Trustworthy","3",3.90058560005855,15
13,"Trustworthy","2",3.00058659992646,12
14,"Untrustworthy","1",0.833884099964052,9
15,"Trustworthy","3",1.95042589993682,15
16,"Untrustworthy","2",1.25058409990743,6
17,"Trustworthy","3",2.90041050000582,15
18,"Neutral","1",2.30047770007513,9
19,"Untrustworthy","None",NA,9
20,"Neutral","3",1.45042410003953,15
21,"Untrustworthy","4",1.16712619992904,0
22,"Untrustworthy","3",0.900505100027658,3
23,"Trustworthy","2",1.71717319998425,12
24,"Trustworthy","3",0.783820900018327,15
25,"Trustworthy","2",0.967179400031455,12
26,"Neutral","3",0.733943399973214,15
27,"Untrustworthy","1",1.10050770000089,9
28,"Untrustworthy","2",0.867386800004169,6
29,"Neutral","3",1.05056690005586,3
30,"Untrustworthy","4",0.900484600104392,0
31,"Trustworthy","1",0.683980999980122,9
32,"Untrustworthy","2",1.7174230000237,6
33,"Trustworthy","1",0.698637799941935,9
34,"Neutral","1",2.43369970005006,9
35,"Neutral","2",2.25055060000159,12
36,"Trustworthy","3",0.699986700084992,15
37,"Trustworthy","2",0.783842999953777,12
38,"Untrustworthy","3",0.684000600012951,3
39,"Trustworthy","1",1.66733450000174,9
40,"Untrustworthy","1",0.867179099936038,9
41,"Neutral","1",1.80036750005092,9
42,"Neutral","4",1.85051729995757,18
43,"Neutral","4",1.950427499949,18
44,"Trustworthy","2",0.683873300091363,12
45,"Untrustworthy","3",0.633713299990632,3
