"trial_number","trial_type","response_key","response_time","trial_earnings"
1,"Neutral",1,1.90394350000042,9
2,"Neutral",1,2.28386850000061,9
3,"Trustworthy",2,3.51292379999995,12
4,"Untrustworthy",2,3.54753879999953,6
5,"Trustworthy",1,1.21713080000063,9
6,"Trustworthy",3,3.3170970000001,15
7,"Neutral",4,2.15159440000025,18
8,"Neutral",2,2.21713869999985,6
9,"Untrustworthy",4,1.60079429999951,0
10,"Neutral",1,1.7839041999996,9
11,"Neutral",1,1.18390030000046,9
12,"Trustworthy",4,2.55056710000008,18
13,"Untrustworthy",1,1.30043919999935,9
14,"Trustworthy",1,1.28373459999966,9
15,"Neutral",2,2.86690219999946,12
16,"Trustworthy",2,2.15038619999996,12
17,"Neutral",2,3.03396229999998,12
18,"Trustworthy",3,3.0170834999999,15
19,"Trustworthy",3,2.60052790000009,15
20,"Untrustworthy",4,2.0003684000003,0
21,"Trustworthy",3,2.18367080000007,15
22,"Trustworthy",3,2.4671959999996,15
23,"Untrustworthy",1,2.31728480000038,9
24,"Trustworthy",3,1.71692380000059,15
25,"Untrustworthy",2,2.58416089999992,6
26,"Untrustworthy",1,1.45034150000083,9
27,"Neutral",3,2.4505081999996,3
28,"Untrustworthy",2,2.18369439999969,6
29,"Untrustworthy",1,0.683639699999731,9
30,"Neutral",1,1.88397220000024,9
31,"Trustworthy",3,2.06714370000009,15
32,"Untrustworthy",1,0.9337914000007,9
33,"Trustworthy",3,1.50054180000006,15
34,"Neutral",1,2.21706569999969,9
35,"Untrustworthy",1,1.75098270000035,9
36,"Trustworthy",4,0.767071600000236,18
37,"Untrustworthy",1,1.95170210000015,9
38,"Neutral",2,1.18441870000061,12
39,"Untrustworthy",1,1.11714140000004,9
40,"Neutral",2,1.03393849999975,12
41,"Neutral",2,1.46733279999989,6
42,"Untrustworthy",1,0.817457500000273,9
43,"Neutral",1,2.55031970000073,9
44,"Untrustworthy",2,1.95068950000041,6
45,"Trustworthy",4,1.28324770000017,18
