"trial_number","trial_type","response_key","response_time","trial_earnings"
1,"Trustworthy","2",2.02231989998836,12
2,"Trustworthy","2",1.9342381000024,12
3,"Neutral","2",1.64667090000876,12
4,"Neutral","2",1.96703269999125,12
5,"Neutral","2",1.38422859999991,12
6,"Untrustworthy","2",2.16645199999039,6
7,"Untrustworthy","2",1.9501714999933,6
8,"Untrustworthy","2",1.83490539999912,12
9,"Trustworthy","2",2.21715389999736,12
10,"Neutral","2",1.76667280000402,12
11,"Trustworthy","2",1.26739709998947,12
12,"Untrustworthy","2",1.71723369999381,6
13,"Neutral","2",1.45112469999003,6
14,"Trustworthy","2",1.75037240001257,12
15,"Trustworthy","2",0.950388299999759,12
16,"Neutral","2",1.26683710000361,12
17,"Untrustworthy","2",1.70042599999579,6
18,"Neutral","None",NA,9
19,"Untrustworthy","2",0.767133699991973,6
20,"Trustworthy","2",1.10058070000377,12
21,"Neutral","2",0.900469500003965,12
22,"Trustworthy","2",1.25031270000909,12
23,"Trustworthy","2",2.01707109999552,12
24,"Trustworthy","2",1.46723769999517,12
25,"Neutral","2",1.06696499999089,12
26,"Neutral","2",0.833721100003459,12
27,"Untrustworthy","2",0.967034900008002,6
28,"Untrustworthy","2",1.16720350000833,6
29,"Trustworthy","2",1.21710979999625,12
30,"Neutral","2",1.19922229999793,6
31,"Neutral","2",1.45116440000129,12
32,"Trustworthy","2",1.25062069999694,12
33,"Untrustworthy","2",0.949155299997074,6
34,"Neutral","2",1.21726859999762,12
35,"Trustworthy","2",1.85064570000395,12
36,"Untrustworthy","2",1.41701440000907,6
37,"Trustworthy","2",1.89822410000488,12
38,"Untrustworthy","2",0.800456199998735,6
39,"Trustworthy","2",0.733701799996197,12
40,"Neutral","2",1.31711780000478,12
41,"Untrustworthy","2",1.05035289999796,12
42,"Untrustworthy","2",1.18379000001005,6
43,"Neutral","2",1.13264320000599,12
44,"Untrustworthy","2",1.6489670999872,6
45,"Untrustworthy","2",1.33364439998695,6
