id,trial,prob_recip,pe
sub-1006,1,0.5,0.5
sub-1006,2,0.5003475072298669,-0.5003475072298669
sub-1006,3,0.5,-0.5
sub-1006,4,0.500337548133086,-0.500337548133086
sub-1006,5,0.5,0.5
sub-1006,6,0.4970976931407483,-0.4970976931407483
sub-1006,7,0.5003424914840918,0.4996575085159082
sub-1006,8,0.49718086940994516,0.5028191305900549
sub-1006,9,0.49694983985813745,-0.49694983985813745
sub-1006,10,0.4969938643460613,-0.4969938643460613
sub-1006,11,0.4976011132750917,0.5023988867249083
sub-1006,12,0.4938238893408279,-0.4938238893408279
sub-1006,13,0.4979798722884692,-0.4979798722884692
sub-1006,14,0.4980090298027978,0.5019909701972022
sub-1006,15,0.5006230170936081,0.4993769829063919
sub-1006,16,0.5009700913175863,-0.5009700913175863
sub-1006,17,0.5009560895040717,0.49904391049592833
sub-1006,18,0.49124443786450045,-0.49124443786450045
sub-1006,19,0.4913708112749357,-0.4913708112749357
sub-1006,20,0.48814727673993874,-0.48814727673993874
sub-1006,21,0.488318353027005,-0.488318353027005
sub-1006,22,0.5012293217385093,0.4987706782614907
sub-1006,23,0.488653133551742,-0.488653133551742
sub-1006,24,0.501553227742224,0.498446772257776
sub-1006,25,0.49858011414428627,0.5014198858557137
sub-1006,26,0.49892860821535406,0.5010713917846459
sub-1006,27,0.48929418646421924,-0.48929418646421924
sub-1006,28,0.5018185809529147,0.49818141904708535
sub-1006,29,0.499297584310049,0.500702415689951
sub-1006,30,0.48975109485431206,-0.48975109485431206
sub-1006,31,0.49965069525413514,0.5003493047458649
sub-1006,32,0.4900448148965788,-0.4900448148965788
sub-1006,33,0.49018850306571793,-0.49018850306571793
sub-1006,34,0.4999984898127586,0.5000015101872415
sub-1006,35,0.501983984341755,0.49801601565824505
sub-1006,36,0.5023301126738164,0.49766988732618356
sub-1006,37,0.5026760004416823,0.49732399955831774
sub-1006,38,0.5003312314020767,-0.5003312314020767
sub-1006,39,0.4878861204303966,-0.4878861204303966
sub-1006,40,0.48806096611718647,-0.48806096611718647
sub-1006,41,0.5028926883240564,0.4971073116759436
sub-1006,42,0.5032381850937105,0.49676181490628946
sub-1006,43,0.4972156385703456,-0.4972156385703456
sub-1006,44,0.5035317201300056,-0.5035317201300056
sub-1006,45,0.5034807450457535,-0.5034807450457535
