Subject,a_gain,a_loss,beta,iProbA,iProbB,iProbC,llh,iprobA,iprobB,iprobC
1057.0,0.3891857219544492,0.6652405712068086,0.42816388760740065,,,,9.866378460698352,0.18365051765038465,0.8826243108037227,0.19320331112351935
1058.0,0.9863555645753216,0.7468866320152997,0.716316809269926,,,,4.937388485790546,0.17463479094848117,0.25307817133108323,0.011091300233620066
1059.0,0.9389057385378828,0.2794269323464766,0.5525253981602748,,,,5.987475903557549,0.9999999928223792,0.720527145853543,0.07267101264342526
1060.0,0.09209416876283597,0.38033426373694873,0.628647479169464,,,,6.452236608456666,0.689150588066101,0.06398079806512016,0.03362695641137528
1061.0,0.5187991529661451,0.6808786796348874,0.27994675928352897,,,,8.588231072180228,0.9605832119230181,0.9992110161145151,0.06200149094727972
1062.0,0.0,0.0,5.628945596812476,,,,3.8517206749953523,1.0,0.4875753955384685,0.48757572609913125
1063.0,0.9492390510128066,0.5046044292850482,0.5155664395886106,,,,6.581615188262943,0.9999999999812182,0.18902027156565146,0.48210050710737
1064.0,0.6449537223312625,0.23714873515771362,0.5382325587436825,,,,10.228219533061711,0.950557584666048,0.2717145956302011,0.2847406906276573
1065.0,0.7709585700760558,0.47920489180580395,0.7062395094573046,,,,6.736257296700643,0.4577956249059934,0.2070023238791649,0.10795261957486503
1066.0,0.04702261769149718,0.2899783192017371,0.23571921197523893,,,,10.543328003710803,0.588850845576748,0.2719307401101853,0.18781288944287622
1067.0,0.13547822457841652,0.22721114828636524,1.2251958612000442,,,,5.519951118131057,0.08349263887346259,0.5386027449081257,0.26817752091168656
1068.0,0.10300565764513292,0.5755539172698625,0.9862304220949621,,,,4.287763813178749,0.8568611717787833,0.09645857984767281,0.09148118522700402
1069.0,0.39551885931802505,0.05407102741042685,0.9352449964179327,,,,6.194466819387216,0.4055509143361838,0.9999688567309658,0.30101291064326624
1070.0,0.2214770064621636,0.49671443797690523,0.8783963437673686,,,,6.119860118773733,0.11751389083850311,0.8396553840544948,0.0622916739330572
1071.0,0.6070353372219573,0.6304744523889947,0.4078852695897994,,,,7.958468246889159,0.03226373159553708,0.02854427915985091,0.26215499670449327
1072.0,0.8561718044473235,0.5968732483644016,0.7548858739056524,,,,5.67270740333385,0.9999929721683499,0.5909500361875455,0.36648438014069173
1073.0,0.405453208143279,0.13008946283934675,0.5892204274771297,,,,9.524930804003063,0.9918322736155026,0.7654569254287928,0.5556143508704734
1074.0,0.11118468831781592,0.4873030432570322,0.6647016064706065,,,,6.942438825773165,0.053096881622881176,0.6640703407216358,0.03953762712874414
1075.0,0.9365820135876145,0.09461841325855276,0.23633306828255932,,,,10.059711892463419,0.9999999998199913,0.1487941084335372,0.2897376668903049
1076.0,0.46301245685787484,0.5648565809950097,0.1266318443077602,,,,10.744173618713543,0.9263523120375283,0.023141093322481997,0.03493687397618635
1077.0,0.5625722545756985,0.49257029836847355,0.7181619212490351,,,,7.727587306550854,0.8956130016703066,0.7230458276149578,0.014566369831641635
1078.0,0.1733667434204118,0.15242891062938388,0.9841163490398415,,,,9.006160048151285,0.8567445858218393,0.7507428435860934,0.275601494768984
1079.0,0.23362542019659727,0.34954433212046315,0.6258635375755858,,,,4.728883617596859,0.9999999847950928,0.9726018188037936,0.0
1080.0,0.6643624446819837,0.6596868862204927,0.47550295551597566,,,,7.471718239175251,0.2612993963250608,0.03229862161098705,0.2556678006618449
1081.0,0.3628313020764129,0.7674002447085008,0.34063148546080235,,,,8.490107577805613,0.9440004584706647,0.9028949102871582,0.03420724681670806
1082.0,0.03134385116789595,0.14034131269001737,0.6977389785159893,,,,5.431054270322243,0.9641839363713002,0.9418923642343948,0.30402689907082037
1083.0,0.4138337526650556,0.5030569272096185,0.9236463708271292,,,,6.353450880248452,0.342562316723573,0.7763540451691567,0.16864410602846977
1084.0,0.9822381162929575,0.08505041715887063,0.33203184181071627,,,,7.802465633114476,1.0,0.21385281147475615,0.573058773110405
1085.0,0.8603559996993476,0.8788031361945198,0.29362409472954504,,,,8.604649526827863,0.0013310876557992256,0.10607144063609342,0.0016174231365513776
1086.0,0.4504728889103291,0.3104465102343591,0.13786174712942809,,,,10.516765954877917,0.04053831787611728,0.004720832743014252,0.09234496860311107
1087.0,0.3965104490992073,0.13427307068072525,0.25612941960521385,,,,9.88704705156254,0.9771514840982335,0.96810590147981,0.27702554417791125
1088.0,0.4492078864571344,0.5101868881623642,0.5563120549119948,,,,9.216819045051047,0.9734559217131983,0.7663155279070194,0.21809905085344763
1089.0,0.5131158317736189,0.1601749501105758,0.06385997220020667,,,,11.181501026546625,0.9582824991444449,0.874403690926239,0.18434085362106634
1090.0,0.07624631975669682,0.08061028533176878,0.55627146248583,,,,10.348040817310185,0.4344419610616224,0.5137300581893453,0.3852761311041779
1091.0,0.1575507045781977,0.15382468816198933,0.17685574913211866,,,,9.250659003147701,0.996084865490264,0.9982517967846123,0.0
1092.0,0.41343744393885373,0.1792502877382516,0.1244054881952681,,,,10.891546702236763,0.9984237701515071,0.7550068889300386,0.48711658334268704
1093.0,0.1890746384574378,0.07110927893642337,0.23594638197770973,,,,9.525087958499604,0.7710087768680784,0.0008106709814252114,0.3108993479439199
1094.0,0.6634255645636981,0.09708697795989119,0.06859418077713386,,,,10.776280301863038,0.9995946290858032,0.5956431761251328,0.25055763902414446
1095.0,0.5879145131566501,0.003929323182911089,0.1192484000701644,,,,10.212742640085168,1.0,0.9867337046493574,0.3150373642059185
1096.0,0.05536700289562933,0.14392783485787175,0.15682871933627038,,,,10.543890427637788,0.23934454209748443,0.2895197141887247,0.19354877656273484
1097.0,0.06329318014784535,0.19014060277565303,0.11505422128444287,,,,10.892470312707774,0.44037532983622574,0.4245878521034304,0.3465397187062501
1098.0,0.9999700128447286,0.8452673675042639,0.19619336894706338,,,,10.357427778238884,1.0,0.15472871044415748,0.002478503872713452
1099.0,0.580332480231064,0.08079083475469842,0.28564939892957575,,,,9.146926629459466,1.0,0.8897185265134844,0.2105937204026717
1100.0,0.28468996411656355,0.17896568985712835,0.020623388238416474,,,,11.089059533530659,0.9974247432605011,0.7710532529844365,0.5081876196210358
1101.0,0.11919437978752329,0.3349191897362196,0.9258728398250099,,,,5.853052102800367,0.3218346371201754,0.18421041346857447,0.16195301409711008
