Subject,alpha,beta,llh
1.0,0.0,1e-10,9.704060527839234
2.0,0.0,0.09618072817988355,9.704060527839234
3.0,0.7421842531373329,0.297021279772843,8.777707869210033
4.0,0.0009500843457190327,20.0,9.689830734831435
5.0,0.0,1e-10,9.704060527839234
6.0,0.0,1e-10,9.704060527839234
7.0,0.0,1e-10,9.704060527839234
8.0,0.0,1e-10,9.704060527839234
9.0,1.0,0.06743666225688574,9.603486679240314
10.0,0.0,1e-10,9.704060527839234
11.0,0.007764695027934537,20.0,9.059446781708028
12.0,0.0,1e-10,9.704060527839234
13.0,0.5289888150605724,1e-10,9.704060527839232
14.0,0.0,1e-10,9.704060527839234
15.0,0.0,1e-10,9.704060527839234
16.0,0.007624027814571107,20.0,8.957996792247465
17.0,0.019950540303821793,20.0,7.542860256954126
18.0,0.0,0.3026433638500999,9.704060527839234
19.0,0.0,1e-10,9.704060527839234
20.0,1.0,0.1398725397107793,9.294510340895378
21.0,0.0,1e-10,9.704060527839234
22.0,0.0,1e-10,9.704060527839234
23.0,0.0,1e-10,9.704060527839234
24.0,0.42241847665380117,0.6104692595004496,8.809359657616938
25.0,0.0,1e-10,9.704060527839234
26.0,0.0013377420053703004,20.0,9.664120093307373
27.0,0.0,1e-10,9.704060527839234
28.0,0.002245932059623153,20.0,9.637238751246006
29.0,1.0,0.2246654646124928,8.75211893146123
30.0,0.0013473830744985431,20.0,9.643850761175534
31.0,0.010898714522680467,20.0,8.407186331757568
32.0,1.0,0.06743666407467903,9.603486679240314
33.0,0.010076850244661522,20.0,7.625591956435974
34.0,1.0,0.0674366621685099,9.603486679240314
35.0,0.0,1e-10,9.704060527839234
36.0,1.0,0.08134188185259941,9.522564727024703
37.0,0.0,1e-10,9.704060527839234
38.0,0.0,1e-10,9.704060527839234
39.0,0.3515129090608768,0.3979157751437952,9.499285434367307
40.0,0.0,1e-10,9.704060527839234
41.0,0.0,1e-10,9.704060527839234
42.0,0.014620499913060117,20.0,7.311475134012777
43.0,0.12408835367759763,0.3599869542956353,9.670642775254922
44.0,1.0,0.22466545977124958,8.75211893146123
45.0,0.0,1e-10,9.704060527839234
46.0,0.26454376094423687,0.5287312167902369,9.294510340895378
47.0,1.0,0.044670190323407466,9.670642775254926
48.0,0.0,1e-10,9.704060527839234
49.0,0.0,1e-10,9.704060527839234
50.0,0.0,1e-10,9.704060527839234
51.0,0.0,1e-10,9.704060527839234
52.0,0.0,1e-10,9.704060527839234
53.0,0.0,1e-10,9.704060527839234
54.0,0.012084514534067408,20.0,8.473420583516047
55.0,0.0,1e-10,9.704060527839234
56.0,0.002256401636355848,20.0,9.636934687858371
57.0,0.0,1e-10,9.704060527839234
58.0,0.0,1e-10,9.704060527839234
59.0,0.0,1e-10,9.704060527839234
60.0,0.0,1e-10,9.704060527839234
61.0,0.0,1e-10,9.704060527839234
62.0,0.0,1e-10,9.704060527839234
63.0,0.09711924308055966,0.6453439408139432,9.573336367361264
64.0,0.0,1e-10,9.704060527839234
65.0,0.0,1e-10,9.704060527839234
66.0,0.0,1e-10,9.704060527839234
67.0,0.0,1e-10,9.704060527839234
68.0,0.0,1e-10,9.704060527839234
69.0,0.08288856957906768,2.825223863044904,8.394722505854574
70.0,1.0,0.3373336902269443,7.919465946140461
71.0,0.0,1e-10,9.704060527839234
72.0,1.0,0.2246654605059855,8.752118931461228
73.0,0.0,1e-10,9.704060527839234
74.0,0.0,1e-10,9.704060527839234
75.0,0.004722375628332958,20.0,9.430006331600056
76.0,0.0,1e-10,9.704060527839234
77.0,0.0022511497856617813,20.0,9.637087130872022
78.0,0.0,0.5527750070309955,9.704060527839234
79.0,1.0,0.06743665689771691,9.603486679240314
80.0,0.007624026213005368,20.0,8.957996792247458
81.0,0.0022564023980870393,20.0,9.63693468785837
82.0,0.0,1e-10,9.704060527839234
83.0,0.0,1e-10,9.704060527839234
84.0,0.0017141604003458478,11.147665958059278,9.675448794955429
85.0,0.9063147734573739,0.15433108490348613,9.396897887631342
86.0,0.006957669582345875,20.0,9.398362993448902
87.0,0.01995053903205656,20.0,7.542860256954102
88.0,1.0,0.08134188101042082,9.522564727024703
