Subject,a_gain,a_loss,beta,decay,llh
1.0,1.0,0.027594729890507513,20.0,0.0,6.695795410725818
2.0,1.0,0.49175931616205976,20.0,0.06659954967402211,7.992288585019669
3.0,1.0,0.9376464206950202,8.8172058053311,0.0,6.931471805659983
4.0,1.0,1.0,16.335437784195424,0.0,4.1588830833596715
5.0,1.0,1.0,20.0,0.45476968932684914,7.152395531178063
6.0,0.9914916721809632,0.49105923916872457,10.321725094890201,0.0,6.726696712127918
7.0,0.0523640543302927,1.0,20.0,0.2578219734553513,6.20987238393271
8.0,1.0,0.0775103761423836,20.0,0.30248979324273134,7.361819612668996
9.0,0.45246148276802445,1.0,20.0,0.0,5.545177444479562
10.0,0.7715489323531516,1.0,15.615914459799123,0.0,5.545177444479562
11.0,1.0,1.0,20.0,0.5798140544104134,5.67582426232237
12.0,0.7943157048775881,1.0,13.981436287899648,0.0,6.931471805599457
13.0,1.0,0.12358119936998302,20.0,0.509480448098204,6.830577884082002
14.0,1.0,1.0,14.35901411186588,0.0,5.545177444479562
15.0,0.907481704738876,1.0,20.0,0.5050652832724634,8.529884034606178
16.0,0.016881232208796674,0.01105868903127226,20.0,0.0,9.188301504439105
17.0,1.0,0.3452607862630083,19.96583805216412,0.0,5.5451774565133976
18.0,0.026130452769300528,0.02865668841006807,20.0,0.0,9.482448356120274
19.0,0.047861625816631524,1.0,20.0,0.3661135127277856,8.802538358253566
20.0,1.0,1.0,16.559163464101783,0.0,5.545177444479562
21.0,1.0,0.2707601761526063,20.0,0.0,5.545177532508724
22.0,1.0,0.014620500321501886,20.0,0.0,5.73517910868622
23.0,1.0,1.0,18.724416480471113,0.0,6.931471805599453
24.0,1.0,0.2811207484433575,20.0,0.3876198276868453,7.097836627194758
25.0,1.0,0.4941070076557755,11.86652506849267,0.0,8.21537871271385
26.0,0.023153603669922883,1.0,20.0,0.0,7.667063217927476
27.0,0.46558937367502407,1.0,17.898473980372728,0.0,5.545177444479562
28.0,0.9999722002847528,0.5059546661510234,11.731443928484168,0.0,5.442789968216811
29.0,1.0,0.0,13.89797982245722,0.0,8.317766166719343
30.0,0.9992578259870769,0.5057588144024819,11.765024372917544,1.563572136812325e-10,5.44278997821697
31.0,1.0,1.0,12.865134051267752,0.0,8.317766166719343
32.0,1.0,1.0,20.0,0.0,8.317766166719343
33.0,1.0,1.0,20.0,0.0,5.545177444479562
34.0,1.0,1.0,20.0,0.0,6.931471805599453
35.0,0.8940320947126871,1.0,20.0,0.0,4.1588830833596715
36.0,1.0,1.0,13.87077368555558,0.0,5.545177444479562
