Subject,a_gain,a_loss,beta,iProbA,iProbB,iProbC,llh,iprobA,iprobB,iprobC
1.0,0.8973702669863339,0.02198125458385049,0.05507780746851088,,,,11.083498701750147,0.9999999303469908,0.9999999988026308,0.780769750286733
2.0,0.24204376033136743,0.7564482137972608,0.12355416723194687,,,,10.836109697967913,0.5139250620174973,0.7282276624288428,7.905272605449532e-06
3.0,0.7537937138886648,0.31317493651244144,0.13854177235160758,,,,10.617843613962474,0.9999746879360354,0.6238108166874199,0.20589685102360217
4.0,0.11992896636626572,0.2453496397436372,0.41607608539153795,,,,10.195831276820558,0.489572220880357,0.4334835436026181,0.3771786108931268
5.0,0.11843314739057073,1.0,0.030924872068379235,,,,11.061240297842454,1.0,0.11843314739057073,0.0
6.0,0.03288416060442678,0.5240545860561389,0.18063359843674753,,,,10.464261284385262,0.17891335160307847,0.7395636968652497,0.07191479430172378
7.0,0.924272646759778,0.7521037908827503,0.22547217953516582,,,,9.885748353709097,1.0,0.2468255011153927,5.117350445907593e-12
8.0,0.9301567130214916,0.7454697781527698,0.06700873362665345,,,,10.917748986654509,0.9996917638497538,0.9346609055126671,0.24103981106229844
9.0,0.8850873972206762,0.3505433589563357,0.08671399292161933,,,,10.85437578673718,1.0,0.9593697045458471,5.674153687841796e-07
10.0,0.7037523496108818,0.5940457523843432,1e-10,,,,11.09035488895973,0.999997556264383,0.9999999998736013,0.0005573001426533581
11.0,0.04595031710421414,0.14997926523162525,0.01594674650997082,,,,11.090586022019174,0.945117182627453,0.8581374068393608,0.14847975768559843
12.0,0.018073921447818244,0.10888366525494013,0.3972157439785895,,,,8.684783943422463,0.17648463590397426,0.4194922071983675,0.5956723307739867
13.0,0.07951185398148733,0.335119716750583,0.661282195630362,,,,9.46301805280932,0.6708277264769872,0.4721503229618292,0.11233794838612732
14.0,0.9441562947165165,0.0982198813250546,0.8418438523060758,,,,4.31702597580666,0.9999999999991697,0.1783190746903521,0.21130066714158416
15.0,0.2325591015176961,0.10151409298772363,0.46285880631184095,,,,7.156508807756843,0.8422564470571786,0.03308150670479759,0.022369279384791524
16.0,0.7996610513601484,0.85171467978087,0.20165223809853397,,,,10.293621429547738,0.12220848422867325,0.824144170487467,2.0780143278427337e-07
17.0,0.33936011096519314,0.5993739416476352,0.1941297752279576,,,,10.921720288819548,0.9306925350391717,0.23963886380203825,0.07265892370670544
18.0,0.029704174452783838,0.32266153562173217,0.28656799494095175,,,,9.910001892431902,0.5494135488211765,0.014045806883253631,0.4180274639817647
19.0,0.1092267212241151,0.21968920775096423,0.3103781986915153,,,,9.884045957236962,0.7521161069641209,0.2451818116696518,0.5569712246848942
20.0,0.38023722522413034,0.3995530032233597,0.06721533329573662,,,,10.889200943864708,0.9999999850629008,1.0531855760652398e-11,1.2537448346707254e-05
21.0,0.2839791234492177,0.44331338271767573,0.6208976819097634,,,,7.274033065344704,0.1582999604312891,0.1722969474344756,0.15685116036814173
22.0,0.4948846545363369,0.717723111648253,0.5192147654313176,,,,7.740249577482207,0.9571346621028396,0.16364621864821316,0.04993747514626365
23.0,0.7644433881658674,0.2172862045799271,0.17163640247454237,,,,10.115723610097941,0.9058815846781877,0.9999864434753714,0.27260362404889577
24.0,0.0663716100363656,0.769661949458109,0.2571992890609196,,,,10.257487942953055,0.8079185395793936,0.21125875255114868,0.00823440676443346
25.0,0.4206302558601336,0.33761596448568043,0.23278471805486745,,,,9.604567775341676,0.6796144434726926,0.8926388435519127,0.09759163968354698
26.0,0.035871368879712574,0.7891345929203407,0.3599915231983485,,,,7.365489529139396,0.5538293126856009,1.106513453775091e-07,4.797257965603857e-08
27.0,0.3188475333989672,0.33389469332222876,0.4386954333283636,,,,9.521687791765803,0.8749426746755629,0.21706574591705535,0.3643283947656135
28.0,0.044224273362201354,0.40618715134533173,0.6312939229789492,,,,7.671185261118216,0.5449799830973655,0.15480732941148698,0.15579904580423204
29.0,0.1213347485537587,0.02151812497506408,0.8496524307300052,,,,5.589512183364112,0.5650295601881106,0.15351810175764874,0.5253745242869878
30.0,0.6359644414787536,0.007168073657477643,0.17366769843668564,,,,9.987626887708604,1.0,1.0,0.49423609969225923
31.0,0.0779502444347578,0.5242957240308368,0.8054344851175889,,,,9.650006926383824,0.5078664509607104,0.8284326662831276,0.09385935393419645
32.0,0.9496301216466292,0.4422122989233971,0.15389474856446125,,,,10.48316305046208,0.999999999999975,2.412527139577462e-07,0.5450037599699454
33.0,0.5566166563064897,0.18554532124039996,0.41798541995005906,,,,7.6786145163065225,0.999939828085765,0.9999966421769138,0.297365606369987
34.0,0.14674603459323682,0.236375877494831,0.5732411569446055,,,,9.133826467271623,0.7154554950658237,0.4136256480158349,0.21626922673018867
35.0,0.04576994772895415,0.8449407884492919,0.09987536694008003,,,,10.631833129504468,0.7072289738854681,0.05529328809023879,0.3931277577944755
36.0,0.3748506647914093,0.20298506903438887,0.4852737479746354,,,,6.818141853282184,0.03194756653773878,0.18384224023446466,0.19803313839235057
37.0,0.27887933417249533,0.6296416018063447,0.6056142514208379,,,,7.647083493931695,0.6969347828855765,0.06703300672979043,0.1075565334094602
38.0,0.17429950620637402,0.4938306291614294,0.9786587400082347,,,,6.919911160167494,0.1919432692222573,0.1845253816661894,0.2983369522547661
39.0,0.2752863311385203,0.3869378239755531,0.7702122021499969,,,,8.513272291066553,0.03715042782988853,0.582939182282987,0.027629521175339553
40.0,0.4580723753841349,0.4804255979802807,0.3879587960697597,,,,8.598614422508673,0.9969084651848102,0.1927935749284803,0.2167923197980592
41.0,0.009968628570521942,0.4103638928525012,0.13310478231898826,,,,10.509416162317741,0.1397950000770231,0.10755821993826001,0.1310533372668821
42.0,0.07796351024027688,0.3272733826345996,0.6929593915011378,,,,9.379277536840322,0.641231703298254,0.4777720253342526,0.09799598193308114
43.0,0.12777709184226668,0.11680515356470487,0.7556919925750638,,,,8.62772818664287,0.5089730411299368,0.6343149276648072,0.27505834011746727
44.0,0.029162786806841368,0.012552716200520897,0.24025615656748556,,,,10.858722053853127,0.643442199471281,0.27350538348433767,0.5929738160530045
45.0,0.9107164092922811,0.12697563085561825,0.012259946382486423,,,,11.1302913570977,0.9999999999998914,0.853132724799285,0.04916004843858432
46.0,0.11841979035485672,0.5166764604484216,0.40869952957176237,,,,9.329319499000988,0.7209559555842443,0.5479008146553062,0.028378068362342065
